postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,i,master/12850_0000.tif,web/12850_0000_web.jpg,thumb/12850_0000_thumb.jpg
2,ii,master/12850_0001.tif,web/12850_0001_web.jpg,thumb/12850_0001_thumb.jpg
3,iii,master/12850_0002.tif,web/12850_0002_web.jpg,thumb/12850_0002_thumb.jpg
4,1r,master/12850_0003.tif,web/12850_0003_web.jpg,thumb/12850_0003_thumb.jpg
5,1v,master/12850_0004.tif,web/12850_0004_web.jpg,thumb/12850_0004_thumb.jpg
6,2r,master/12850_0005.tif,web/12850_0005_web.jpg,thumb/12850_0005_thumb.jpg
7,2v,master/12850_0006.tif,web/12850_0006_web.jpg,thumb/12850_0006_thumb.jpg
8,3r,master/12850_0007.tif,web/12850_0007_web.jpg,thumb/12850_0007_thumb.jpg
9,3v,master/12850_0008.tif,web/12850_0008_web.jpg,thumb/12850_0008_thumb.jpg
10,4r,master/12850_0009.tif,web/12850_0009_web.jpg,thumb/12850_0009_thumb.jpg
11,4v,master/12850_0010.tif,web/12850_0010_web.jpg,thumb/12850_0010_thumb.jpg
12,5r,master/12850_0011.tif,web/12850_0011_web.jpg,thumb/12850_0011_thumb.jpg
13,5v,master/12850_0012.tif,web/12850_0012_web.jpg,thumb/12850_0012_thumb.jpg
14,6r,master/12850_0013.tif,web/12850_0013_web.jpg,thumb/12850_0013_thumb.jpg
15,6v,master/12850_0014.tif,web/12850_0014_web.jpg,thumb/12850_0014_thumb.jpg
16,7r,master/12850_0015.tif,web/12850_0015_web.jpg,thumb/12850_0015_thumb.jpg
17,7v,master/12850_0016.tif,web/12850_0016_web.jpg,thumb/12850_0016_thumb.jpg
18,8r,master/12850_0017.tif,web/12850_0017_web.jpg,thumb/12850_0017_thumb.jpg
19,8v,master/12850_0018.tif,web/12850_0018_web.jpg,thumb/12850_0018_thumb.jpg
20,9r,master/12850_0019.tif,web/12850_0019_web.jpg,thumb/12850_0019_thumb.jpg
21,9v,master/12850_0020.tif,web/12850_0020_web.jpg,thumb/12850_0020_thumb.jpg
22,10r,master/12850_0021.tif,web/12850_0021_web.jpg,thumb/12850_0021_thumb.jpg
23,10v,master/12850_0022.tif,web/12850_0022_web.jpg,thumb/12850_0022_thumb.jpg
24,11r,master/12850_0023.tif,web/12850_0023_web.jpg,thumb/12850_0023_thumb.jpg
25,11v,master/12850_0024.tif,web/12850_0024_web.jpg,thumb/12850_0024_thumb.jpg
26,12r,master/12850_0025.tif,web/12850_0025_web.jpg,thumb/12850_0025_thumb.jpg
27,12v,master/12850_0026.tif,web/12850_0026_web.jpg,thumb/12850_0026_thumb.jpg
28,13r,master/12850_0027.tif,web/12850_0027_web.jpg,thumb/12850_0027_thumb.jpg
29,13v,master/12850_0028.tif,web/12850_0028_web.jpg,thumb/12850_0028_thumb.jpg
30,14r,master/12850_0029.tif,web/12850_0029_web.jpg,thumb/12850_0029_thumb.jpg
31,14v,master/12850_0030.tif,web/12850_0030_web.jpg,thumb/12850_0030_thumb.jpg
32,15r,master/12850_0031.tif,web/12850_0031_web.jpg,thumb/12850_0031_thumb.jpg
33,16r,master/12850_0032.tif,web/12850_0032_web.jpg,thumb/12850_0032_thumb.jpg
34,16v,master/12850_0033.tif,web/12850_0033_web.jpg,thumb/12850_0033_thumb.jpg
