postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/2786_0000.tif,web/2786_0000_web.jpg,thumb/2786_0000_thumb.jpg
2,Inside front cover-i recto,master/2786_0001.tif,web/2786_0001_web.jpg,thumb/2786_0001_thumb.jpg
3,i verso-ii recto,master/2786_0002.tif,web/2786_0002_web.jpg,thumb/2786_0002_thumb.jpg
4,ii verso-iii recto,master/2786_0003.tif,web/2786_0003_web.jpg,thumb/2786_0003_thumb.jpg
5,iii verso-iv recto,master/2786_0004.tif,web/2786_0004_web.jpg,thumb/2786_0004_thumb.jpg
6,iv verso-1r,master/2786_0005.tif,web/2786_0005_web.jpg,thumb/2786_0005_thumb.jpg
7,1v-2r,master/2786_0006.tif,web/2786_0006_web.jpg,thumb/2786_0006_thumb.jpg
8,2v-3r,master/2786_0007.tif,web/2786_0007_web.jpg,thumb/2786_0007_thumb.jpg
9,3v-4r,master/2786_0008.tif,web/2786_0008_web.jpg,thumb/2786_0008_thumb.jpg
10,4v-5r,master/2786_0009.tif,web/2786_0009_web.jpg,thumb/2786_0009_thumb.jpg
11,5v-6r,master/2786_0010.tif,web/2786_0010_web.jpg,thumb/2786_0010_thumb.jpg
12,6v-7r,master/2786_0011.tif,web/2786_0011_web.jpg,thumb/2786_0011_thumb.jpg
13,7v-8r,master/2786_0012.tif,web/2786_0012_web.jpg,thumb/2786_0012_thumb.jpg
14,8v-9r,master/2786_0013.tif,web/2786_0013_web.jpg,thumb/2786_0013_thumb.jpg
15,9v-10r,master/2786_0014.tif,web/2786_0014_web.jpg,thumb/2786_0014_thumb.jpg
16,10v-11r,master/2786_0015.tif,web/2786_0015_web.jpg,thumb/2786_0015_thumb.jpg
17,11v-12r,master/2786_0016.tif,web/2786_0016_web.jpg,thumb/2786_0016_thumb.jpg
18,12v-13r,master/2786_0017.tif,web/2786_0017_web.jpg,thumb/2786_0017_thumb.jpg
19,13v-14r,master/2786_0018.tif,web/2786_0018_web.jpg,thumb/2786_0018_thumb.jpg
20,14v-15r,master/2786_0019.tif,web/2786_0019_web.jpg,thumb/2786_0019_thumb.jpg
21,15v-16r,master/2786_0020.tif,web/2786_0020_web.jpg,thumb/2786_0020_thumb.jpg
22,16v-17r,master/2786_0021.tif,web/2786_0021_web.jpg,thumb/2786_0021_thumb.jpg
23,17v-18r,master/2786_0022.tif,web/2786_0022_web.jpg,thumb/2786_0022_thumb.jpg
24,18v-19r,master/2786_0023.tif,web/2786_0023_web.jpg,thumb/2786_0023_thumb.jpg
25,19v-20r,master/2786_0024.tif,web/2786_0024_web.jpg,thumb/2786_0024_thumb.jpg
26,20v-21r,master/2786_0025.tif,web/2786_0025_web.jpg,thumb/2786_0025_thumb.jpg
27,21v-22r,master/2786_0026.tif,web/2786_0026_web.jpg,thumb/2786_0026_thumb.jpg
28,22v-23r,master/2786_0027.tif,web/2786_0027_web.jpg,thumb/2786_0027_thumb.jpg
29,23v-24r,master/2786_0028.tif,web/2786_0028_web.jpg,thumb/2786_0028_thumb.jpg
30,24v-25r,master/2786_0029.tif,web/2786_0029_web.jpg,thumb/2786_0029_thumb.jpg
31,25v-26r,master/2786_0030.tif,web/2786_0030_web.jpg,thumb/2786_0030_thumb.jpg
32,26v-27r,master/2786_0031.tif,web/2786_0031_web.jpg,thumb/2786_0031_thumb.jpg
33,27v-28r,master/2786_0032.tif,web/2786_0032_web.jpg,thumb/2786_0032_thumb.jpg
34,28v-29r,master/2786_0033.tif,web/2786_0033_web.jpg,thumb/2786_0033_thumb.jpg
35,29v-30r,master/2786_0034.tif,web/2786_0034_web.jpg,thumb/2786_0034_thumb.jpg
36,30v-31r,master/2786_0035.tif,web/2786_0035_web.jpg,thumb/2786_0035_thumb.jpg
37,31v-32r,master/2786_0036.tif,web/2786_0036_web.jpg,thumb/2786_0036_thumb.jpg
38,32v-33r,master/2786_0037.tif,web/2786_0037_web.jpg,thumb/2786_0037_thumb.jpg
39,33v-34r,master/2786_0038.tif,web/2786_0038_web.jpg,thumb/2786_0038_thumb.jpg
40,34v-35r,master/2786_0039.tif,web/2786_0039_web.jpg,thumb/2786_0039_thumb.jpg
41,35v-36r,master/2786_0040.tif,web/2786_0040_web.jpg,thumb/2786_0040_thumb.jpg
42,36v-37r,master/2786_0041.tif,web/2786_0041_web.jpg,thumb/2786_0041_thumb.jpg
43,37v-38r,master/2786_0042.tif,web/2786_0042_web.jpg,thumb/2786_0042_thumb.jpg
44,38v-39r,master/2786_0043.tif,web/2786_0043_web.jpg,thumb/2786_0043_thumb.jpg
45,39v-40r,master/2786_0044.tif,web/2786_0044_web.jpg,thumb/2786_0044_thumb.jpg
46,40v-41r,master/2786_0045.tif,web/2786_0045_web.jpg,thumb/2786_0045_thumb.jpg
47,41v-42r,master/2786_0046.tif,web/2786_0046_web.jpg,thumb/2786_0046_thumb.jpg
48,42v-43r,master/2786_0047.tif,web/2786_0047_web.jpg,thumb/2786_0047_thumb.jpg
