postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/5194_0000.tif,web/5194_0000_web.jpg,thumb/5194_0000_thumb.jpg
2,Inside front cover,master/5194_0001.tif,web/5194_0001_web.jpg,thumb/5194_0001_thumb.jpg
3,Flyleaf 1,master/5194_0002.tif,web/5194_0002_web.jpg,thumb/5194_0002_thumb.jpg
4,Flyleaf 2,master/5194_0003.tif,web/5194_0003_web.jpg,thumb/5194_0003_thumb.jpg
5,Flyleaf 3,master/5194_0004.tif,web/5194_0004_web.jpg,thumb/5194_0004_thumb.jpg
6,Flyleaf 4,master/5194_0005.tif,web/5194_0005_web.jpg,thumb/5194_0005_thumb.jpg
7,i,master/5194_0006.tif,web/5194_0006_web.jpg,thumb/5194_0006_thumb.jpg
8,1,master/5194_0007.tif,web/5194_0007_web.jpg,thumb/5194_0007_thumb.jpg
9,2,master/5194_0008.tif,web/5194_0008_web.jpg,thumb/5194_0008_thumb.jpg
10,3,master/5194_0009.tif,web/5194_0009_web.jpg,thumb/5194_0009_thumb.jpg
11,4,master/5194_0010.tif,web/5194_0010_web.jpg,thumb/5194_0010_thumb.jpg
12,5,master/5194_0011.tif,web/5194_0011_web.jpg,thumb/5194_0011_thumb.jpg
13,6,master/5194_0012.tif,web/5194_0012_web.jpg,thumb/5194_0012_thumb.jpg
14,7,master/5194_0013.tif,web/5194_0013_web.jpg,thumb/5194_0013_thumb.jpg
15,8,master/5194_0014.tif,web/5194_0014_web.jpg,thumb/5194_0014_thumb.jpg
16,9,master/5194_0015.tif,web/5194_0015_web.jpg,thumb/5194_0015_thumb.jpg
17,10,master/5194_0016.tif,web/5194_0016_web.jpg,thumb/5194_0016_thumb.jpg
18,11,master/5194_0017.tif,web/5194_0017_web.jpg,thumb/5194_0017_thumb.jpg
19,12,master/5194_0018.tif,web/5194_0018_web.jpg,thumb/5194_0018_thumb.jpg
20,13,master/5194_0019.tif,web/5194_0019_web.jpg,thumb/5194_0019_thumb.jpg
21,14,master/5194_0020.tif,web/5194_0020_web.jpg,thumb/5194_0020_thumb.jpg
22,15,master/5194_0021.tif,web/5194_0021_web.jpg,thumb/5194_0021_thumb.jpg
23,16,master/5194_0022.tif,web/5194_0022_web.jpg,thumb/5194_0022_thumb.jpg
24,17,master/5194_0023.tif,web/5194_0023_web.jpg,thumb/5194_0023_thumb.jpg
25,18,master/5194_0024.tif,web/5194_0024_web.jpg,thumb/5194_0024_thumb.jpg
26,19,master/5194_0025.tif,web/5194_0025_web.jpg,thumb/5194_0025_thumb.jpg
27,20,master/5194_0026.tif,web/5194_0026_web.jpg,thumb/5194_0026_thumb.jpg
28,21,master/5194_0027.tif,web/5194_0027_web.jpg,thumb/5194_0027_thumb.jpg
29,22,master/5194_0028.tif,web/5194_0028_web.jpg,thumb/5194_0028_thumb.jpg
30,23,master/5194_0029.tif,web/5194_0029_web.jpg,thumb/5194_0029_thumb.jpg
31,24,master/5194_0030.tif,web/5194_0030_web.jpg,thumb/5194_0030_thumb.jpg
32,25,master/5194_0031.tif,web/5194_0031_web.jpg,thumb/5194_0031_thumb.jpg
33,26,master/5194_0032.tif,web/5194_0032_web.jpg,thumb/5194_0032_thumb.jpg
34,27,master/5194_0033.tif,web/5194_0033_web.jpg,thumb/5194_0033_thumb.jpg
35,28,master/5194_0034.tif,web/5194_0034_web.jpg,thumb/5194_0034_thumb.jpg
36,29,master/5194_0035.tif,web/5194_0035_web.jpg,thumb/5194_0035_thumb.jpg
37,30,master/5194_0036.tif,web/5194_0036_web.jpg,thumb/5194_0036_thumb.jpg
38,31,master/5194_0037.tif,web/5194_0037_web.jpg,thumb/5194_0037_thumb.jpg
39,32,master/5194_0038.tif,web/5194_0038_web.jpg,thumb/5194_0038_thumb.jpg
40,33,master/5194_0039.tif,web/5194_0039_web.jpg,thumb/5194_0039_thumb.jpg
41,34,master/5194_0040.tif,web/5194_0040_web.jpg,thumb/5194_0040_thumb.jpg
42,35,master/5194_0041.tif,web/5194_0041_web.jpg,thumb/5194_0041_thumb.jpg
43,36,master/5194_0042.tif,web/5194_0042_web.jpg,thumb/5194_0042_thumb.jpg
44,37,master/5194_0043.tif,web/5194_0043_web.jpg,thumb/5194_0043_thumb.jpg
45,38,master/5194_0044.tif,web/5194_0044_web.jpg,thumb/5194_0044_thumb.jpg
46,39,master/5194_0045.tif,web/5194_0045_web.jpg,thumb/5194_0045_thumb.jpg
47,40,master/5194_0046.tif,web/5194_0046_web.jpg,thumb/5194_0046_thumb.jpg
48,41,master/5194_0047.tif,web/5194_0047_web.jpg,thumb/5194_0047_thumb.jpg
49,42,master/5194_0048.tif,web/5194_0048_web.jpg,thumb/5194_0048_thumb.jpg
50,43,master/5194_0049.tif,web/5194_0049_web.jpg,thumb/5194_0049_thumb.jpg
51,44,master/5194_0050.tif,web/5194_0050_web.jpg,thumb/5194_0050_thumb.jpg
52,45,master/5194_0051.tif,web/5194_0051_web.jpg,thumb/5194_0051_thumb.jpg
53,46,master/5194_0052.tif,web/5194_0052_web.jpg,thumb/5194_0052_thumb.jpg
54,47,master/5194_0053.tif,web/5194_0053_web.jpg,thumb/5194_0053_thumb.jpg
55,48,master/5194_0054.tif,web/5194_0054_web.jpg,thumb/5194_0054_thumb.jpg
56,49,master/5194_0055.tif,web/5194_0055_web.jpg,thumb/5194_0055_thumb.jpg
57,50,master/5194_0056.tif,web/5194_0056_web.jpg,thumb/5194_0056_thumb.jpg
58,51,master/5194_0057.tif,web/5194_0057_web.jpg,thumb/5194_0057_thumb.jpg
59,52,master/5194_0058.tif,web/5194_0058_web.jpg,thumb/5194_0058_thumb.jpg
60,53,master/5194_0059.tif,web/5194_0059_web.jpg,thumb/5194_0059_thumb.jpg
61,54,master/5194_0060.tif,web/5194_0060_web.jpg,thumb/5194_0060_thumb.jpg
62,55,master/5194_0061.tif,web/5194_0061_web.jpg,thumb/5194_0061_thumb.jpg
63,56,master/5194_0062.tif,web/5194_0062_web.jpg,thumb/5194_0062_thumb.jpg
64,57,master/5194_0063.tif,web/5194_0063_web.jpg,thumb/5194_0063_thumb.jpg
65,58,master/5194_0064.tif,web/5194_0064_web.jpg,thumb/5194_0064_thumb.jpg
66,59,master/5194_0065.tif,web/5194_0065_web.jpg,thumb/5194_0065_thumb.jpg
67,60,master/5194_0066.tif,web/5194_0066_web.jpg,thumb/5194_0066_thumb.jpg
68,61,master/5194_0067.tif,web/5194_0067_web.jpg,thumb/5194_0067_thumb.jpg
69,62,master/5194_0068.tif,web/5194_0068_web.jpg,thumb/5194_0068_thumb.jpg
70,63,master/5194_0069.tif,web/5194_0069_web.jpg,thumb/5194_0069_thumb.jpg
71,64,master/5194_0070.tif,web/5194_0070_web.jpg,thumb/5194_0070_thumb.jpg
72,65,master/5194_0071.tif,web/5194_0071_web.jpg,thumb/5194_0071_thumb.jpg
73,66,master/5194_0072.tif,web/5194_0072_web.jpg,thumb/5194_0072_thumb.jpg
74,67,master/5194_0073.tif,web/5194_0073_web.jpg,thumb/5194_0073_thumb.jpg
75,68,master/5194_0074.tif,web/5194_0074_web.jpg,thumb/5194_0074_thumb.jpg
76,69,master/5194_0075.tif,web/5194_0075_web.jpg,thumb/5194_0075_thumb.jpg
77,70,master/5194_0076.tif,web/5194_0076_web.jpg,thumb/5194_0076_thumb.jpg
78,71,master/5194_0077.tif,web/5194_0077_web.jpg,thumb/5194_0077_thumb.jpg
79,72,master/5194_0078.tif,web/5194_0078_web.jpg,thumb/5194_0078_thumb.jpg
80,73,master/5194_0079.tif,web/5194_0079_web.jpg,thumb/5194_0079_thumb.jpg
81,74,master/5194_0080.tif,web/5194_0080_web.jpg,thumb/5194_0080_thumb.jpg
82,75,master/5194_0081.tif,web/5194_0081_web.jpg,thumb/5194_0081_thumb.jpg
83,76,master/5194_0082.tif,web/5194_0082_web.jpg,thumb/5194_0082_thumb.jpg
84,77,master/5194_0083.tif,web/5194_0083_web.jpg,thumb/5194_0083_thumb.jpg
85,78,master/5194_0084.tif,web/5194_0084_web.jpg,thumb/5194_0084_thumb.jpg
86,79,master/5194_0085.tif,web/5194_0085_web.jpg,thumb/5194_0085_thumb.jpg
87,80,master/5194_0086.tif,web/5194_0086_web.jpg,thumb/5194_0086_thumb.jpg
