postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/1491_0000.tif,web/1491_0000_web.jpg,thumb/1491_0000_thumb.jpg
2,1v,master/1491_0001.tif,web/1491_0001_web.jpg,thumb/1491_0001_thumb.jpg
3,2r,master/1491_0002.tif,web/1491_0002_web.jpg,thumb/1491_0002_thumb.jpg
4,2v,master/1491_0003.tif,web/1491_0003_web.jpg,thumb/1491_0003_thumb.jpg
5,3r,master/1491_0004.tif,web/1491_0004_web.jpg,thumb/1491_0004_thumb.jpg
6,3v,master/1491_0005.tif,web/1491_0005_web.jpg,thumb/1491_0005_thumb.jpg
7,4r,master/1491_0006.tif,web/1491_0006_web.jpg,thumb/1491_0006_thumb.jpg
8,4v,master/1491_0007.tif,web/1491_0007_web.jpg,thumb/1491_0007_thumb.jpg
9,5r,master/1491_0008.tif,web/1491_0008_web.jpg,thumb/1491_0008_thumb.jpg
10,5v,master/1491_0009.tif,web/1491_0009_web.jpg,thumb/1491_0009_thumb.jpg
11,6r,master/1491_0010.tif,web/1491_0010_web.jpg,thumb/1491_0010_thumb.jpg
12,6v,master/1491_0011.tif,web/1491_0011_web.jpg,thumb/1491_0011_thumb.jpg
