postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Item 1, Side 1",master/1573_0000.tif,web/1573_0000_web.jpg,thumb/1573_0000_thumb.jpg
2,"Item 1, Side 2",master/1573_0001.tif,web/1573_0001_web.jpg,thumb/1573_0001_thumb.jpg
3,"Item 2, 1r",master/1573_0002.tif,web/1573_0002_web.jpg,thumb/1573_0002_thumb.jpg
4,"Item 2, 1v",master/1573_0003.tif,web/1573_0003_web.jpg,thumb/1573_0003_thumb.jpg
5,"Item 2, 2r",master/1573_0004.tif,web/1573_0004_web.jpg,thumb/1573_0004_thumb.jpg
6,"Item 2, 2v",master/1573_0005.tif,web/1573_0005_web.jpg,thumb/1573_0005_thumb.jpg
7,"Item 3, 1r",master/1573_0006.tif,web/1573_0006_web.jpg,thumb/1573_0006_thumb.jpg
8,"Item 3, 1v",master/1573_0007.tif,web/1573_0007_web.jpg,thumb/1573_0007_thumb.jpg
9,"Item 3, 2r",master/1573_0008.tif,web/1573_0008_web.jpg,thumb/1573_0008_thumb.jpg
10,"Item 3, 2v",master/1573_0009.tif,web/1573_0009_web.jpg,thumb/1573_0009_thumb.jpg
11,"Item 4, 1r",master/1573_0010.tif,web/1573_0010_web.jpg,thumb/1573_0010_thumb.jpg
12,"Item 4, 1v",master/1573_0011.tif,web/1573_0011_web.jpg,thumb/1573_0011_thumb.jpg
13,"Item 4, 2r",master/1573_0012.tif,web/1573_0012_web.jpg,thumb/1573_0012_thumb.jpg
14,"Item 4, 2v",master/1573_0013.tif,web/1573_0013_web.jpg,thumb/1573_0013_thumb.jpg
