postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Item 1, Side 1",master/1536_0000.tif,web/1536_0000_web.jpg,thumb/1536_0000_thumb.jpg
2,"Item 1, Side 2",master/1536_0001.tif,web/1536_0001_web.jpg,thumb/1536_0001_thumb.jpg
3,"Item 2, 1r",master/1536_0002.tif,web/1536_0002_web.jpg,thumb/1536_0002_thumb.jpg
4,"Item 2, 1v",master/1536_0003.tif,web/1536_0003_web.jpg,thumb/1536_0003_thumb.jpg
5,"Item 2, 2r",master/1536_0004.tif,web/1536_0004_web.jpg,thumb/1536_0004_thumb.jpg
6,"Item 2, 2v",master/1536_0005.tif,web/1536_0005_web.jpg,thumb/1536_0005_thumb.jpg
7,"Item 3, 1r",master/1536_0006.tif,web/1536_0006_web.jpg,thumb/1536_0006_thumb.jpg
8,"Item 3, 2v (f. 1v-2r stuck together, not shot)",master/1536_0007.tif,web/1536_0007_web.jpg,thumb/1536_0007_thumb.jpg
9,"Item 4, 1r",master/1536_0008.tif,web/1536_0008_web.jpg,thumb/1536_0008_thumb.jpg
10,"Item 4, 1v",master/1536_0009.tif,web/1536_0009_web.jpg,thumb/1536_0009_thumb.jpg
11,"Item 4, 2r",master/1536_0010.tif,web/1536_0010_web.jpg,thumb/1536_0010_thumb.jpg
12,"Item 4, 2v",master/1536_0011.tif,web/1536_0011_web.jpg,thumb/1536_0011_thumb.jpg
13,"Item 5, 1r",master/1536_0012.tif,web/1536_0012_web.jpg,thumb/1536_0012_thumb.jpg
14,"Item 5, 1v",master/1536_0013.tif,web/1536_0013_web.jpg,thumb/1536_0013_thumb.jpg
15,"Item 5, 2r",master/1536_0014.tif,web/1536_0014_web.jpg,thumb/1536_0014_thumb.jpg
16,"Item 5, 2v",master/1536_0015.tif,web/1536_0015_web.jpg,thumb/1536_0015_thumb.jpg
17,"Item 6, 1r",master/1536_0016.tif,web/1536_0016_web.jpg,thumb/1536_0016_thumb.jpg
18,"Item 6, 1v",master/1536_0017.tif,web/1536_0017_web.jpg,thumb/1536_0017_thumb.jpg
19,"Item 6, 2r",master/1536_0018.tif,web/1536_0018_web.jpg,thumb/1536_0018_thumb.jpg
20,"Item 6, 2v",master/1536_0019.tif,web/1536_0019_web.jpg,thumb/1536_0019_thumb.jpg
