postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/7179_0000.tif,web/7179_0000_web.jpg,thumb/7179_0000_thumb.jpg
2,Inside front cover,master/7179_0001.tif,web/7179_0001_web.jpg,thumb/7179_0001_thumb.jpg
3,i,master/7179_0002.tif,web/7179_0002_web.jpg,thumb/7179_0002_thumb.jpg
4,ii,master/7179_0003.tif,web/7179_0003_web.jpg,thumb/7179_0003_thumb.jpg
5,iii,master/7179_0004.tif,web/7179_0004_web.jpg,thumb/7179_0004_thumb.jpg
6,iv,master/7179_0005.tif,web/7179_0005_web.jpg,thumb/7179_0005_thumb.jpg
7,1,master/7179_0006.tif,web/7179_0006_web.jpg,thumb/7179_0006_thumb.jpg
8,2,master/7179_0007.tif,web/7179_0007_web.jpg,thumb/7179_0007_thumb.jpg
9,3,master/7179_0008.tif,web/7179_0008_web.jpg,thumb/7179_0008_thumb.jpg
10,4,master/7179_0009.tif,web/7179_0009_web.jpg,thumb/7179_0009_thumb.jpg
11,5,master/7179_0010.tif,web/7179_0010_web.jpg,thumb/7179_0010_thumb.jpg
12,6,master/7179_0011.tif,web/7179_0011_web.jpg,thumb/7179_0011_thumb.jpg
13,7,master/7179_0012.tif,web/7179_0012_web.jpg,thumb/7179_0012_thumb.jpg
14,8,master/7179_0013.tif,web/7179_0013_web.jpg,thumb/7179_0013_thumb.jpg
15,9,master/7179_0014.tif,web/7179_0014_web.jpg,thumb/7179_0014_thumb.jpg
16,10,master/7179_0015.tif,web/7179_0015_web.jpg,thumb/7179_0015_thumb.jpg
17,11,master/7179_0016.tif,web/7179_0016_web.jpg,thumb/7179_0016_thumb.jpg
18,12,master/7179_0017.tif,web/7179_0017_web.jpg,thumb/7179_0017_thumb.jpg
19,13,master/7179_0018.tif,web/7179_0018_web.jpg,thumb/7179_0018_thumb.jpg
20,"Note 1, Side 1",master/7179_0019.tif,web/7179_0019_web.jpg,thumb/7179_0019_thumb.jpg
21,"Note 1, Side 2",master/7179_0020.tif,web/7179_0020_web.jpg,thumb/7179_0020_thumb.jpg
22,14,master/7179_0021.tif,web/7179_0021_web.jpg,thumb/7179_0021_thumb.jpg
23,i,master/7179_0022.tif,web/7179_0022_web.jpg,thumb/7179_0022_thumb.jpg
24,ii,master/7179_0023.tif,web/7179_0023_web.jpg,thumb/7179_0023_thumb.jpg
25,Inside back cover,master/7179_0024.tif,web/7179_0024_web.jpg,thumb/7179_0024_thumb.jpg
26,Back cover,master/7179_0025.tif,web/7179_0025_web.jpg,thumb/7179_0025_thumb.jpg
