postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/11337_0000.tif,web/11337_0000_web.jpg,thumb/11337_0000_thumb.jpg
2,Inside front cover,master/11337_0001.tif,web/11337_0001_web.jpg,thumb/11337_0001_thumb.jpg
3,Preliminary leaf 1 recto,master/11337_0002.tif,web/11337_0002_web.jpg,thumb/11337_0002_thumb.jpg
4,Preliminary leaf 1 verso,master/11337_0003.tif,web/11337_0003_web.jpg,thumb/11337_0003_thumb.jpg
5,Preliminary leaf 2 recto,master/11337_0004.tif,web/11337_0004_web.jpg,thumb/11337_0004_thumb.jpg
6,Preliminary leaf 2 verso,master/11337_0005.tif,web/11337_0005_web.jpg,thumb/11337_0005_thumb.jpg
7,i,master/11337_0006.tif,web/11337_0006_web.jpg,thumb/11337_0006_thumb.jpg
8,ii,master/11337_0007.tif,web/11337_0007_web.jpg,thumb/11337_0007_thumb.jpg
9,iii,master/11337_0008.tif,web/11337_0008_web.jpg,thumb/11337_0008_thumb.jpg
10,iv,master/11337_0009.tif,web/11337_0009_web.jpg,thumb/11337_0009_thumb.jpg
11,v,master/11337_0010.tif,web/11337_0010_web.jpg,thumb/11337_0010_thumb.jpg
12,vi,master/11337_0011.tif,web/11337_0011_web.jpg,thumb/11337_0011_thumb.jpg
13,vii,master/11337_0012.tif,web/11337_0012_web.jpg,thumb/11337_0012_thumb.jpg
14,viii,master/11337_0013.tif,web/11337_0013_web.jpg,thumb/11337_0013_thumb.jpg
15,ix,master/11337_0014.tif,web/11337_0014_web.jpg,thumb/11337_0014_thumb.jpg
16,x,master/11337_0015.tif,web/11337_0015_web.jpg,thumb/11337_0015_thumb.jpg
17,1r,master/11337_0016.tif,web/11337_0016_web.jpg,thumb/11337_0016_thumb.jpg
18,1v,master/11337_0017.tif,web/11337_0017_web.jpg,thumb/11337_0017_thumb.jpg
19,2r,master/11337_0018.tif,web/11337_0018_web.jpg,thumb/11337_0018_thumb.jpg
20,2v,master/11337_0019.tif,web/11337_0019_web.jpg,thumb/11337_0019_thumb.jpg
21,3r,master/11337_0020.tif,web/11337_0020_web.jpg,thumb/11337_0020_thumb.jpg
22,3v,master/11337_0021.tif,web/11337_0021_web.jpg,thumb/11337_0021_thumb.jpg
23,4r,master/11337_0022.tif,web/11337_0022_web.jpg,thumb/11337_0022_thumb.jpg
24,4v,master/11337_0023.tif,web/11337_0023_web.jpg,thumb/11337_0023_thumb.jpg
25,5r,master/11337_0024.tif,web/11337_0024_web.jpg,thumb/11337_0024_thumb.jpg
