postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/5649_0000.tif,web/5649_0000_web.jpg,thumb/5649_0000_thumb.jpg
2,1v-2r,master/5649_0001.tif,web/5649_0001_web.jpg,thumb/5649_0001_thumb.jpg
3,2v-3r,master/5649_0002.tif,web/5649_0002_web.jpg,thumb/5649_0002_thumb.jpg
4,3v-4r,master/5649_0003.tif,web/5649_0003_web.jpg,thumb/5649_0003_thumb.jpg
5,4v-5r,master/5649_0004.tif,web/5649_0004_web.jpg,thumb/5649_0004_thumb.jpg
6,5v-6r,master/5649_0005.tif,web/5649_0005_web.jpg,thumb/5649_0005_thumb.jpg
7,6v-7r,master/5649_0006.tif,web/5649_0006_web.jpg,thumb/5649_0006_thumb.jpg
8,7v-8r,master/5649_0007.tif,web/5649_0007_web.jpg,thumb/5649_0007_thumb.jpg
9,8v-9r,master/5649_0008.tif,web/5649_0008_web.jpg,thumb/5649_0008_thumb.jpg
10,9v-1r =10r,master/5649_0009.tif,web/5649_0009_web.jpg,thumb/5649_0009_thumb.jpg
11,1v =10v-2r =11r,master/5649_0010.tif,web/5649_0010_web.jpg,thumb/5649_0010_thumb.jpg
12,2v =11v-3r =12r,master/5649_0011.tif,web/5649_0011_web.jpg,thumb/5649_0011_thumb.jpg
13,3v =12v-4r =13r,master/5649_0012.tif,web/5649_0012_web.jpg,thumb/5649_0012_thumb.jpg
14,4v =13v-5r =14r,master/5649_0013.tif,web/5649_0013_web.jpg,thumb/5649_0013_thumb.jpg
15,5v =14v-6r =15r,master/5649_0014.tif,web/5649_0014_web.jpg,thumb/5649_0014_thumb.jpg
16,6v =15v-1r =16r,master/5649_0015.tif,web/5649_0015_web.jpg,thumb/5649_0015_thumb.jpg
17,1v =16v-2r =17r,master/5649_0016.tif,web/5649_0016_web.jpg,thumb/5649_0016_thumb.jpg
18,2v =17v-3r =18r,master/5649_0017.tif,web/5649_0017_web.jpg,thumb/5649_0017_thumb.jpg
19,3v =18v-4r =19r,master/5649_0018.tif,web/5649_0018_web.jpg,thumb/5649_0018_thumb.jpg
20,4v =19v-5r =20r,master/5649_0019.tif,web/5649_0019_web.jpg,thumb/5649_0019_thumb.jpg
21,5v =20v,master/5649_0020.tif,web/5649_0020_web.jpg,thumb/5649_0020_thumb.jpg
