postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Folder 197, 1r",master/1948_0000.tif,web/1948_0000_web.jpg,thumb/1948_0000_thumb.jpg
2,"Folder 197, 1v",master/1948_0001.tif,web/1948_0001_web.jpg,thumb/1948_0001_thumb.jpg
3,"Folder 197, 2r",master/1948_0002.tif,web/1948_0002_web.jpg,thumb/1948_0002_thumb.jpg
4,"Folder 197, 2v",master/1948_0003.tif,web/1948_0003_web.jpg,thumb/1948_0003_thumb.jpg
5,"Folder 198, 1r",master/1948_0004.tif,web/1948_0004_web.jpg,thumb/1948_0004_thumb.jpg
6,"Folder 198, 1v",master/1948_0005.tif,web/1948_0005_web.jpg,thumb/1948_0005_thumb.jpg
7,"Folder 199, 1r",master/1948_0006.tif,web/1948_0006_web.jpg,thumb/1948_0006_thumb.jpg
8,"Folder 199, 1v",master/1948_0007.tif,web/1948_0007_web.jpg,thumb/1948_0007_thumb.jpg
9,"Folder 199, 2r",master/1948_0008.tif,web/1948_0008_web.jpg,thumb/1948_0008_thumb.jpg
10,"Folder 199, 2v",master/1948_0009.tif,web/1948_0009_web.jpg,thumb/1948_0009_thumb.jpg
11,"Folder 200, 1r",master/1948_0010.tif,web/1948_0010_web.jpg,thumb/1948_0010_thumb.jpg
12,"Folder 200, 1v",master/1948_0011.tif,web/1948_0011_web.jpg,thumb/1948_0011_thumb.jpg
13,"Folder 200, 2r",master/1948_0012.tif,web/1948_0012_web.jpg,thumb/1948_0012_thumb.jpg
14,"Folder 200, 2v",master/1948_0013.tif,web/1948_0013_web.jpg,thumb/1948_0013_thumb.jpg
15,"Folder 200, 3r",master/1948_0014.tif,web/1948_0014_web.jpg,thumb/1948_0014_thumb.jpg
16,"Folder 200, 3v",master/1948_0015.tif,web/1948_0015_web.jpg,thumb/1948_0015_thumb.jpg
