postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Folder 81, 1r",master/2419_0000.tif,web/2419_0000_web.jpg,thumb/2419_0000_thumb.jpg
2,"Folder 81, 1v",master/2419_0001.tif,web/2419_0001_web.jpg,thumb/2419_0001_thumb.jpg
3,"Folder 81, 2r",master/2419_0002.tif,web/2419_0002_web.jpg,thumb/2419_0002_thumb.jpg
4,"Folder 81, 2v",master/2419_0003.tif,web/2419_0003_web.jpg,thumb/2419_0003_thumb.jpg
5,"Folder 81, 3r",master/2419_0004.tif,web/2419_0004_web.jpg,thumb/2419_0004_thumb.jpg
6,"Folder 81, 3v",master/2419_0005.tif,web/2419_0005_web.jpg,thumb/2419_0005_thumb.jpg
7,"Folder 81, 4r",master/2419_0006.tif,web/2419_0006_web.jpg,thumb/2419_0006_thumb.jpg
8,"Folder 81, 4v",master/2419_0007.tif,web/2419_0007_web.jpg,thumb/2419_0007_thumb.jpg
9,"Folder 81, 5r",master/2419_0008.tif,web/2419_0008_web.jpg,thumb/2419_0008_thumb.jpg
10,"Folder 81, 5v",master/2419_0009.tif,web/2419_0009_web.jpg,thumb/2419_0009_thumb.jpg
11,"Folder 81, 6r",master/2419_0010.tif,web/2419_0010_web.jpg,thumb/2419_0010_thumb.jpg
12,"Folder 81, 6v",master/2419_0011.tif,web/2419_0011_web.jpg,thumb/2419_0011_thumb.jpg
13,"Folder 81, 7r",master/2419_0012.tif,web/2419_0012_web.jpg,thumb/2419_0012_thumb.jpg
14,"Folder 81, 7v",master/2419_0013.tif,web/2419_0013_web.jpg,thumb/2419_0013_thumb.jpg
15,"Folder 81, 8r",master/2419_0014.tif,web/2419_0014_web.jpg,thumb/2419_0014_thumb.jpg
16,"Folder 81, 8v",master/2419_0015.tif,web/2419_0015_web.jpg,thumb/2419_0015_thumb.jpg
17,"Folder 81, 9r",master/2419_0016.tif,web/2419_0016_web.jpg,thumb/2419_0016_thumb.jpg
18,"Folder 81, 9v",master/2419_0017.tif,web/2419_0017_web.jpg,thumb/2419_0017_thumb.jpg
19,"Folder 81, 10r",master/2419_0018.tif,web/2419_0018_web.jpg,thumb/2419_0018_thumb.jpg
20,"Folder 81, 10v",master/2419_0019.tif,web/2419_0019_web.jpg,thumb/2419_0019_thumb.jpg
21,"Folder 81, 11r",master/2419_0020.tif,web/2419_0020_web.jpg,thumb/2419_0020_thumb.jpg
22,"Folder 81, 11v",master/2419_0021.tif,web/2419_0021_web.jpg,thumb/2419_0021_thumb.jpg
23,"Folder 81, 12r",master/2419_0022.tif,web/2419_0022_web.jpg,thumb/2419_0022_thumb.jpg
24,"Folder 81, 12v",master/2419_0023.tif,web/2419_0023_web.jpg,thumb/2419_0023_thumb.jpg
25,"Folder 81, 13r",master/2419_0024.tif,web/2419_0024_web.jpg,thumb/2419_0024_thumb.jpg
26,"Folder 81, 13v",master/2419_0025.tif,web/2419_0025_web.jpg,thumb/2419_0025_thumb.jpg
27,"Folder 81, 14r",master/2419_0026.tif,web/2419_0026_web.jpg,thumb/2419_0026_thumb.jpg
28,"Folder 81, 14v",master/2419_0027.tif,web/2419_0027_web.jpg,thumb/2419_0027_thumb.jpg
29,"Folder 81, 15r",master/2419_0028.tif,web/2419_0028_web.jpg,thumb/2419_0028_thumb.jpg
30,"Folder 81, 15v",master/2419_0029.tif,web/2419_0029_web.jpg,thumb/2419_0029_thumb.jpg
31,"Folder 81, 16r",master/2419_0030.tif,web/2419_0030_web.jpg,thumb/2419_0030_thumb.jpg
32,"Folder 81, 16v",master/2419_0031.tif,web/2419_0031_web.jpg,thumb/2419_0031_thumb.jpg
