postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/7134_0000.tif,web/7134_0000_web.jpg,thumb/7134_0000_thumb.jpg
2,Inside front cover,master/7134_0001.tif,web/7134_0001_web.jpg,thumb/7134_0001_thumb.jpg
3,Flyleaf 1,master/7134_0002.tif,web/7134_0002_web.jpg,thumb/7134_0002_thumb.jpg
4,Flyleaf 2,master/7134_0003.tif,web/7134_0003_web.jpg,thumb/7134_0003_thumb.jpg
5,i,master/7134_0004.tif,web/7134_0004_web.jpg,thumb/7134_0004_thumb.jpg
6,ii,master/7134_0005.tif,web/7134_0005_web.jpg,thumb/7134_0005_thumb.jpg
7,iii,master/7134_0006.tif,web/7134_0006_web.jpg,thumb/7134_0006_thumb.jpg
8,iv,master/7134_0007.tif,web/7134_0007_web.jpg,thumb/7134_0007_thumb.jpg
9,1,master/7134_0008.tif,web/7134_0008_web.jpg,thumb/7134_0008_thumb.jpg
10,2,master/7134_0009.tif,web/7134_0009_web.jpg,thumb/7134_0009_thumb.jpg
11,3,master/7134_0010.tif,web/7134_0010_web.jpg,thumb/7134_0010_thumb.jpg
12,4,master/7134_0011.tif,web/7134_0011_web.jpg,thumb/7134_0011_thumb.jpg
13,5,master/7134_0012.tif,web/7134_0012_web.jpg,thumb/7134_0012_thumb.jpg
14,6,master/7134_0013.tif,web/7134_0013_web.jpg,thumb/7134_0013_thumb.jpg
15,7,master/7134_0014.tif,web/7134_0014_web.jpg,thumb/7134_0014_thumb.jpg
16,8,master/7134_0015.tif,web/7134_0015_web.jpg,thumb/7134_0015_thumb.jpg
17,i,master/7134_0016.tif,web/7134_0016_web.jpg,thumb/7134_0016_thumb.jpg
18,Flyleaf 2,master/7134_0017.tif,web/7134_0017_web.jpg,thumb/7134_0017_thumb.jpg
19,Inside back cover,master/7134_0018.tif,web/7134_0018_web.jpg,thumb/7134_0018_thumb.jpg
20,Back cover,master/7134_0019.tif,web/7134_0019_web.jpg,thumb/7134_0019_thumb.jpg
