postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/7290_0000.tif,web/7290_0000_web.jpg,thumb/7290_0000_thumb.jpg
2,Inside front cover,master/7290_0001.tif,web/7290_0001_web.jpg,thumb/7290_0001_thumb.jpg
3,Flyleaf 1,master/7290_0002.tif,web/7290_0002_web.jpg,thumb/7290_0002_thumb.jpg
4,Flyleaf 2,master/7290_0003.tif,web/7290_0003_web.jpg,thumb/7290_0003_thumb.jpg
5,Flyleaf 3,master/7290_0004.tif,web/7290_0004_web.jpg,thumb/7290_0004_thumb.jpg
6,Flyleaf 14,master/7290_0005.tif,web/7290_0005_web.jpg,thumb/7290_0005_thumb.jpg
7,1r,master/7290_0006.tif,web/7290_0006_web.jpg,thumb/7290_0006_thumb.jpg
8,1v,master/7290_0007.tif,web/7290_0007_web.jpg,thumb/7290_0007_thumb.jpg
9,2r,master/7290_0008.tif,web/7290_0008_web.jpg,thumb/7290_0008_thumb.jpg
10,3v,master/7290_0009.tif,web/7290_0009_web.jpg,thumb/7290_0009_thumb.jpg
11,4r,master/7290_0010.tif,web/7290_0010_web.jpg,thumb/7290_0010_thumb.jpg
12,4v,master/7290_0011.tif,web/7290_0011_web.jpg,thumb/7290_0011_thumb.jpg
13,5r,master/7290_0012.tif,web/7290_0012_web.jpg,thumb/7290_0012_thumb.jpg
14,4 =5v,master/7290_0013.tif,web/7290_0013_web.jpg,thumb/7290_0013_thumb.jpg
15,5 =6r,master/7290_0014.tif,web/7290_0014_web.jpg,thumb/7290_0014_thumb.jpg
16,6 =6v,master/7290_0015.tif,web/7290_0015_web.jpg,thumb/7290_0015_thumb.jpg
17,7 =7r,master/7290_0016.tif,web/7290_0016_web.jpg,thumb/7290_0016_thumb.jpg
18,8 =7v,master/7290_0017.tif,web/7290_0017_web.jpg,thumb/7290_0017_thumb.jpg
19,"8r 8v-11r, blank, not shot",master/7290_0018.tif,web/7290_0018_web.jpg,thumb/7290_0018_thumb.jpg
20,11v,master/7290_0019.tif,web/7290_0019_web.jpg,thumb/7290_0019_thumb.jpg
21,12r,master/7290_0020.tif,web/7290_0020_web.jpg,thumb/7290_0020_thumb.jpg
22,12v,master/7290_0021.tif,web/7290_0021_web.jpg,thumb/7290_0021_thumb.jpg
23,13r,master/7290_0022.tif,web/7290_0022_web.jpg,thumb/7290_0022_thumb.jpg
24,13v,master/7290_0023.tif,web/7290_0023_web.jpg,thumb/7290_0023_thumb.jpg
25,14r,master/7290_0024.tif,web/7290_0024_web.jpg,thumb/7290_0024_thumb.jpg
26,2 =14v,master/7290_0025.tif,web/7290_0025_web.jpg,thumb/7290_0025_thumb.jpg
27,3 =15r,master/7290_0026.tif,web/7290_0026_web.jpg,thumb/7290_0026_thumb.jpg
28,4 =15v,master/7290_0027.tif,web/7290_0027_web.jpg,thumb/7290_0027_thumb.jpg
29,5 =16r,master/7290_0028.tif,web/7290_0028_web.jpg,thumb/7290_0028_thumb.jpg
30,6 =16v,master/7290_0029.tif,web/7290_0029_web.jpg,thumb/7290_0029_thumb.jpg
31,7 =17r,master/7290_0030.tif,web/7290_0030_web.jpg,thumb/7290_0030_thumb.jpg
32,8 =17v,master/7290_0031.tif,web/7290_0031_web.jpg,thumb/7290_0031_thumb.jpg
33,9 =18r,master/7290_0032.tif,web/7290_0032_web.jpg,thumb/7290_0032_thumb.jpg
