postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Folder 112, 1r",master/2949_0000.tif,web/2949_0000_web.jpg,thumb/2949_0000_thumb.jpg
2,"Folder 112, 1v",master/2949_0001.tif,web/2949_0001_web.jpg,thumb/2949_0001_thumb.jpg
3,"Folder 112, 2r",master/2949_0002.tif,web/2949_0002_web.jpg,thumb/2949_0002_thumb.jpg
4,"Folder 112, 2v",master/2949_0003.tif,web/2949_0003_web.jpg,thumb/2949_0003_thumb.jpg
5,"Folder 112, 3r",master/2949_0004.tif,web/2949_0004_web.jpg,thumb/2949_0004_thumb.jpg
6,"Folder 112, 3v",master/2949_0005.tif,web/2949_0005_web.jpg,thumb/2949_0005_thumb.jpg
7,"Folder 112, 4r",master/2949_0006.tif,web/2949_0006_web.jpg,thumb/2949_0006_thumb.jpg
8,"Folder 112, 4v",master/2949_0007.tif,web/2949_0007_web.jpg,thumb/2949_0007_thumb.jpg
9,"Folder 112, 5r",master/2949_0008.tif,web/2949_0008_web.jpg,thumb/2949_0008_thumb.jpg
10,"Folder 112, 5v",master/2949_0009.tif,web/2949_0009_web.jpg,thumb/2949_0009_thumb.jpg
11,"Folder 112, 6r",master/2949_0010.tif,web/2949_0010_web.jpg,thumb/2949_0010_thumb.jpg
12,"Folder 112, 6v",master/2949_0011.tif,web/2949_0011_web.jpg,thumb/2949_0011_thumb.jpg
13,"Folder 112, 7r",master/2949_0012.tif,web/2949_0012_web.jpg,thumb/2949_0012_thumb.jpg
14,"Folder 112, 7v",master/2949_0013.tif,web/2949_0013_web.jpg,thumb/2949_0013_thumb.jpg
15,"Folder 112, 8r",master/2949_0014.tif,web/2949_0014_web.jpg,thumb/2949_0014_thumb.jpg
16,"Folder 112, 8v",master/2949_0015.tif,web/2949_0015_web.jpg,thumb/2949_0015_thumb.jpg
17,"Folder 112, 9r",master/2949_0016.tif,web/2949_0016_web.jpg,thumb/2949_0016_thumb.jpg
18,"Folder 112, 9v",master/2949_0017.tif,web/2949_0017_web.jpg,thumb/2949_0017_thumb.jpg
19,"Folder 112, 10r",master/2949_0018.tif,web/2949_0018_web.jpg,thumb/2949_0018_thumb.jpg
20,"Folder 112, 10v",master/2949_0019.tif,web/2949_0019_web.jpg,thumb/2949_0019_thumb.jpg
21,"Folder 112, 11r",master/2949_0020.tif,web/2949_0020_web.jpg,thumb/2949_0020_thumb.jpg
