postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Folder 93, 1r",master/2818_0000.tif,web/2818_0000_web.jpg,thumb/2818_0000_thumb.jpg
2,"Folder 93, 1v",master/2818_0001.tif,web/2818_0001_web.jpg,thumb/2818_0001_thumb.jpg
3,"Folder 93, 2r",master/2818_0002.tif,web/2818_0002_web.jpg,thumb/2818_0002_thumb.jpg
4,"Folder 93, 2v",master/2818_0003.tif,web/2818_0003_web.jpg,thumb/2818_0003_thumb.jpg
5,"Folder 93, 3r",master/2818_0004.tif,web/2818_0004_web.jpg,thumb/2818_0004_thumb.jpg
6,"Folder 93, 3v",master/2818_0005.tif,web/2818_0005_web.jpg,thumb/2818_0005_thumb.jpg
7,"Folder 93, 4r",master/2818_0006.tif,web/2818_0006_web.jpg,thumb/2818_0006_thumb.jpg
8,"Folder 93, 4v",master/2818_0007.tif,web/2818_0007_web.jpg,thumb/2818_0007_thumb.jpg
9,"Folder 93, 5r",master/2818_0008.tif,web/2818_0008_web.jpg,thumb/2818_0008_thumb.jpg
10,"Folder 93, 5v",master/2818_0009.tif,web/2818_0009_web.jpg,thumb/2818_0009_thumb.jpg
11,"Folder 93, 6r",master/2818_0010.tif,web/2818_0010_web.jpg,thumb/2818_0010_thumb.jpg
12,"Folder 93, 6v",master/2818_0011.tif,web/2818_0011_web.jpg,thumb/2818_0011_thumb.jpg
13,"Folder 93, 7r",master/2818_0012.tif,web/2818_0012_web.jpg,thumb/2818_0012_thumb.jpg
14,"Folder 93, 7v",master/2818_0013.tif,web/2818_0013_web.jpg,thumb/2818_0013_thumb.jpg
15,"Folder 93, 8r",master/2818_0014.tif,web/2818_0014_web.jpg,thumb/2818_0014_thumb.jpg
16,"Folder 93, 8v",master/2818_0015.tif,web/2818_0015_web.jpg,thumb/2818_0015_thumb.jpg
17,"Folder 93, 9r",master/2818_0016.tif,web/2818_0016_web.jpg,thumb/2818_0016_thumb.jpg
18,"Folder 93, 9v",master/2818_0017.tif,web/2818_0017_web.jpg,thumb/2818_0017_thumb.jpg
19,"Folder 93, 10r",master/2818_0018.tif,web/2818_0018_web.jpg,thumb/2818_0018_thumb.jpg
20,"Folder 93, 10v",master/2818_0019.tif,web/2818_0019_web.jpg,thumb/2818_0019_thumb.jpg
