postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Outside cover closed, top",master/7097_0000.tif,web/7097_0000_web.jpg,thumb/7097_0000_thumb.jpg
2,"Outside cover closed, bottom",master/7097_0001.tif,web/7097_0001_web.jpg,thumb/7097_0001_thumb.jpg
3,"Right side, rolled",master/7097_0002.tif,web/7097_0002_web.jpg,thumb/7097_0002_thumb.jpg
4,"Left side, rolled",master/7097_0003.tif,web/7097_0003_web.jpg,thumb/7097_0003_thumb.jpg
5,"Inside cover, fully open",master/7097_0004.tif,web/7097_0004_web.jpg,thumb/7097_0004_thumb.jpg
6,Leaf 1 recto,master/7097_0005.tif,web/7097_0005_web.jpg,thumb/7097_0005_thumb.jpg
7,Leaf 2 recto,master/7097_0006.tif,web/7097_0006_web.jpg,thumb/7097_0006_thumb.jpg
8,Leaf 3 recto,master/7097_0007.tif,web/7097_0007_web.jpg,thumb/7097_0007_thumb.jpg
9,Leaf 4 recto,master/7097_0008.tif,web/7097_0008_web.jpg,thumb/7097_0008_thumb.jpg
10,Leaf 5 recto,master/7097_0009.tif,web/7097_0009_web.jpg,thumb/7097_0009_thumb.jpg
11,"Outside cover, fully open",master/7097_0010.tif,web/7097_0010_web.jpg,thumb/7097_0010_thumb.jpg
12,Leaf 1 verso,master/7097_0011.tif,web/7097_0011_web.jpg,thumb/7097_0011_thumb.jpg
13,Leaf 2 verso,master/7097_0012.tif,web/7097_0012_web.jpg,thumb/7097_0012_thumb.jpg
14,Leaf 3 verso,master/7097_0013.tif,web/7097_0013_web.jpg,thumb/7097_0013_thumb.jpg
15,Leaf 4 verso,master/7097_0014.tif,web/7097_0014_web.jpg,thumb/7097_0014_thumb.jpg
16,Leaf 5 verso,master/7097_0015.tif,web/7097_0015_web.jpg,thumb/7097_0015_thumb.jpg
