postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front cover,master/0650_0000.tif,web/0650_0000_web.jpg,thumb/0650_0000_thumb.jpg
2,inside front cover,master/0650_0001.tif,web/0650_0001_web.jpg,thumb/0650_0001_thumb.jpg
3,1,master/0650_0002.tif,web/0650_0002_web.jpg,thumb/0650_0002_thumb.jpg
4,2,master/0650_0003.tif,web/0650_0003_web.jpg,thumb/0650_0003_thumb.jpg
5,3,master/0650_0004.tif,web/0650_0004_web.jpg,thumb/0650_0004_thumb.jpg
6,4,master/0650_0005.tif,web/0650_0005_web.jpg,thumb/0650_0005_thumb.jpg
7,5,master/0650_0006.tif,web/0650_0006_web.jpg,thumb/0650_0006_thumb.jpg
8,6,master/0650_0007.tif,web/0650_0007_web.jpg,thumb/0650_0007_thumb.jpg
9,7,master/0650_0008.tif,web/0650_0008_web.jpg,thumb/0650_0008_thumb.jpg
10,8,master/0650_0009.tif,web/0650_0009_web.jpg,thumb/0650_0009_thumb.jpg
11,9,master/0650_0010.tif,web/0650_0010_web.jpg,thumb/0650_0010_thumb.jpg
12,10,master/0650_0011.tif,web/0650_0011_web.jpg,thumb/0650_0011_thumb.jpg
13,11,master/0650_0012.tif,web/0650_0012_web.jpg,thumb/0650_0012_thumb.jpg
14,12,master/0650_0013.tif,web/0650_0013_web.jpg,thumb/0650_0013_thumb.jpg
15,13,master/0650_0014.tif,web/0650_0014_web.jpg,thumb/0650_0014_thumb.jpg
16,14,master/0650_0015.tif,web/0650_0015_web.jpg,thumb/0650_0015_thumb.jpg
17,15,master/0650_0016.tif,web/0650_0016_web.jpg,thumb/0650_0016_thumb.jpg
18,16,master/0650_0017.tif,web/0650_0017_web.jpg,thumb/0650_0017_thumb.jpg
19,17,master/0650_0018.tif,web/0650_0018_web.jpg,thumb/0650_0018_thumb.jpg
20,18,master/0650_0019.tif,web/0650_0019_web.jpg,thumb/0650_0019_thumb.jpg
21,19,master/0650_0020.tif,web/0650_0020_web.jpg,thumb/0650_0020_thumb.jpg
22,20,master/0650_0021.tif,web/0650_0021_web.jpg,thumb/0650_0021_thumb.jpg
23,21,master/0650_0022.tif,web/0650_0022_web.jpg,thumb/0650_0022_thumb.jpg
24,22,master/0650_0023.tif,web/0650_0023_web.jpg,thumb/0650_0023_thumb.jpg
25,23,master/0650_0024.tif,web/0650_0024_web.jpg,thumb/0650_0024_thumb.jpg
26,24,master/0650_0025.tif,web/0650_0025_web.jpg,thumb/0650_0025_thumb.jpg
27,25,master/0650_0026.tif,web/0650_0026_web.jpg,thumb/0650_0026_thumb.jpg
28,26,master/0650_0027.tif,web/0650_0027_web.jpg,thumb/0650_0027_thumb.jpg
29,27,master/0650_0028.tif,web/0650_0028_web.jpg,thumb/0650_0028_thumb.jpg
30,28,master/0650_0029.tif,web/0650_0029_web.jpg,thumb/0650_0029_thumb.jpg
31,Letter at back of book 1,master/0650_0030.tif,web/0650_0030_web.jpg,thumb/0650_0030_thumb.jpg
32,Letter at back of book 2,master/0650_0031.tif,web/0650_0031_web.jpg,thumb/0650_0031_thumb.jpg
33,Letter at back of book 3,master/0650_0032.tif,web/0650_0032_web.jpg,thumb/0650_0032_thumb.jpg
34,Letter at back of book 4,master/0650_0033.tif,web/0650_0033_web.jpg,thumb/0650_0033_thumb.jpg
35,Letter at back of book 5,master/0650_0034.tif,web/0650_0034_web.jpg,thumb/0650_0034_thumb.jpg
36,Letter at back of book 6,master/0650_0035.tif,web/0650_0035_web.jpg,thumb/0650_0035_thumb.jpg
37,Letter at back of book 7,master/0650_0036.tif,web/0650_0036_web.jpg,thumb/0650_0036_thumb.jpg
38,Letter at back of book 8,master/0650_0037.tif,web/0650_0037_web.jpg,thumb/0650_0037_thumb.jpg
39,Letter at back of book 9,master/0650_0038.tif,web/0650_0038_web.jpg,thumb/0650_0038_thumb.jpg
40,Letter at back of book 10,master/0650_0039.tif,web/0650_0039_web.jpg,thumb/0650_0039_thumb.jpg
41,Letter at back of book 11,master/0650_0040.tif,web/0650_0040_web.jpg,thumb/0650_0040_thumb.jpg
42,Letter at back of book 12,master/0650_0041.tif,web/0650_0041_web.jpg,thumb/0650_0041_thumb.jpg
43,Letter at back of book 13,master/0650_0042.tif,web/0650_0042_web.jpg,thumb/0650_0042_thumb.jpg
44,Letter at back of book 14,master/0650_0043.tif,web/0650_0043_web.jpg,thumb/0650_0043_thumb.jpg
45,Letter at back of book 15,master/0650_0044.tif,web/0650_0044_web.jpg,thumb/0650_0044_thumb.jpg
46,Letter at back of book 16,master/0650_0045.tif,web/0650_0045_web.jpg,thumb/0650_0045_thumb.jpg
47,Letter at back of book 17,master/0650_0046.tif,web/0650_0046_web.jpg,thumb/0650_0046_thumb.jpg
48,Letter at back of book 18,master/0650_0047.tif,web/0650_0047_web.jpg,thumb/0650_0047_thumb.jpg
49,Letter at back of book 19,master/0650_0048.tif,web/0650_0048_web.jpg,thumb/0650_0048_thumb.jpg
50,Letter at back of book 20,master/0650_0049.tif,web/0650_0049_web.jpg,thumb/0650_0049_thumb.jpg
51,Letter at back of book 21,master/0650_0050.tif,web/0650_0050_web.jpg,thumb/0650_0050_thumb.jpg
52,back cover,master/0650_0051.tif,web/0650_0051_web.jpg,thumb/0650_0051_thumb.jpg
