postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/7253_0000.tif,web/7253_0000_web.jpg,thumb/7253_0000_thumb.jpg
2,Inside front cover,master/7253_0001.tif,web/7253_0001_web.jpg,thumb/7253_0001_thumb.jpg
3,Flyleaf 1 recto,master/7253_0002.tif,web/7253_0002_web.jpg,thumb/7253_0002_thumb.jpg
4,Flyleaf 1 verso,master/7253_0003.tif,web/7253_0003_web.jpg,thumb/7253_0003_thumb.jpg
5,1r,master/7253_0004.tif,web/7253_0004_web.jpg,thumb/7253_0004_thumb.jpg
6,1v,master/7253_0005.tif,web/7253_0005_web.jpg,thumb/7253_0005_thumb.jpg
7,2r,master/7253_0006.tif,web/7253_0006_web.jpg,thumb/7253_0006_thumb.jpg
8,2v,master/7253_0007.tif,web/7253_0007_web.jpg,thumb/7253_0007_thumb.jpg
9,3r,master/7253_0008.tif,web/7253_0008_web.jpg,thumb/7253_0008_thumb.jpg
10,3v,master/7253_0009.tif,web/7253_0009_web.jpg,thumb/7253_0009_thumb.jpg
11,4r,master/7253_0010.tif,web/7253_0010_web.jpg,thumb/7253_0010_thumb.jpg
12,4v,master/7253_0011.tif,web/7253_0011_web.jpg,thumb/7253_0011_thumb.jpg
13,5r,master/7253_0012.tif,web/7253_0012_web.jpg,thumb/7253_0012_thumb.jpg
14,5v,master/7253_0013.tif,web/7253_0013_web.jpg,thumb/7253_0013_thumb.jpg
15,6r,master/7253_0014.tif,web/7253_0014_web.jpg,thumb/7253_0014_thumb.jpg
16,6v,master/7253_0015.tif,web/7253_0015_web.jpg,thumb/7253_0015_thumb.jpg
17,7r,master/7253_0016.tif,web/7253_0016_web.jpg,thumb/7253_0016_thumb.jpg
18,7v,master/7253_0017.tif,web/7253_0017_web.jpg,thumb/7253_0017_thumb.jpg
19,8r,master/7253_0018.tif,web/7253_0018_web.jpg,thumb/7253_0018_thumb.jpg
20,8v,master/7253_0019.tif,web/7253_0019_web.jpg,thumb/7253_0019_thumb.jpg
21,9r,master/7253_0020.tif,web/7253_0020_web.jpg,thumb/7253_0020_thumb.jpg
22,9v,master/7253_0021.tif,web/7253_0021_web.jpg,thumb/7253_0021_thumb.jpg
23,10r,master/7253_0022.tif,web/7253_0022_web.jpg,thumb/7253_0022_thumb.jpg
24,10v,master/7253_0023.tif,web/7253_0023_web.jpg,thumb/7253_0023_thumb.jpg
25,11r,master/7253_0024.tif,web/7253_0024_web.jpg,thumb/7253_0024_thumb.jpg
26,11v,master/7253_0025.tif,web/7253_0025_web.jpg,thumb/7253_0025_thumb.jpg
27,12r,master/7253_0026.tif,web/7253_0026_web.jpg,thumb/7253_0026_thumb.jpg
28,12v,master/7253_0027.tif,web/7253_0027_web.jpg,thumb/7253_0027_thumb.jpg
29,Flyleaf 1 recto,master/7253_0028.tif,web/7253_0028_web.jpg,thumb/7253_0028_thumb.jpg
30,Flyleaf 1 verso,master/7253_0029.tif,web/7253_0029_web.jpg,thumb/7253_0029_thumb.jpg
31,Inside back cover,master/7253_0030.tif,web/7253_0030_web.jpg,thumb/7253_0030_thumb.jpg
32,Back cover,master/7253_0031.tif,web/7253_0031_web.jpg,thumb/7253_0031_thumb.jpg
33,Spine,master/7253_0032.tif,web/7253_0032_web.jpg,thumb/7253_0032_thumb.jpg
34,Fore edge,master/7253_0033.tif,web/7253_0033_web.jpg,thumb/7253_0033_thumb.jpg
35,Top edge,master/7253_0034.tif,web/7253_0034_web.jpg,thumb/7253_0034_thumb.jpg
36,Bottom edge,master/7253_0035.tif,web/7253_0035_web.jpg,thumb/7253_0035_thumb.jpg
