postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/0672_0000.tif,web/0672_0000_web.jpg,thumb/0672_0000_thumb.jpg
2,Inside front cover,master/0672_0001.tif,web/0672_0001_web.jpg,thumb/0672_0001_thumb.jpg
3,Preliminary leaf 1r,master/0672_0002.tif,web/0672_0002_web.jpg,thumb/0672_0002_thumb.jpg
4,Preliminary leaf 1v,master/0672_0003.tif,web/0672_0003_web.jpg,thumb/0672_0003_thumb.jpg
5,Preliminary leaf 2r,master/0672_0004.tif,web/0672_0004_web.jpg,thumb/0672_0004_thumb.jpg
6,Preliminary leaf 2v,master/0672_0005.tif,web/0672_0005_web.jpg,thumb/0672_0005_thumb.jpg
7,Preliminary leaf 3r,master/0672_0006.tif,web/0672_0006_web.jpg,thumb/0672_0006_thumb.jpg
8,Preliminary leaf 3v,master/0672_0007.tif,web/0672_0007_web.jpg,thumb/0672_0007_thumb.jpg
9,Preliminary leaf 4r,master/0672_0008.tif,web/0672_0008_web.jpg,thumb/0672_0008_thumb.jpg
10,Preliminary leaf 4v,master/0672_0009.tif,web/0672_0009_web.jpg,thumb/0672_0009_thumb.jpg
11,Preliminary leaf 5r,master/0672_0010.tif,web/0672_0010_web.jpg,thumb/0672_0010_thumb.jpg
12,Preliminary leaf 5v,master/0672_0011.tif,web/0672_0011_web.jpg,thumb/0672_0011_thumb.jpg
13,Preliminary leaf 6r,master/0672_0012.tif,web/0672_0012_web.jpg,thumb/0672_0012_thumb.jpg
14,Preliminary leaf 6v,master/0672_0013.tif,web/0672_0013_web.jpg,thumb/0672_0013_thumb.jpg
15,Preliminary leaf 7r,master/0672_0014.tif,web/0672_0014_web.jpg,thumb/0672_0014_thumb.jpg
16,Preliminary leaf 7v,master/0672_0015.tif,web/0672_0015_web.jpg,thumb/0672_0015_thumb.jpg
17,Preliminary leaf 8r,master/0672_0016.tif,web/0672_0016_web.jpg,thumb/0672_0016_thumb.jpg
18,Preliminary leaf 8v,master/0672_0017.tif,web/0672_0017_web.jpg,thumb/0672_0017_thumb.jpg
19,Preliminary leaf 9r,master/0672_0018.tif,web/0672_0018_web.jpg,thumb/0672_0018_thumb.jpg
20,Preliminary leaf 9v,master/0672_0019.tif,web/0672_0019_web.jpg,thumb/0672_0019_thumb.jpg
21,Preliminary leaf 10r,master/0672_0020.tif,web/0672_0020_web.jpg,thumb/0672_0020_thumb.jpg
22,Preliminary leaf 10v,master/0672_0021.tif,web/0672_0021_web.jpg,thumb/0672_0021_thumb.jpg
23,Preliminary leaf 11r,master/0672_0022.tif,web/0672_0022_web.jpg,thumb/0672_0022_thumb.jpg
24,Preliminary leaf 11v,master/0672_0023.tif,web/0672_0023_web.jpg,thumb/0672_0023_thumb.jpg
25,Preliminary leaf 12r,master/0672_0024.tif,web/0672_0024_web.jpg,thumb/0672_0024_thumb.jpg
26,Preliminary leaf 12v,master/0672_0025.tif,web/0672_0025_web.jpg,thumb/0672_0025_thumb.jpg
27,Preliminary leaf 13r,master/0672_0026.tif,web/0672_0026_web.jpg,thumb/0672_0026_thumb.jpg
28,Preliminary leaf 13v,master/0672_0027.tif,web/0672_0027_web.jpg,thumb/0672_0027_thumb.jpg
