postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Side 1, Image 1",master/9182_0000.tif,web/9182_0000_web.jpg,thumb/9182_0000_thumb.jpg
2,"Side 1, Image 2",master/9182_0001.tif,web/9182_0001_web.jpg,thumb/9182_0001_thumb.jpg
3,"Side 1, Image 3",master/9182_0002.tif,web/9182_0002_web.jpg,thumb/9182_0002_thumb.jpg
4,"Side 1, Image 4",master/9182_0003.tif,web/9182_0003_web.jpg,thumb/9182_0003_thumb.jpg
5,"Side 1, Image 5",master/9182_0004.tif,web/9182_0004_web.jpg,thumb/9182_0004_thumb.jpg
6,"Side 1, Image 6",master/9182_0005.tif,web/9182_0005_web.jpg,thumb/9182_0005_thumb.jpg
7,"Side 1, Image 7",master/9182_0006.tif,web/9182_0006_web.jpg,thumb/9182_0006_thumb.jpg
8,"Side 1, Image 8",master/9182_0007.tif,web/9182_0007_web.jpg,thumb/9182_0007_thumb.jpg
9,"Side 1, Image 9",master/9182_0008.tif,web/9182_0008_web.jpg,thumb/9182_0008_thumb.jpg
10,"Side 1, Image 10",master/9182_0009.tif,web/9182_0009_web.jpg,thumb/9182_0009_thumb.jpg
11,"Side 1, Image 11",master/9182_0010.tif,web/9182_0010_web.jpg,thumb/9182_0010_thumb.jpg
12,"Side 1, Image 12",master/9182_0011.tif,web/9182_0011_web.jpg,thumb/9182_0011_thumb.jpg
13,"Side 1, Image 13",master/9182_0012.tif,web/9182_0012_web.jpg,thumb/9182_0012_thumb.jpg
14,"Side 1, Image 14",master/9182_0013.tif,web/9182_0013_web.jpg,thumb/9182_0013_thumb.jpg
15,"Side 1, Image 15",master/9182_0014.tif,web/9182_0014_web.jpg,thumb/9182_0014_thumb.jpg
16,"Side 1, Image 16",master/9182_0015.tif,web/9182_0015_web.jpg,thumb/9182_0015_thumb.jpg
17,"Side 1, Image 17",master/9182_0016.tif,web/9182_0016_web.jpg,thumb/9182_0016_thumb.jpg
18,"Side 1, Image 18",master/9182_0017.tif,web/9182_0017_web.jpg,thumb/9182_0017_thumb.jpg
19,"Side 1, Image 19",master/9182_0018.tif,web/9182_0018_web.jpg,thumb/9182_0018_thumb.jpg
20,"Side 1, Image 20",master/9182_0019.tif,web/9182_0019_web.jpg,thumb/9182_0019_thumb.jpg
21,"Side 1, Image 21",master/9182_0020.tif,web/9182_0020_web.jpg,thumb/9182_0020_thumb.jpg
22,"Side 1, Full Side",master/9182_0021.tif,web/9182_0021_web.jpg,thumb/9182_0021_thumb.jpg
23,"Side 2, Image 1",master/9182_0022.tif,web/9182_0022_web.jpg,thumb/9182_0022_thumb.jpg
24,"Side 2, Image 2",master/9182_0023.tif,web/9182_0023_web.jpg,thumb/9182_0023_thumb.jpg
25,"Side 2, Image 3",master/9182_0024.tif,web/9182_0024_web.jpg,thumb/9182_0024_thumb.jpg
26,"Side 2, Image 4",master/9182_0025.tif,web/9182_0025_web.jpg,thumb/9182_0025_thumb.jpg
27,"Side 2, Image 5",master/9182_0026.tif,web/9182_0026_web.jpg,thumb/9182_0026_thumb.jpg
28,"Side 2, Image 6",master/9182_0027.tif,web/9182_0027_web.jpg,thumb/9182_0027_thumb.jpg
29,"Side 2, Image 7",master/9182_0028.tif,web/9182_0028_web.jpg,thumb/9182_0028_thumb.jpg
30,"Side 2, Image 8",master/9182_0029.tif,web/9182_0029_web.jpg,thumb/9182_0029_thumb.jpg
31,"Side 2, Image 9",master/9182_0030.tif,web/9182_0030_web.jpg,thumb/9182_0030_thumb.jpg
32,"Side 2, Image 10",master/9182_0031.tif,web/9182_0031_web.jpg,thumb/9182_0031_thumb.jpg
33,"Side 2, Image 11",master/9182_0032.tif,web/9182_0032_web.jpg,thumb/9182_0032_thumb.jpg
34,"Side 2, Image 12",master/9182_0033.tif,web/9182_0033_web.jpg,thumb/9182_0033_thumb.jpg
35,"Side 2, Image 13",master/9182_0034.tif,web/9182_0034_web.jpg,thumb/9182_0034_thumb.jpg
36,"Side 2, Image 14",master/9182_0035.tif,web/9182_0035_web.jpg,thumb/9182_0035_thumb.jpg
37,"Side 2, Image 15",master/9182_0036.tif,web/9182_0036_web.jpg,thumb/9182_0036_thumb.jpg
38,"Side 2, Image 16",master/9182_0037.tif,web/9182_0037_web.jpg,thumb/9182_0037_thumb.jpg
39,"Side 2, Image 17",master/9182_0038.tif,web/9182_0038_web.jpg,thumb/9182_0038_thumb.jpg
40,"Side 2, Image 18",master/9182_0039.tif,web/9182_0039_web.jpg,thumb/9182_0039_thumb.jpg
41,"Side 2, Image 19",master/9182_0040.tif,web/9182_0040_web.jpg,thumb/9182_0040_thumb.jpg
42,"Side 2, Image 20",master/9182_0041.tif,web/9182_0041_web.jpg,thumb/9182_0041_thumb.jpg
43,"Side 2, Image 21",master/9182_0042.tif,web/9182_0042_web.jpg,thumb/9182_0042_thumb.jpg
44,"Side 2, Image 22",master/9182_0043.tif,web/9182_0043_web.jpg,thumb/9182_0043_thumb.jpg
45,"Side 2, Full Side",master/9182_0044.tif,web/9182_0044_web.jpg,thumb/9182_0044_thumb.jpg
46,"Box, Top Closed",master/9182_0045.tif,web/9182_0045_web.jpg,thumb/9182_0045_thumb.jpg
47,"Box, Top Open",master/9182_0046.tif,web/9182_0046_web.jpg,thumb/9182_0046_thumb.jpg
48,"Box, Upper Edge",master/9182_0047.tif,web/9182_0047_web.jpg,thumb/9182_0047_thumb.jpg
49,"Box, Top Angled",master/9182_0048.tif,web/9182_0048_web.jpg,thumb/9182_0048_thumb.jpg
50,"Box, Lower Edge",master/9182_0049.tif,web/9182_0049_web.jpg,thumb/9182_0049_thumb.jpg
51,"Box, Left Edge",master/9182_0050.tif,web/9182_0050_web.jpg,thumb/9182_0050_thumb.jpg
52,"Box, Right Edge",master/9182_0051.tif,web/9182_0051_web.jpg,thumb/9182_0051_thumb.jpg
53,"Box, Bottom",master/9182_0052.tif,web/9182_0052_web.jpg,thumb/9182_0052_thumb.jpg
54,"Roll on handles, view one",master/9182_0053.tif,web/9182_0053_web.jpg,thumb/9182_0053_thumb.jpg
55,"Roll on handles, view two",master/9182_0054.tif,web/9182_0054_web.jpg,thumb/9182_0054_thumb.jpg
56,"Roll on handles, view three",master/9182_0055.tif,web/9182_0055_web.jpg,thumb/9182_0055_thumb.jpg
57,"Roll on handles, view four",master/9182_0056.tif,web/9182_0056_web.jpg,thumb/9182_0056_thumb.jpg
58,"Roll on handles, view five",master/9182_0057.tif,web/9182_0057_web.jpg,thumb/9182_0057_thumb.jpg
