postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Inside front cover,master/0803_0000.tif,web/0803_0000_web.jpg,thumb/0803_0000_thumb.jpg
2,1,master/0803_0001.tif,web/0803_0001_web.jpg,thumb/0803_0001_thumb.jpg
3,2,master/0803_0002.tif,web/0803_0002_web.jpg,thumb/0803_0002_thumb.jpg
4,3,master/0803_0003.tif,web/0803_0003_web.jpg,thumb/0803_0003_thumb.jpg
5,4,master/0803_0004.tif,web/0803_0004_web.jpg,thumb/0803_0004_thumb.jpg
6,5,master/0803_0005.tif,web/0803_0005_web.jpg,thumb/0803_0005_thumb.jpg
7,6,master/0803_0006.tif,web/0803_0006_web.jpg,thumb/0803_0006_thumb.jpg
8,7,master/0803_0007.tif,web/0803_0007_web.jpg,thumb/0803_0007_thumb.jpg
9,8,master/0803_0008.tif,web/0803_0008_web.jpg,thumb/0803_0008_thumb.jpg
10,9,master/0803_0009.tif,web/0803_0009_web.jpg,thumb/0803_0009_thumb.jpg
11,10,master/0803_0010.tif,web/0803_0010_web.jpg,thumb/0803_0010_thumb.jpg
12,11,master/0803_0011.tif,web/0803_0011_web.jpg,thumb/0803_0011_thumb.jpg
13,12,master/0803_0012.tif,web/0803_0012_web.jpg,thumb/0803_0012_thumb.jpg
14,13,master/0803_0013.tif,web/0803_0013_web.jpg,thumb/0803_0013_thumb.jpg
15,14,master/0803_0014.tif,web/0803_0014_web.jpg,thumb/0803_0014_thumb.jpg
16,15,master/0803_0015.tif,web/0803_0015_web.jpg,thumb/0803_0015_thumb.jpg
17,16,master/0803_0016.tif,web/0803_0016_web.jpg,thumb/0803_0016_thumb.jpg
18,17,master/0803_0017.tif,web/0803_0017_web.jpg,thumb/0803_0017_thumb.jpg
19,18,master/0803_0018.tif,web/0803_0018_web.jpg,thumb/0803_0018_thumb.jpg
20,19,master/0803_0019.tif,web/0803_0019_web.jpg,thumb/0803_0019_thumb.jpg
21,20,master/0803_0020.tif,web/0803_0020_web.jpg,thumb/0803_0020_thumb.jpg
22,21,master/0803_0021.tif,web/0803_0021_web.jpg,thumb/0803_0021_thumb.jpg
23,22,master/0803_0022.tif,web/0803_0022_web.jpg,thumb/0803_0022_thumb.jpg
24,23,master/0803_0023.tif,web/0803_0023_web.jpg,thumb/0803_0023_thumb.jpg
25,24,master/0803_0024.tif,web/0803_0024_web.jpg,thumb/0803_0024_thumb.jpg
26,25,master/0803_0025.tif,web/0803_0025_web.jpg,thumb/0803_0025_thumb.jpg
27,26,master/0803_0026.tif,web/0803_0026_web.jpg,thumb/0803_0026_thumb.jpg
28,27,master/0803_0027.tif,web/0803_0027_web.jpg,thumb/0803_0027_thumb.jpg
29,28,master/0803_0028.tif,web/0803_0028_web.jpg,thumb/0803_0028_thumb.jpg
30,29,master/0803_0029.tif,web/0803_0029_web.jpg,thumb/0803_0029_thumb.jpg
31,30,master/0803_0030.tif,web/0803_0030_web.jpg,thumb/0803_0030_thumb.jpg
32,31,master/0803_0031.tif,web/0803_0031_web.jpg,thumb/0803_0031_thumb.jpg
33,32,master/0803_0032.tif,web/0803_0032_web.jpg,thumb/0803_0032_thumb.jpg
34,33,master/0803_0033.tif,web/0803_0033_web.jpg,thumb/0803_0033_thumb.jpg
35,34,master/0803_0034.tif,web/0803_0034_web.jpg,thumb/0803_0034_thumb.jpg
36,35,master/0803_0035.tif,web/0803_0035_web.jpg,thumb/0803_0035_thumb.jpg
37,36,master/0803_0036.tif,web/0803_0036_web.jpg,thumb/0803_0036_thumb.jpg
38,37,master/0803_0037.tif,web/0803_0037_web.jpg,thumb/0803_0037_thumb.jpg
39,38,master/0803_0038.tif,web/0803_0038_web.jpg,thumb/0803_0038_thumb.jpg
40,39,master/0803_0039.tif,web/0803_0039_web.jpg,thumb/0803_0039_thumb.jpg
41,40,master/0803_0040.tif,web/0803_0040_web.jpg,thumb/0803_0040_thumb.jpg
42,41,master/0803_0041.tif,web/0803_0041_web.jpg,thumb/0803_0041_thumb.jpg
43,42,master/0803_0042.tif,web/0803_0042_web.jpg,thumb/0803_0042_thumb.jpg
44,43,master/0803_0043.tif,web/0803_0043_web.jpg,thumb/0803_0043_thumb.jpg
45,44,master/0803_0044.tif,web/0803_0044_web.jpg,thumb/0803_0044_thumb.jpg
46,45,master/0803_0045.tif,web/0803_0045_web.jpg,thumb/0803_0045_thumb.jpg
47,46,master/0803_0046.tif,web/0803_0046_web.jpg,thumb/0803_0046_thumb.jpg
48,47,master/0803_0047.tif,web/0803_0047_web.jpg,thumb/0803_0047_thumb.jpg
49,48,master/0803_0048.tif,web/0803_0048_web.jpg,thumb/0803_0048_thumb.jpg
50,49,master/0803_0049.tif,web/0803_0049_web.jpg,thumb/0803_0049_thumb.jpg
51,50,master/0803_0050.tif,web/0803_0050_web.jpg,thumb/0803_0050_thumb.jpg
52,51,master/0803_0051.tif,web/0803_0051_web.jpg,thumb/0803_0051_thumb.jpg
53,52,master/0803_0052.tif,web/0803_0052_web.jpg,thumb/0803_0052_thumb.jpg
54,53,master/0803_0053.tif,web/0803_0053_web.jpg,thumb/0803_0053_thumb.jpg
55,54,master/0803_0054.tif,web/0803_0054_web.jpg,thumb/0803_0054_thumb.jpg
56,55,master/0803_0055.tif,web/0803_0055_web.jpg,thumb/0803_0055_thumb.jpg
57,56,master/0803_0056.tif,web/0803_0056_web.jpg,thumb/0803_0056_thumb.jpg
58,57,master/0803_0057.tif,web/0803_0057_web.jpg,thumb/0803_0057_thumb.jpg
59,58,master/0803_0058.tif,web/0803_0058_web.jpg,thumb/0803_0058_thumb.jpg
60,59,master/0803_0059.tif,web/0803_0059_web.jpg,thumb/0803_0059_thumb.jpg
61,60,master/0803_0060.tif,web/0803_0060_web.jpg,thumb/0803_0060_thumb.jpg
62,61,master/0803_0061.tif,web/0803_0061_web.jpg,thumb/0803_0061_thumb.jpg
63,62,master/0803_0062.tif,web/0803_0062_web.jpg,thumb/0803_0062_thumb.jpg
64,63,master/0803_0063.tif,web/0803_0063_web.jpg,thumb/0803_0063_thumb.jpg
65,64,master/0803_0064.tif,web/0803_0064_web.jpg,thumb/0803_0064_thumb.jpg
66,65,master/0803_0065.tif,web/0803_0065_web.jpg,thumb/0803_0065_thumb.jpg
67,66,master/0803_0066.tif,web/0803_0066_web.jpg,thumb/0803_0066_thumb.jpg
68,67,master/0803_0067.tif,web/0803_0067_web.jpg,thumb/0803_0067_thumb.jpg
69,68,master/0803_0068.tif,web/0803_0068_web.jpg,thumb/0803_0068_thumb.jpg
70,69,master/0803_0069.tif,web/0803_0069_web.jpg,thumb/0803_0069_thumb.jpg
71,70,master/0803_0070.tif,web/0803_0070_web.jpg,thumb/0803_0070_thumb.jpg
72,71,master/0803_0071.tif,web/0803_0071_web.jpg,thumb/0803_0071_thumb.jpg
73,72,master/0803_0072.tif,web/0803_0072_web.jpg,thumb/0803_0072_thumb.jpg
74,73,master/0803_0073.tif,web/0803_0073_web.jpg,thumb/0803_0073_thumb.jpg
75,74,master/0803_0074.tif,web/0803_0074_web.jpg,thumb/0803_0074_thumb.jpg
76,75,master/0803_0075.tif,web/0803_0075_web.jpg,thumb/0803_0075_thumb.jpg
