postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,cover,master/1007_0000.tif,web/1007_0000_web.jpg,thumb/1007_0000_thumb.jpg
2,cover,master/1007_0001.tif,web/1007_0001_web.jpg,thumb/1007_0001_thumb.jpg
3,cover,master/1007_0002.tif,web/1007_0002_web.jpg,thumb/1007_0002_thumb.jpg
4,cover,master/1007_0003.tif,web/1007_0003_web.jpg,thumb/1007_0003_thumb.jpg
5,cover,master/1007_0004.tif,web/1007_0004_web.jpg,thumb/1007_0004_thumb.jpg
6,cover,master/1007_0005.tif,web/1007_0005_web.jpg,thumb/1007_0005_thumb.jpg
7,(1)v,master/1007_0006.tif,web/1007_0006_web.jpg,thumb/1007_0006_thumb.jpg
8,(1),master/1007_0007.tif,web/1007_0007_web.jpg,thumb/1007_0007_thumb.jpg
9,(2),master/1007_0008.tif,web/1007_0008_web.jpg,thumb/1007_0008_thumb.jpg
10,(2)v,master/1007_0009.tif,web/1007_0009_web.jpg,thumb/1007_0009_thumb.jpg
11,front,master/1007_0010.tif,web/1007_0010_web.jpg,thumb/1007_0010_thumb.jpg
12,front,master/1007_0011.tif,web/1007_0011_web.jpg,thumb/1007_0011_thumb.jpg
13,front,master/1007_0012.tif,web/1007_0012_web.jpg,thumb/1007_0012_thumb.jpg
14,(3)v,master/1007_0013.tif,web/1007_0013_web.jpg,thumb/1007_0013_thumb.jpg
15,(3),master/1007_0014.tif,web/1007_0014_web.jpg,thumb/1007_0014_thumb.jpg
16,front,master/1007_0015.tif,web/1007_0015_web.jpg,thumb/1007_0015_thumb.jpg
17,(4),master/1007_0016.tif,web/1007_0016_web.jpg,thumb/1007_0016_thumb.jpg
18,front,master/1007_0017.tif,web/1007_0017_web.jpg,thumb/1007_0017_thumb.jpg
19,(5),master/1007_0018.tif,web/1007_0018_web.jpg,thumb/1007_0018_thumb.jpg
20,(6),master/1007_0019.tif,web/1007_0019_web.jpg,thumb/1007_0019_thumb.jpg
21,front,master/1007_0020.tif,web/1007_0020_web.jpg,thumb/1007_0020_thumb.jpg
22,front,master/1007_0021.tif,web/1007_0021_web.jpg,thumb/1007_0021_thumb.jpg
23,front,master/1007_0022.tif,web/1007_0022_web.jpg,thumb/1007_0022_thumb.jpg
24,front,master/1007_0023.tif,web/1007_0023_web.jpg,thumb/1007_0023_thumb.jpg
25,front,master/1007_0024.tif,web/1007_0024_web.jpg,thumb/1007_0024_thumb.jpg
26,preliminaries,master/1007_0025.tif,web/1007_0025_web.jpg,thumb/1007_0025_thumb.jpg
27,preliminaries,master/1007_0026.tif,web/1007_0026_web.jpg,thumb/1007_0026_thumb.jpg
28,preliminaries,master/1007_0027.tif,web/1007_0027_web.jpg,thumb/1007_0027_thumb.jpg
29,preliminaries,master/1007_0028.tif,web/1007_0028_web.jpg,thumb/1007_0028_thumb.jpg
30,preliminaries,master/1007_0029.tif,web/1007_0029_web.jpg,thumb/1007_0029_thumb.jpg
31,p. vi,master/1007_0030.tif,web/1007_0030_web.jpg,thumb/1007_0030_thumb.jpg
32,p. vii,master/1007_0031.tif,web/1007_0031_web.jpg,thumb/1007_0031_thumb.jpg
33,p. viii,master/1007_0032.tif,web/1007_0032_web.jpg,thumb/1007_0032_thumb.jpg
34,subscribers,master/1007_0033.tif,web/1007_0033_web.jpg,thumb/1007_0033_thumb.jpg
35,subscribers,master/1007_0034.tif,web/1007_0034_web.jpg,thumb/1007_0034_thumb.jpg
36,subscribers,master/1007_0035.tif,web/1007_0035_web.jpg,thumb/1007_0035_thumb.jpg
37,subscribers,master/1007_0036.tif,web/1007_0036_web.jpg,thumb/1007_0036_thumb.jpg
38,subscribers,master/1007_0037.tif,web/1007_0037_web.jpg,thumb/1007_0037_thumb.jpg
39,subscribers,master/1007_0038.tif,web/1007_0038_web.jpg,thumb/1007_0038_thumb.jpg
40,subscribers,master/1007_0039.tif,web/1007_0039_web.jpg,thumb/1007_0039_thumb.jpg
41,subscribers,master/1007_0040.tif,web/1007_0040_web.jpg,thumb/1007_0040_thumb.jpg
42,p. 1,master/1007_0041.tif,web/1007_0041_web.jpg,thumb/1007_0041_thumb.jpg
43,p. 2,master/1007_0042.tif,web/1007_0042_web.jpg,thumb/1007_0042_thumb.jpg
44,p. 3,master/1007_0043.tif,web/1007_0043_web.jpg,thumb/1007_0043_thumb.jpg
45,p. 4,master/1007_0044.tif,web/1007_0044_web.jpg,thumb/1007_0044_thumb.jpg
46,p. 5,master/1007_0045.tif,web/1007_0045_web.jpg,thumb/1007_0045_thumb.jpg
47,p. 6,master/1007_0046.tif,web/1007_0046_web.jpg,thumb/1007_0046_thumb.jpg
48,p. 7,master/1007_0047.tif,web/1007_0047_web.jpg,thumb/1007_0047_thumb.jpg
49,p. 8,master/1007_0048.tif,web/1007_0048_web.jpg,thumb/1007_0048_thumb.jpg
50,p. 9,master/1007_0049.tif,web/1007_0049_web.jpg,thumb/1007_0049_thumb.jpg
51,p. 10,master/1007_0050.tif,web/1007_0050_web.jpg,thumb/1007_0050_thumb.jpg
