postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6595_0000.tif,web/6595_0000_web.jpg,thumb/6595_0000_thumb.jpg
2,Inside front cover,master/6595_0001.tif,web/6595_0001_web.jpg,thumb/6595_0001_thumb.jpg
3,11r,master/6595_0002.tif,web/6595_0002_web.jpg,thumb/6595_0002_thumb.jpg
4,11v,master/6595_0003.tif,web/6595_0003_web.jpg,thumb/6595_0003_thumb.jpg
5,12r,master/6595_0004.tif,web/6595_0004_web.jpg,thumb/6595_0004_thumb.jpg
6,12v,master/6595_0005.tif,web/6595_0005_web.jpg,thumb/6595_0005_thumb.jpg
7,13r,master/6595_0006.tif,web/6595_0006_web.jpg,thumb/6595_0006_thumb.jpg
8,13v,master/6595_0007.tif,web/6595_0007_web.jpg,thumb/6595_0007_thumb.jpg
9,14r,master/6595_0008.tif,web/6595_0008_web.jpg,thumb/6595_0008_thumb.jpg
10,14v,master/6595_0009.tif,web/6595_0009_web.jpg,thumb/6595_0009_thumb.jpg
11,15r,master/6595_0010.tif,web/6595_0010_web.jpg,thumb/6595_0010_thumb.jpg
12,15v,master/6595_0011.tif,web/6595_0011_web.jpg,thumb/6595_0011_thumb.jpg
13,16r,master/6595_0012.tif,web/6595_0012_web.jpg,thumb/6595_0012_thumb.jpg
14,16v,master/6595_0013.tif,web/6595_0013_web.jpg,thumb/6595_0013_thumb.jpg
15,17r,master/6595_0014.tif,web/6595_0014_web.jpg,thumb/6595_0014_thumb.jpg
16,17v,master/6595_0015.tif,web/6595_0015_web.jpg,thumb/6595_0015_thumb.jpg
17,18r,master/6595_0016.tif,web/6595_0016_web.jpg,thumb/6595_0016_thumb.jpg
18,18v,master/6595_0017.tif,web/6595_0017_web.jpg,thumb/6595_0017_thumb.jpg
19,19r,master/6595_0018.tif,web/6595_0018_web.jpg,thumb/6595_0018_thumb.jpg
20,19v,master/6595_0019.tif,web/6595_0019_web.jpg,thumb/6595_0019_thumb.jpg
21,20r,master/6595_0020.tif,web/6595_0020_web.jpg,thumb/6595_0020_thumb.jpg
22,20v,master/6595_0021.tif,web/6595_0021_web.jpg,thumb/6595_0021_thumb.jpg
23,21r,master/6595_0022.tif,web/6595_0022_web.jpg,thumb/6595_0022_thumb.jpg
24,21v,master/6595_0023.tif,web/6595_0023_web.jpg,thumb/6595_0023_thumb.jpg
25,22r,master/6595_0024.tif,web/6595_0024_web.jpg,thumb/6595_0024_thumb.jpg
26,22v,master/6595_0025.tif,web/6595_0025_web.jpg,thumb/6595_0025_thumb.jpg
27,23r,master/6595_0026.tif,web/6595_0026_web.jpg,thumb/6595_0026_thumb.jpg
