postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1,master/10009_0000.tif,web/10009_0000_web.jpg,thumb/10009_0000_thumb.jpg
2,2,master/10009_0001.tif,web/10009_0001_web.jpg,thumb/10009_0001_thumb.jpg
3,3,master/10009_0002.tif,web/10009_0002_web.jpg,thumb/10009_0002_thumb.jpg
4,4,master/10009_0003.tif,web/10009_0003_web.jpg,thumb/10009_0003_thumb.jpg
5,5,master/10009_0004.tif,web/10009_0004_web.jpg,thumb/10009_0004_thumb.jpg
6,6,master/10009_0005.tif,web/10009_0005_web.jpg,thumb/10009_0005_thumb.jpg
7,7,master/10009_0006.tif,web/10009_0006_web.jpg,thumb/10009_0006_thumb.jpg
8,8,master/10009_0007.tif,web/10009_0007_web.jpg,thumb/10009_0007_thumb.jpg
9,9,master/10009_0008.tif,web/10009_0008_web.jpg,thumb/10009_0008_thumb.jpg
10,10,master/10009_0009.tif,web/10009_0009_web.jpg,thumb/10009_0009_thumb.jpg
11,11,master/10009_0010.tif,web/10009_0010_web.jpg,thumb/10009_0010_thumb.jpg
12,12,master/10009_0011.tif,web/10009_0011_web.jpg,thumb/10009_0011_thumb.jpg
13,13,master/10009_0012.tif,web/10009_0012_web.jpg,thumb/10009_0012_thumb.jpg
14,14,master/10009_0013.tif,web/10009_0013_web.jpg,thumb/10009_0013_thumb.jpg
15,15,master/10009_0014.tif,web/10009_0014_web.jpg,thumb/10009_0014_thumb.jpg
16,16,master/10009_0015.tif,web/10009_0015_web.jpg,thumb/10009_0015_thumb.jpg
17,17,master/10009_0016.tif,web/10009_0016_web.jpg,thumb/10009_0016_thumb.jpg
18,18,master/10009_0017.tif,web/10009_0017_web.jpg,thumb/10009_0017_thumb.jpg
19,19,master/10009_0018.tif,web/10009_0018_web.jpg,thumb/10009_0018_thumb.jpg
20,20,master/10009_0019.tif,web/10009_0019_web.jpg,thumb/10009_0019_thumb.jpg
21,21,master/10009_0020.tif,web/10009_0020_web.jpg,thumb/10009_0020_thumb.jpg
22,22,master/10009_0021.tif,web/10009_0021_web.jpg,thumb/10009_0021_thumb.jpg
23,23,master/10009_0022.tif,web/10009_0022_web.jpg,thumb/10009_0022_thumb.jpg
24,24,master/10009_0023.tif,web/10009_0023_web.jpg,thumb/10009_0023_thumb.jpg
