postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9806_0000.tif,web/9806_0000_web.jpg,thumb/9806_0000_thumb.jpg
2,Inside front cover,master/9806_0001.tif,web/9806_0001_web.jpg,thumb/9806_0001_thumb.jpg
3,Flyleaf 1 recto,master/9806_0002.tif,web/9806_0002_web.jpg,thumb/9806_0002_thumb.jpg
4,Flyleaf 1 verso,master/9806_0003.tif,web/9806_0003_web.jpg,thumb/9806_0003_thumb.jpg
5,Flyleaf 2 recto=Former front cover,master/9806_0004.tif,web/9806_0004_web.jpg,thumb/9806_0004_thumb.jpg
6,Flyleaf 2 verso=Former inside front cover,master/9806_0005.tif,web/9806_0005_web.jpg,thumb/9806_0005_thumb.jpg
7,Flyleaf 3 recto,master/9806_0006.tif,web/9806_0006_web.jpg,thumb/9806_0006_thumb.jpg
8,Flyleaf 3 verso,master/9806_0007.tif,web/9806_0007_web.jpg,thumb/9806_0007_thumb.jpg
9,0,master/9806_0008.tif,web/9806_0008_web.jpg,thumb/9806_0008_thumb.jpg
10,1,master/9806_0009.tif,web/9806_0009_web.jpg,thumb/9806_0009_thumb.jpg
11,2,master/9806_0010.tif,web/9806_0010_web.jpg,thumb/9806_0010_thumb.jpg
12,3,master/9806_0011.tif,web/9806_0011_web.jpg,thumb/9806_0011_thumb.jpg
13,4,master/9806_0012.tif,web/9806_0012_web.jpg,thumb/9806_0012_thumb.jpg
14,5,master/9806_0013.tif,web/9806_0013_web.jpg,thumb/9806_0013_thumb.jpg
15,6,master/9806_0014.tif,web/9806_0014_web.jpg,thumb/9806_0014_thumb.jpg
16,7,master/9806_0015.tif,web/9806_0015_web.jpg,thumb/9806_0015_thumb.jpg
17,8,master/9806_0016.tif,web/9806_0016_web.jpg,thumb/9806_0016_thumb.jpg
18,9,master/9806_0017.tif,web/9806_0017_web.jpg,thumb/9806_0017_thumb.jpg
19,10,master/9806_0018.tif,web/9806_0018_web.jpg,thumb/9806_0018_thumb.jpg
20,11,master/9806_0019.tif,web/9806_0019_web.jpg,thumb/9806_0019_thumb.jpg
21,12,master/9806_0020.tif,web/9806_0020_web.jpg,thumb/9806_0020_thumb.jpg
22,13,master/9806_0021.tif,web/9806_0021_web.jpg,thumb/9806_0021_thumb.jpg
23,14,master/9806_0022.tif,web/9806_0022_web.jpg,thumb/9806_0022_thumb.jpg
24,15,master/9806_0023.tif,web/9806_0023_web.jpg,thumb/9806_0023_thumb.jpg
25,16,master/9806_0024.tif,web/9806_0024_web.jpg,thumb/9806_0024_thumb.jpg
26,17,master/9806_0025.tif,web/9806_0025_web.jpg,thumb/9806_0025_thumb.jpg
27,18,master/9806_0026.tif,web/9806_0026_web.jpg,thumb/9806_0026_thumb.jpg
28,19,master/9806_0027.tif,web/9806_0027_web.jpg,thumb/9806_0027_thumb.jpg
29,20,master/9806_0028.tif,web/9806_0028_web.jpg,thumb/9806_0028_thumb.jpg
30,21,master/9806_0029.tif,web/9806_0029_web.jpg,thumb/9806_0029_thumb.jpg
31,22,master/9806_0030.tif,web/9806_0030_web.jpg,thumb/9806_0030_thumb.jpg
32,23,master/9806_0031.tif,web/9806_0031_web.jpg,thumb/9806_0031_thumb.jpg
33,24,master/9806_0032.tif,web/9806_0032_web.jpg,thumb/9806_0032_thumb.jpg
34,25,master/9806_0033.tif,web/9806_0033_web.jpg,thumb/9806_0033_thumb.jpg
35,26,master/9806_0034.tif,web/9806_0034_web.jpg,thumb/9806_0034_thumb.jpg
36,27,master/9806_0035.tif,web/9806_0035_web.jpg,thumb/9806_0035_thumb.jpg
37,28,master/9806_0036.tif,web/9806_0036_web.jpg,thumb/9806_0036_thumb.jpg
38,29,master/9806_0037.tif,web/9806_0037_web.jpg,thumb/9806_0037_thumb.jpg
39,30,master/9806_0038.tif,web/9806_0038_web.jpg,thumb/9806_0038_thumb.jpg
40,31,master/9806_0039.tif,web/9806_0039_web.jpg,thumb/9806_0039_thumb.jpg
41,32,master/9806_0040.tif,web/9806_0040_web.jpg,thumb/9806_0040_thumb.jpg
42,33,master/9806_0041.tif,web/9806_0041_web.jpg,thumb/9806_0041_thumb.jpg
43,34,master/9806_0042.tif,web/9806_0042_web.jpg,thumb/9806_0042_thumb.jpg
44,35,master/9806_0043.tif,web/9806_0043_web.jpg,thumb/9806_0043_thumb.jpg
45,36,master/9806_0044.tif,web/9806_0044_web.jpg,thumb/9806_0044_thumb.jpg
46,37,master/9806_0045.tif,web/9806_0045_web.jpg,thumb/9806_0045_thumb.jpg
47,38,master/9806_0046.tif,web/9806_0046_web.jpg,thumb/9806_0046_thumb.jpg
48,39,master/9806_0047.tif,web/9806_0047_web.jpg,thumb/9806_0047_thumb.jpg
49,40,master/9806_0048.tif,web/9806_0048_web.jpg,thumb/9806_0048_thumb.jpg
50,41,master/9806_0049.tif,web/9806_0049_web.jpg,thumb/9806_0049_thumb.jpg
51,42,master/9806_0050.tif,web/9806_0050_web.jpg,thumb/9806_0050_thumb.jpg
52,43,master/9806_0051.tif,web/9806_0051_web.jpg,thumb/9806_0051_thumb.jpg
53,44,master/9806_0052.tif,web/9806_0052_web.jpg,thumb/9806_0052_thumb.jpg
