postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Unlabeled,master/2317_0000.tif,web/2317_0000_web.jpg,thumb/2317_0000_thumb.jpg
2,1r blank,master/2317_0001.tif,web/2317_0001_web.jpg,thumb/2317_0001_thumb.jpg
3,1v-2r blank,master/2317_0002.tif,web/2317_0002_web.jpg,thumb/2317_0002_thumb.jpg
4,2v-3r blank,master/2317_0003.tif,web/2317_0003_web.jpg,thumb/2317_0003_thumb.jpg
5,3v-4r blank,master/2317_0004.tif,web/2317_0004_web.jpg,thumb/2317_0004_thumb.jpg
6,5v-6r blank,master/2317_0005.tif,web/2317_0005_web.jpg,thumb/2317_0005_thumb.jpg
7,7v-8r blank,master/2317_0006.tif,web/2317_0006_web.jpg,thumb/2317_0006_thumb.jpg
8,8v-9r blank,master/2317_0007.tif,web/2317_0007_web.jpg,thumb/2317_0007_thumb.jpg
9,9v-10r blank,master/2317_0008.tif,web/2317_0008_web.jpg,thumb/2317_0008_thumb.jpg
10,10v blank,master/2317_0009.tif,web/2317_0009_web.jpg,thumb/2317_0009_thumb.jpg
