postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/4126_0000.tif,web/4126_0000_web.jpg,thumb/4126_0000_thumb.jpg
2,1,master/4126_0001.tif,web/4126_0001_web.jpg,thumb/4126_0001_thumb.jpg
3,2,master/4126_0002.tif,web/4126_0002_web.jpg,thumb/4126_0002_thumb.jpg
4,3,master/4126_0003.tif,web/4126_0003_web.jpg,thumb/4126_0003_thumb.jpg
5,4,master/4126_0004.tif,web/4126_0004_web.jpg,thumb/4126_0004_thumb.jpg
6,5,master/4126_0005.tif,web/4126_0005_web.jpg,thumb/4126_0005_thumb.jpg
7,6,master/4126_0006.tif,web/4126_0006_web.jpg,thumb/4126_0006_thumb.jpg
8,7,master/4126_0007.tif,web/4126_0007_web.jpg,thumb/4126_0007_thumb.jpg
9,8,master/4126_0008.tif,web/4126_0008_web.jpg,thumb/4126_0008_thumb.jpg
10,1r,master/4126_0009.tif|master/4126_0010.tif,web/4126_0009_web.jpg|web/4126_0010_web.jpg,thumb/4126_0009_thumb.jpg|thumb/4126_0010_thumb.jpg
11,1v,master/4126_0011.tif,web/4126_0011_web.jpg,thumb/4126_0011_thumb.jpg
12,2r,master/4126_0012.tif|master/4126_0013.tif,web/4126_0012_web.jpg|web/4126_0013_web.jpg,thumb/4126_0012_thumb.jpg|thumb/4126_0013_thumb.jpg
13,2v,master/4126_0014.tif,web/4126_0014_web.jpg,thumb/4126_0014_thumb.jpg
14,3r,master/4126_0015.tif|master/4126_0016.tif,web/4126_0015_web.jpg|web/4126_0016_web.jpg,thumb/4126_0015_thumb.jpg|thumb/4126_0016_thumb.jpg
15,3v,master/4126_0017.tif,web/4126_0017_web.jpg,thumb/4126_0017_thumb.jpg
16,4r,master/4126_0018.tif|master/4126_0019.tif,web/4126_0018_web.jpg|web/4126_0019_web.jpg,thumb/4126_0018_thumb.jpg|thumb/4126_0019_thumb.jpg
17,4v,master/4126_0020.tif,web/4126_0020_web.jpg,thumb/4126_0020_thumb.jpg
18,5r,master/4126_0021.tif|master/4126_0022.tif,web/4126_0021_web.jpg|web/4126_0022_web.jpg,thumb/4126_0021_thumb.jpg|thumb/4126_0022_thumb.jpg
19,5v,master/4126_0023.tif,web/4126_0023_web.jpg,thumb/4126_0023_thumb.jpg
20,6r,master/4126_0024.tif|master/4126_0025.tif,web/4126_0024_web.jpg|web/4126_0025_web.jpg,thumb/4126_0024_thumb.jpg|thumb/4126_0025_thumb.jpg
21,6v,master/4126_0026.tif,web/4126_0026_web.jpg,thumb/4126_0026_thumb.jpg
22,7r,master/4126_0027.tif|master/4126_0028.tif,web/4126_0027_web.jpg|web/4126_0028_web.jpg,thumb/4126_0027_thumb.jpg|thumb/4126_0028_thumb.jpg
23,7v,master/4126_0029.tif,web/4126_0029_web.jpg,thumb/4126_0029_thumb.jpg
24,8r,master/4126_0030.tif|master/4126_0031.tif,web/4126_0030_web.jpg|web/4126_0031_web.jpg,thumb/4126_0030_thumb.jpg|thumb/4126_0031_thumb.jpg
25,8v,master/4126_0032.tif,web/4126_0032_web.jpg,thumb/4126_0032_thumb.jpg
26,9r,master/4126_0033.tif|master/4126_0034.tif,web/4126_0033_web.jpg|web/4126_0034_web.jpg,thumb/4126_0033_thumb.jpg|thumb/4126_0034_thumb.jpg
27,9v,master/4126_0035.tif,web/4126_0035_web.jpg,thumb/4126_0035_thumb.jpg
28,10r,master/4126_0036.tif|master/4126_0037.tif,web/4126_0036_web.jpg|web/4126_0037_web.jpg,thumb/4126_0036_thumb.jpg|thumb/4126_0037_thumb.jpg
29,10v,master/4126_0038.tif,web/4126_0038_web.jpg,thumb/4126_0038_thumb.jpg
30,11r,master/4126_0039.tif|master/4126_0040.tif,web/4126_0039_web.jpg|web/4126_0040_web.jpg,thumb/4126_0039_thumb.jpg|thumb/4126_0040_thumb.jpg
31,11v,master/4126_0041.tif,web/4126_0041_web.jpg,thumb/4126_0041_thumb.jpg
32,12r,master/4126_0042.tif|master/4126_0043.tif,web/4126_0042_web.jpg|web/4126_0043_web.jpg,thumb/4126_0042_thumb.jpg|thumb/4126_0043_thumb.jpg
33,12v,master/4126_0044.tif,web/4126_0044_web.jpg,thumb/4126_0044_thumb.jpg
34,13r,master/4126_0045.tif|master/4126_0046.tif,web/4126_0045_web.jpg|web/4126_0046_web.jpg,thumb/4126_0045_thumb.jpg|thumb/4126_0046_thumb.jpg
35,13v,master/4126_0047.tif,web/4126_0047_web.jpg,thumb/4126_0047_thumb.jpg
36,14r,master/4126_0048.tif,web/4126_0048_web.jpg,thumb/4126_0048_thumb.jpg
37,14v,master/4126_0049.tif,web/4126_0049_web.jpg,thumb/4126_0049_thumb.jpg
38,15r,master/4126_0050.tif|master/4126_0051.tif,web/4126_0050_web.jpg|web/4126_0051_web.jpg,thumb/4126_0050_thumb.jpg|thumb/4126_0051_thumb.jpg
39,15v,master/4126_0052.tif,web/4126_0052_web.jpg,thumb/4126_0052_thumb.jpg
40,16r,master/4126_0053.tif|master/4126_0054.tif,web/4126_0053_web.jpg|web/4126_0054_web.jpg,thumb/4126_0053_thumb.jpg|thumb/4126_0054_thumb.jpg
41,16v,master/4126_0055.tif,web/4126_0055_web.jpg,thumb/4126_0055_thumb.jpg
42,17r,master/4126_0056.tif,web/4126_0056_web.jpg,thumb/4126_0056_thumb.jpg
