postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/4257_0000.tif,web/4257_0000_web.jpg,thumb/4257_0000_thumb.jpg
2,Inside front cover,master/4257_0001.tif,web/4257_0001_web.jpg,thumb/4257_0001_thumb.jpg
3,89r,master/4257_0002.tif,web/4257_0002_web.jpg,thumb/4257_0002_thumb.jpg
4,89v,master/4257_0003.tif,web/4257_0003_web.jpg,thumb/4257_0003_thumb.jpg
5,90r,master/4257_0004.tif,web/4257_0004_web.jpg,thumb/4257_0004_thumb.jpg
6,90v,master/4257_0005.tif,web/4257_0005_web.jpg,thumb/4257_0005_thumb.jpg
7,91r,master/4257_0006.tif,web/4257_0006_web.jpg,thumb/4257_0006_thumb.jpg
8,91v,master/4257_0007.tif,web/4257_0007_web.jpg,thumb/4257_0007_thumb.jpg
9,92r,master/4257_0008.tif,web/4257_0008_web.jpg,thumb/4257_0008_thumb.jpg
10,92v,master/4257_0009.tif,web/4257_0009_web.jpg,thumb/4257_0009_thumb.jpg
11,93r,master/4257_0010.tif,web/4257_0010_web.jpg,thumb/4257_0010_thumb.jpg
12,93v,master/4257_0011.tif,web/4257_0011_web.jpg,thumb/4257_0011_thumb.jpg
13,94r,master/4257_0012.tif,web/4257_0012_web.jpg,thumb/4257_0012_thumb.jpg
14,94v,master/4257_0013.tif,web/4257_0013_web.jpg,thumb/4257_0013_thumb.jpg
15,95r,master/4257_0014.tif,web/4257_0014_web.jpg,thumb/4257_0014_thumb.jpg
16,95v,master/4257_0015.tif,web/4257_0015_web.jpg,thumb/4257_0015_thumb.jpg
17,96r,master/4257_0016.tif,web/4257_0016_web.jpg,thumb/4257_0016_thumb.jpg
18,96v,master/4257_0017.tif,web/4257_0017_web.jpg,thumb/4257_0017_thumb.jpg
19,97r,master/4257_0018.tif,web/4257_0018_web.jpg,thumb/4257_0018_thumb.jpg
20,97v,master/4257_0019.tif,web/4257_0019_web.jpg,thumb/4257_0019_thumb.jpg
21,98r,master/4257_0020.tif,web/4257_0020_web.jpg,thumb/4257_0020_thumb.jpg
22,98v,master/4257_0021.tif,web/4257_0021_web.jpg,thumb/4257_0021_thumb.jpg
23,99r,master/4257_0022.tif,web/4257_0022_web.jpg,thumb/4257_0022_thumb.jpg
24,99v,master/4257_0023.tif,web/4257_0023_web.jpg,thumb/4257_0023_thumb.jpg
25,100r,master/4257_0024.tif,web/4257_0024_web.jpg,thumb/4257_0024_thumb.jpg
26,100v,master/4257_0025.tif,web/4257_0025_web.jpg,thumb/4257_0025_thumb.jpg
27,101r,master/4257_0026.tif,web/4257_0026_web.jpg,thumb/4257_0026_thumb.jpg
28,101v,master/4257_0027.tif,web/4257_0027_web.jpg,thumb/4257_0027_thumb.jpg
29,102r,master/4257_0028.tif,web/4257_0028_web.jpg,thumb/4257_0028_thumb.jpg
30,102v,master/4257_0029.tif,web/4257_0029_web.jpg,thumb/4257_0029_thumb.jpg
31,103r,master/4257_0030.tif,web/4257_0030_web.jpg,thumb/4257_0030_thumb.jpg
