postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/4259_0000.tif,web/4259_0000_web.jpg,thumb/4259_0000_thumb.jpg
2,Inside front cover,master/4259_0001.tif,web/4259_0001_web.jpg,thumb/4259_0001_thumb.jpg
3,Flyleaf 1 recto,master/4259_0002.tif,web/4259_0002_web.jpg,thumb/4259_0002_thumb.jpg
4,Flyleaf 1 verso,master/4259_0003.tif,web/4259_0003_web.jpg,thumb/4259_0003_thumb.jpg
5,i,master/4259_0004.tif,web/4259_0004_web.jpg,thumb/4259_0004_thumb.jpg
6,ii,master/4259_0005.tif,web/4259_0005_web.jpg,thumb/4259_0005_thumb.jpg
7,iii,master/4259_0006.tif,web/4259_0006_web.jpg,thumb/4259_0006_thumb.jpg
8,iv,master/4259_0007.tif,web/4259_0007_web.jpg,thumb/4259_0007_thumb.jpg
9,v,master/4259_0008.tif,web/4259_0008_web.jpg,thumb/4259_0008_thumb.jpg
10,vi,master/4259_0009.tif,web/4259_0009_web.jpg,thumb/4259_0009_thumb.jpg
11,vii,master/4259_0010.tif,web/4259_0010_web.jpg,thumb/4259_0010_thumb.jpg
12,viii,master/4259_0011.tif,web/4259_0011_web.jpg,thumb/4259_0011_thumb.jpg
13,1r,master/4259_0012.tif,web/4259_0012_web.jpg,thumb/4259_0012_thumb.jpg
14,1v,master/4259_0013.tif,web/4259_0013_web.jpg,thumb/4259_0013_thumb.jpg
15,2r,master/4259_0014.tif,web/4259_0014_web.jpg,thumb/4259_0014_thumb.jpg
16,2v,master/4259_0015.tif,web/4259_0015_web.jpg,thumb/4259_0015_thumb.jpg
17,3r,master/4259_0016.tif,web/4259_0016_web.jpg,thumb/4259_0016_thumb.jpg
18,3v,master/4259_0017.tif,web/4259_0017_web.jpg,thumb/4259_0017_thumb.jpg
19,4r,master/4259_0018.tif,web/4259_0018_web.jpg,thumb/4259_0018_thumb.jpg
20,4v,master/4259_0019.tif,web/4259_0019_web.jpg,thumb/4259_0019_thumb.jpg
21,5r,master/4259_0020.tif,web/4259_0020_web.jpg,thumb/4259_0020_thumb.jpg
22,5v,master/4259_0021.tif,web/4259_0021_web.jpg,thumb/4259_0021_thumb.jpg
23,6r,master/4259_0022.tif,web/4259_0022_web.jpg,thumb/4259_0022_thumb.jpg
