postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Upper board outside,master/W593_000001_827.tif,"",thumb/W593_000001_thumb.jpg
2,Upper board inside,master/W593_000002_600.tif,"",thumb/W593_000002_thumb.jpg
3,Front flyleaf ia flap closed,master/W593_000003_820.tif,"",thumb/W593_000003_thumb.jpg
4,Front flyleaf ia ,master/W593_000004_600.tif,"",thumb/W593_000004_thumb.jpg
5,Front flyleaf ib,master/W593_000005_600.tif,"",thumb/W593_000005_thumb.jpg
6,Front flyleaf iia ,master/W593_000006_600.tif,"",thumb/W593_000006_thumb.jpg
7,Front flyleaf iib ,master/W593_000007_600.tif,"",thumb/W593_000007_thumb.jpg
8,fol. 1a,master/W593_000008_827.tif,"",thumb/W593_000008_thumb.jpg
9,fol. 1b,master/W593_000009_827.tif,"",thumb/W593_000009_thumb.jpg
10,fol. 2a,master/W593_000010_827.tif,"",thumb/W593_000010_thumb.jpg
11,fol. 2b,master/W593_000011_600.tif,"",thumb/W593_000011_thumb.jpg
12,fol. 3a,master/W593_000012_600.tif,"",thumb/W593_000012_thumb.jpg
13,fol. 3b,master/W593_000013_827.tif,"",thumb/W593_000013_thumb.jpg
14,fol. 4a,master/W593_000014_600.tif,"",thumb/W593_000014_thumb.jpg
15,fol. 4b,master/W593_000015_600.tif,"",thumb/W593_000015_thumb.jpg
16,fol. 5a,master/W593_000016_600.tif,"",thumb/W593_000016_thumb.jpg
17,fol. 5b,master/W593_000017_600.tif,"",thumb/W593_000017_thumb.jpg
18,fol. 6a,master/W593_000018_600.tif,"",thumb/W593_000018_thumb.jpg
19,fol. 6b,master/W593_000019_600.tif,"",thumb/W593_000019_thumb.jpg
20,fol. 7a,master/W593_000020_600.tif,"",thumb/W593_000020_thumb.jpg
21,fol. 7b,master/W593_000021_600.tif,"",thumb/W593_000021_thumb.jpg
22,fol. 8a,master/W593_000022_600.tif,"",thumb/W593_000022_thumb.jpg
23,fol. 8b,master/W593_000023_600.tif,"",thumb/W593_000023_thumb.jpg
24,fol. 9a,master/W593_000024_600.tif,"",thumb/W593_000024_thumb.jpg
25,fol. 9b,master/W593_000025_827.tif,"",thumb/W593_000025_thumb.jpg
26,fol. 10a,master/W593_000026_600.tif,"",thumb/W593_000026_thumb.jpg
27,fol. 10b,master/W593_000027_827.tif,"",thumb/W593_000027_thumb.jpg
28,fol. 11a,master/W593_000028_827.tif,"",thumb/W593_000028_thumb.jpg
29,fol. 11b,master/W593_000029_600.tif,"",thumb/W593_000029_thumb.jpg
30,fol. 12a,master/W593_000030_827.tif,"",thumb/W593_000030_thumb.jpg
31,fol. 12b,master/W593_000031_600.tif,"",thumb/W593_000031_thumb.jpg
32,fol. 13a,master/W593_000032_827.tif,"",thumb/W593_000032_thumb.jpg
33,fol. 13b,master/W593_000033_600.tif,"",thumb/W593_000033_thumb.jpg
34,fol. 14a,master/W593_000034_600.tif,"",thumb/W593_000034_thumb.jpg
35,fol. 14b,master/W593_000035_600.tif,"",thumb/W593_000035_thumb.jpg
36,fol. 15a,master/W593_000036_600.tif,"",thumb/W593_000036_thumb.jpg
37,fol. 15b,master/W593_000037_600.tif,"",thumb/W593_000037_thumb.jpg
38,fol. 16a,master/W593_000038_600.tif,"",thumb/W593_000038_thumb.jpg
39,fol. 16b,master/W593_000039_600.tif,"",thumb/W593_000039_thumb.jpg
40,fol. 17a,master/W593_000040_600.tif,"",thumb/W593_000040_thumb.jpg
41,fol. 17b,master/W593_000041_600.tif,"",thumb/W593_000041_thumb.jpg
42,fol. 18a,master/W593_000042_827.tif,"",thumb/W593_000042_thumb.jpg
43,fol. 18b,master/W593_000043_600.tif,"",thumb/W593_000043_thumb.jpg
44,fol. 19a,master/W593_000044_600.tif,"",thumb/W593_000044_thumb.jpg
45,fol. 19b,master/W593_000045_827.tif,"",thumb/W593_000045_thumb.jpg
46,fol. 20a,master/W593_000046_827.tif,"",thumb/W593_000046_thumb.jpg
47,fol. 20b,master/W593_000047_827.tif,"",thumb/W593_000047_thumb.jpg
48,fol. 21a,master/W593_000048_827.tif,"",thumb/W593_000048_thumb.jpg
49,fol. 21b,master/W593_000049_827.tif,"",thumb/W593_000049_thumb.jpg
50,fol. 22a,master/W593_000050_827.tif,"",thumb/W593_000050_thumb.jpg
51,fol. 22b,master/W593_000051_600.tif,"",thumb/W593_000051_thumb.jpg
52,fol. 23a,master/W593_000052_600.tif,"",thumb/W593_000052_thumb.jpg
