postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6820_0000.tif,web/6820_0000_web.jpg,thumb/6820_0000_thumb.jpg
2,Inside front cover,master/6820_0001.tif,web/6820_0001_web.jpg,thumb/6820_0001_thumb.jpg
3,1a,master/6820_0002.tif,web/6820_0002_web.jpg,thumb/6820_0002_thumb.jpg
4,1b,master/6820_0003.tif,web/6820_0003_web.jpg,thumb/6820_0003_thumb.jpg
5,2a,master/6820_0004.tif,web/6820_0004_web.jpg,thumb/6820_0004_thumb.jpg
6,2b,master/6820_0005.tif,web/6820_0005_web.jpg,thumb/6820_0005_thumb.jpg
7,3a,master/6820_0006.tif,web/6820_0006_web.jpg,thumb/6820_0006_thumb.jpg
8,3b,master/6820_0007.tif,web/6820_0007_web.jpg,thumb/6820_0007_thumb.jpg
9,4a,master/6820_0008.tif,web/6820_0008_web.jpg,thumb/6820_0008_thumb.jpg
10,4b,master/6820_0009.tif,web/6820_0009_web.jpg,thumb/6820_0009_thumb.jpg
11,5a,master/6820_0010.tif,web/6820_0010_web.jpg,thumb/6820_0010_thumb.jpg
12,5b,master/6820_0011.tif,web/6820_0011_web.jpg,thumb/6820_0011_thumb.jpg
13,6a,master/6820_0012.tif,web/6820_0012_web.jpg,thumb/6820_0012_thumb.jpg
14,6b,master/6820_0013.tif,web/6820_0013_web.jpg,thumb/6820_0013_thumb.jpg
15,7a,master/6820_0014.tif,web/6820_0014_web.jpg,thumb/6820_0014_thumb.jpg
16,7b,master/6820_0015.tif,web/6820_0015_web.jpg,thumb/6820_0015_thumb.jpg
17,8a,master/6820_0016.tif,web/6820_0016_web.jpg,thumb/6820_0016_thumb.jpg
18,8b,master/6820_0017.tif,web/6820_0017_web.jpg,thumb/6820_0017_thumb.jpg
19,9a,master/6820_0018.tif,web/6820_0018_web.jpg,thumb/6820_0018_thumb.jpg
20,9b,master/6820_0019.tif,web/6820_0019_web.jpg,thumb/6820_0019_thumb.jpg
21,10a,master/6820_0020.tif,web/6820_0020_web.jpg,thumb/6820_0020_thumb.jpg
22,10b,master/6820_0021.tif,web/6820_0021_web.jpg,thumb/6820_0021_thumb.jpg
23,Unnumbered side a,master/6820_0022.tif,web/6820_0022_web.jpg,thumb/6820_0022_thumb.jpg
24,Unnumbered side b,master/6820_0023.tif,web/6820_0023_web.jpg,thumb/6820_0023_thumb.jpg
25,11a,master/6820_0024.tif,web/6820_0024_web.jpg,thumb/6820_0024_thumb.jpg
26,11b,master/6820_0025.tif,web/6820_0025_web.jpg,thumb/6820_0025_thumb.jpg
27,12a,master/6820_0026.tif,web/6820_0026_web.jpg,thumb/6820_0026_thumb.jpg
28,12b,master/6820_0027.tif,web/6820_0027_web.jpg,thumb/6820_0027_thumb.jpg
29,13a,master/6820_0028.tif,web/6820_0028_web.jpg,thumb/6820_0028_thumb.jpg
30,13b,master/6820_0029.tif,web/6820_0029_web.jpg,thumb/6820_0029_thumb.jpg
31,14a,master/6820_0030.tif,web/6820_0030_web.jpg,thumb/6820_0030_thumb.jpg
32,14b,master/6820_0031.tif,web/6820_0031_web.jpg,thumb/6820_0031_thumb.jpg
33,15a,master/6820_0032.tif,web/6820_0032_web.jpg,thumb/6820_0032_thumb.jpg
34,15b,master/6820_0033.tif,web/6820_0033_web.jpg,thumb/6820_0033_thumb.jpg
35,16a,master/6820_0034.tif,web/6820_0034_web.jpg,thumb/6820_0034_thumb.jpg
36,16b,master/6820_0035.tif,web/6820_0035_web.jpg,thumb/6820_0035_thumb.jpg
37,17a,master/6820_0036.tif,web/6820_0036_web.jpg,thumb/6820_0036_thumb.jpg
38,17b,master/6820_0037.tif,web/6820_0037_web.jpg,thumb/6820_0037_thumb.jpg
39,18a,master/6820_0038.tif,web/6820_0038_web.jpg,thumb/6820_0038_thumb.jpg
40,18b,master/6820_0039.tif,web/6820_0039_web.jpg,thumb/6820_0039_thumb.jpg
41,19a,master/6820_0040.tif,web/6820_0040_web.jpg,thumb/6820_0040_thumb.jpg
42,19b,master/6820_0041.tif,web/6820_0041_web.jpg,thumb/6820_0041_thumb.jpg
43,20a,master/6820_0042.tif,web/6820_0042_web.jpg,thumb/6820_0042_thumb.jpg
44,20b,master/6820_0043.tif,web/6820_0043_web.jpg,thumb/6820_0043_thumb.jpg
45,21a,master/6820_0044.tif,web/6820_0044_web.jpg,thumb/6820_0044_thumb.jpg
46,21b,master/6820_0045.tif,web/6820_0045_web.jpg,thumb/6820_0045_thumb.jpg
47,22a,master/6820_0046.tif,web/6820_0046_web.jpg,thumb/6820_0046_thumb.jpg
48,22b,master/6820_0047.tif,web/6820_0047_web.jpg,thumb/6820_0047_thumb.jpg
49,23a,master/6820_0048.tif,web/6820_0048_web.jpg,thumb/6820_0048_thumb.jpg
50,23b,master/6820_0049.tif,web/6820_0049_web.jpg,thumb/6820_0049_thumb.jpg
51,24a,master/6820_0050.tif,web/6820_0050_web.jpg,thumb/6820_0050_thumb.jpg
52,24b,master/6820_0051.tif,web/6820_0051_web.jpg,thumb/6820_0051_thumb.jpg
53,25a,master/6820_0052.tif,web/6820_0052_web.jpg,thumb/6820_0052_thumb.jpg
54,25b,master/6820_0053.tif,web/6820_0053_web.jpg,thumb/6820_0053_thumb.jpg
55,26a,master/6820_0054.tif,web/6820_0054_web.jpg,thumb/6820_0054_thumb.jpg
56,26b,master/6820_0055.tif,web/6820_0055_web.jpg,thumb/6820_0055_thumb.jpg
57,27a,master/6820_0056.tif,web/6820_0056_web.jpg,thumb/6820_0056_thumb.jpg
58,27b,master/6820_0057.tif,web/6820_0057_web.jpg,thumb/6820_0057_thumb.jpg
59,28a,master/6820_0058.tif,web/6820_0058_web.jpg,thumb/6820_0058_thumb.jpg
60,28b,master/6820_0059.tif,web/6820_0059_web.jpg,thumb/6820_0059_thumb.jpg
61,29a,master/6820_0060.tif,web/6820_0060_web.jpg,thumb/6820_0060_thumb.jpg
62,29b,master/6820_0061.tif,web/6820_0061_web.jpg,thumb/6820_0061_thumb.jpg
63,30a,master/6820_0062.tif,web/6820_0062_web.jpg,thumb/6820_0062_thumb.jpg
64,30b,master/6820_0063.tif,web/6820_0063_web.jpg,thumb/6820_0063_thumb.jpg
65,31a,master/6820_0064.tif,web/6820_0064_web.jpg,thumb/6820_0064_thumb.jpg
66,31b,master/6820_0065.tif,web/6820_0065_web.jpg,thumb/6820_0065_thumb.jpg
67,32a,master/6820_0066.tif,web/6820_0066_web.jpg,thumb/6820_0066_thumb.jpg
