postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/5963_0000.tif,web/5963_0000_web.jpg,thumb/5963_0000_thumb.jpg
2,Inside front cover,master/5963_0001.tif,web/5963_0001_web.jpg,thumb/5963_0001_thumb.jpg
3,Flyleaf 1a,master/5963_0002.tif,web/5963_0002_web.jpg,thumb/5963_0002_thumb.jpg
4,Flyleaf 1b,master/5963_0003.tif,web/5963_0003_web.jpg,thumb/5963_0003_thumb.jpg
5,Flyleaf 2a,master/5963_0004.tif,web/5963_0004_web.jpg,thumb/5963_0004_thumb.jpg
6,Flyleaf 2b,master/5963_0005.tif,web/5963_0005_web.jpg,thumb/5963_0005_thumb.jpg
7,1a,master/5963_0006.tif,web/5963_0006_web.jpg,thumb/5963_0006_thumb.jpg
8,1b,master/5963_0007.tif,web/5963_0007_web.jpg,thumb/5963_0007_thumb.jpg
9,2a,master/5963_0008.tif,web/5963_0008_web.jpg,thumb/5963_0008_thumb.jpg
10,2b,master/5963_0009.tif,web/5963_0009_web.jpg,thumb/5963_0009_thumb.jpg
11,3a,master/5963_0010.tif,web/5963_0010_web.jpg,thumb/5963_0010_thumb.jpg
12,3b,master/5963_0011.tif,web/5963_0011_web.jpg,thumb/5963_0011_thumb.jpg
13,4a,master/5963_0012.tif,web/5963_0012_web.jpg,thumb/5963_0012_thumb.jpg
14,4b,master/5963_0013.tif,web/5963_0013_web.jpg,thumb/5963_0013_thumb.jpg
15,5a,master/5963_0014.tif,web/5963_0014_web.jpg,thumb/5963_0014_thumb.jpg
16,5b,master/5963_0015.tif,web/5963_0015_web.jpg,thumb/5963_0015_thumb.jpg
17,6a,master/5963_0016.tif,web/5963_0016_web.jpg,thumb/5963_0016_thumb.jpg
18,6b,master/5963_0017.tif,web/5963_0017_web.jpg,thumb/5963_0017_thumb.jpg
19,7a,master/5963_0018.tif,web/5963_0018_web.jpg,thumb/5963_0018_thumb.jpg
20,7b,master/5963_0019.tif,web/5963_0019_web.jpg,thumb/5963_0019_thumb.jpg
21,8a,master/5963_0020.tif,web/5963_0020_web.jpg,thumb/5963_0020_thumb.jpg
22,8b,master/5963_0021.tif,web/5963_0021_web.jpg,thumb/5963_0021_thumb.jpg
23,9a,master/5963_0022.tif,web/5963_0022_web.jpg,thumb/5963_0022_thumb.jpg
24,9b,master/5963_0023.tif,web/5963_0023_web.jpg,thumb/5963_0023_thumb.jpg
25,10a,master/5963_0024.tif,web/5963_0024_web.jpg,thumb/5963_0024_thumb.jpg
26,10b,master/5963_0025.tif,web/5963_0025_web.jpg,thumb/5963_0025_thumb.jpg
27,11a,master/5963_0026.tif,web/5963_0026_web.jpg,thumb/5963_0026_thumb.jpg
28,11b,master/5963_0027.tif,web/5963_0027_web.jpg,thumb/5963_0027_thumb.jpg
29,12a,master/5963_0028.tif,web/5963_0028_web.jpg,thumb/5963_0028_thumb.jpg
30,12b,master/5963_0029.tif,web/5963_0029_web.jpg,thumb/5963_0029_thumb.jpg
31,13a,master/5963_0030.tif,web/5963_0030_web.jpg,thumb/5963_0030_thumb.jpg
32,13b,master/5963_0031.tif,web/5963_0031_web.jpg,thumb/5963_0031_thumb.jpg
33,14a,master/5963_0032.tif,web/5963_0032_web.jpg,thumb/5963_0032_thumb.jpg
34,14b,master/5963_0033.tif,web/5963_0033_web.jpg,thumb/5963_0033_thumb.jpg
35,15a,master/5963_0034.tif,web/5963_0034_web.jpg,thumb/5963_0034_thumb.jpg
36,15b,master/5963_0035.tif,web/5963_0035_web.jpg,thumb/5963_0035_thumb.jpg
37,16a,master/5963_0036.tif,web/5963_0036_web.jpg,thumb/5963_0036_thumb.jpg
38,16b,master/5963_0037.tif,web/5963_0037_web.jpg,thumb/5963_0037_thumb.jpg
39,17a,master/5963_0038.tif,web/5963_0038_web.jpg,thumb/5963_0038_thumb.jpg
40,17b,master/5963_0039.tif,web/5963_0039_web.jpg,thumb/5963_0039_thumb.jpg
41,18a,master/5963_0040.tif,web/5963_0040_web.jpg,thumb/5963_0040_thumb.jpg
42,18b,master/5963_0041.tif,web/5963_0041_web.jpg,thumb/5963_0041_thumb.jpg
43,19a,master/5963_0042.tif,web/5963_0042_web.jpg,thumb/5963_0042_thumb.jpg
44,19b,master/5963_0043.tif,web/5963_0043_web.jpg,thumb/5963_0043_thumb.jpg
45,20a,master/5963_0044.tif,web/5963_0044_web.jpg,thumb/5963_0044_thumb.jpg
46,20b,master/5963_0045.tif,web/5963_0045_web.jpg,thumb/5963_0045_thumb.jpg
47,21a,master/5963_0046.tif,web/5963_0046_web.jpg,thumb/5963_0046_thumb.jpg
48,21b,master/5963_0047.tif,web/5963_0047_web.jpg,thumb/5963_0047_thumb.jpg
49,22a,master/5963_0048.tif,web/5963_0048_web.jpg,thumb/5963_0048_thumb.jpg
50,22b,master/5963_0049.tif,web/5963_0049_web.jpg,thumb/5963_0049_thumb.jpg
51,23a,master/5963_0050.tif,web/5963_0050_web.jpg,thumb/5963_0050_thumb.jpg
52,23b,master/5963_0051.tif,web/5963_0051_web.jpg,thumb/5963_0051_thumb.jpg
53,24a,master/5963_0052.tif,web/5963_0052_web.jpg,thumb/5963_0052_thumb.jpg
54,24b,master/5963_0053.tif,web/5963_0053_web.jpg,thumb/5963_0053_thumb.jpg
55,25a,master/5963_0054.tif,web/5963_0054_web.jpg,thumb/5963_0054_thumb.jpg
56,25b,master/5963_0055.tif,web/5963_0055_web.jpg,thumb/5963_0055_thumb.jpg
57,26a,master/5963_0056.tif,web/5963_0056_web.jpg,thumb/5963_0056_thumb.jpg
58,26b,master/5963_0057.tif,web/5963_0057_web.jpg,thumb/5963_0057_thumb.jpg
59,27a,master/5963_0058.tif,web/5963_0058_web.jpg,thumb/5963_0058_thumb.jpg
60,27b,master/5963_0059.tif,web/5963_0059_web.jpg,thumb/5963_0059_thumb.jpg
61,28a,master/5963_0060.tif,web/5963_0060_web.jpg,thumb/5963_0060_thumb.jpg
62,28b,master/5963_0061.tif,web/5963_0061_web.jpg,thumb/5963_0061_thumb.jpg
63,29a,master/5963_0062.tif,web/5963_0062_web.jpg,thumb/5963_0062_thumb.jpg
64,29b,master/5963_0063.tif,web/5963_0063_web.jpg,thumb/5963_0063_thumb.jpg
65,30a,master/5963_0064.tif,web/5963_0064_web.jpg,thumb/5963_0064_thumb.jpg
66,30b,master/5963_0065.tif,web/5963_0065_web.jpg,thumb/5963_0065_thumb.jpg
67,31a,master/5963_0066.tif,web/5963_0066_web.jpg,thumb/5963_0066_thumb.jpg
68,31b,master/5963_0067.tif,web/5963_0067_web.jpg,thumb/5963_0067_thumb.jpg
69,32a,master/5963_0068.tif,web/5963_0068_web.jpg,thumb/5963_0068_thumb.jpg
70,32b,master/5963_0069.tif,web/5963_0069_web.jpg,thumb/5963_0069_thumb.jpg
71,33a,master/5963_0070.tif,web/5963_0070_web.jpg,thumb/5963_0070_thumb.jpg
72,33b,master/5963_0071.tif,web/5963_0071_web.jpg,thumb/5963_0071_thumb.jpg
73,34a,master/5963_0072.tif,web/5963_0072_web.jpg,thumb/5963_0072_thumb.jpg
74,34b,master/5963_0073.tif,web/5963_0073_web.jpg,thumb/5963_0073_thumb.jpg
75,35a,master/5963_0074.tif,web/5963_0074_web.jpg,thumb/5963_0074_thumb.jpg
76,35b,master/5963_0075.tif,web/5963_0075_web.jpg,thumb/5963_0075_thumb.jpg
77,36a,master/5963_0076.tif,web/5963_0076_web.jpg,thumb/5963_0076_thumb.jpg
78,36b,master/5963_0077.tif,web/5963_0077_web.jpg,thumb/5963_0077_thumb.jpg
79,37a,master/5963_0078.tif,web/5963_0078_web.jpg,thumb/5963_0078_thumb.jpg
80,37b,master/5963_0079.tif,web/5963_0079_web.jpg,thumb/5963_0079_thumb.jpg
81,38a,master/5963_0080.tif,web/5963_0080_web.jpg,thumb/5963_0080_thumb.jpg
82,38b,master/5963_0081.tif,web/5963_0081_web.jpg,thumb/5963_0081_thumb.jpg
83,39a,master/5963_0082.tif,web/5963_0082_web.jpg,thumb/5963_0082_thumb.jpg
84,39b,master/5963_0083.tif,web/5963_0083_web.jpg,thumb/5963_0083_thumb.jpg
85,40a,master/5963_0084.tif,web/5963_0084_web.jpg,thumb/5963_0084_thumb.jpg
86,40b,master/5963_0085.tif,web/5963_0085_web.jpg,thumb/5963_0085_thumb.jpg
87,41a,master/5963_0086.tif,web/5963_0086_web.jpg,thumb/5963_0086_thumb.jpg
88,41b,master/5963_0087.tif,web/5963_0087_web.jpg,thumb/5963_0087_thumb.jpg
89,42a,master/5963_0088.tif,web/5963_0088_web.jpg,thumb/5963_0088_thumb.jpg
90,42b,master/5963_0089.tif,web/5963_0089_web.jpg,thumb/5963_0089_thumb.jpg
91,43a,master/5963_0090.tif,web/5963_0090_web.jpg,thumb/5963_0090_thumb.jpg
92,43b,master/5963_0091.tif,web/5963_0091_web.jpg,thumb/5963_0091_thumb.jpg
93,44a,master/5963_0092.tif,web/5963_0092_web.jpg,thumb/5963_0092_thumb.jpg
94,44b,master/5963_0093.tif,web/5963_0093_web.jpg,thumb/5963_0093_thumb.jpg
