postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Lewis E M 48.10A-E front,master/8134_0000.tif,web/8134_0000_web.jpg,thumb/8134_0000_thumb.jpg
2,Lewis E M 48.10A-E reverse,master/8134_0001.tif,web/8134_0001_web.jpg,thumb/8134_0001_thumb.jpg
3,Lewis E M 48.10A,master/8134_0002.tif,web/8134_0002_web.jpg,thumb/8134_0002_thumb.jpg
4,Lewis E M 48.10B,master/8134_0003.tif,web/8134_0003_web.jpg,thumb/8134_0003_thumb.jpg
5,Lewis E M 48.10C,master/8134_0004.tif,web/8134_0004_web.jpg,thumb/8134_0004_thumb.jpg
6,Lewis E M 48.10D,master/8134_0005.tif,web/8134_0005_web.jpg,thumb/8134_0005_thumb.jpg
7,Lewis E M 48.10E,master/8134_0006.tif,web/8134_0006_web.jpg,thumb/8134_0006_thumb.jpg
8,Lewis E M 48.10A reverse,master/8134_0007.tif,web/8134_0007_web.jpg,thumb/8134_0007_thumb.jpg
9,Lewis E M 48.10B reverse,master/8134_0008.tif,web/8134_0008_web.jpg,thumb/8134_0008_thumb.jpg
10,Lewis E M 48.10C reverse,master/8134_0009.tif,web/8134_0009_web.jpg,thumb/8134_0009_thumb.jpg
11,Lewis E M 48.10D reverse,master/8134_0010.tif,web/8134_0010_web.jpg,thumb/8134_0010_thumb.jpg
12,Lewis E M 48.10E reverse,master/8134_0011.tif,web/8134_0011_web.jpg,thumb/8134_0011_thumb.jpg
