postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Lewis E M 66.2 front,master/8272_0000.tif,web/8272_0000_web.jpg,thumb/8272_0000_thumb.jpg
2,Lewis E M 66.2 reverse,master/8272_0001.tif,web/8272_0001_web.jpg,thumb/8272_0001_thumb.jpg
3,Lewis E M 66.3 front,master/8272_0002.tif,web/8272_0002_web.jpg,thumb/8272_0002_thumb.jpg
4,Lewis E M 66.3 reverse,master/8272_0003.tif,web/8272_0003_web.jpg,thumb/8272_0003_thumb.jpg
5,Lewis E M 66.2A front,master/8272_0004.tif,web/8272_0004_web.jpg,thumb/8272_0004_thumb.jpg
6,Lewis E M 66.2B front,master/8272_0005.tif,web/8272_0005_web.jpg,thumb/8272_0005_thumb.jpg
7,Lewis E M 66.2C front,master/8272_0006.tif,web/8272_0006_web.jpg,thumb/8272_0006_thumb.jpg
8,Lewis E M 66.2D front,master/8272_0007.tif,web/8272_0007_web.jpg,thumb/8272_0007_thumb.jpg
9,Lewis E M 66.2E front,master/8272_0008.tif,web/8272_0008_web.jpg,thumb/8272_0008_thumb.jpg
10,Lewis E M 66.2F front,master/8272_0009.tif,web/8272_0009_web.jpg,thumb/8272_0009_thumb.jpg
11,Lewis E M 66.2G front,master/8272_0010.tif,web/8272_0010_web.jpg,thumb/8272_0010_thumb.jpg
12,Lewis E M 66.2H front,master/8272_0011.tif,web/8272_0011_web.jpg,thumb/8272_0011_thumb.jpg
13,Lewis E M 66.2I front,master/8272_0012.tif,web/8272_0012_web.jpg,thumb/8272_0012_thumb.jpg
14,Lewis E M 66.2J front,master/8272_0013.tif,web/8272_0013_web.jpg,thumb/8272_0013_thumb.jpg
15,Lewis E M 66.2A reverse,master/8272_0014.tif,web/8272_0014_web.jpg,thumb/8272_0014_thumb.jpg
16,Lewis E M 66.2B reverse,master/8272_0015.tif,web/8272_0015_web.jpg,thumb/8272_0015_thumb.jpg
17,Lewis E M 66.2C reverse,master/8272_0016.tif,web/8272_0016_web.jpg,thumb/8272_0016_thumb.jpg
18,Lewis E M 66.2D reverse,master/8272_0017.tif,web/8272_0017_web.jpg,thumb/8272_0017_thumb.jpg
19,Lewis E M 66.2E reverse,master/8272_0018.tif,web/8272_0018_web.jpg,thumb/8272_0018_thumb.jpg
20,Lewis E M 66.2F reverse,master/8272_0019.tif,web/8272_0019_web.jpg,thumb/8272_0019_thumb.jpg
21,Lewis E M 66.2G reverse,master/8272_0020.tif,web/8272_0020_web.jpg,thumb/8272_0020_thumb.jpg
22,Lewis E M 66.2H reverse,master/8272_0021.tif,web/8272_0021_web.jpg,thumb/8272_0021_thumb.jpg
23,Lewis E M 66.2I reverse,master/8272_0022.tif,web/8272_0022_web.jpg,thumb/8272_0022_thumb.jpg
24,Lewis E M 66.2J reverse,master/8272_0023.tif,web/8272_0023_web.jpg,thumb/8272_0023_thumb.jpg
25,Lewis E M 66.3A front,master/8272_0024.tif,web/8272_0024_web.jpg,thumb/8272_0024_thumb.jpg
26,Lewis E M 66.3B front,master/8272_0025.tif,web/8272_0025_web.jpg,thumb/8272_0025_thumb.jpg
27,Lewis E M 66.3C front,master/8272_0026.tif,web/8272_0026_web.jpg,thumb/8272_0026_thumb.jpg
28,Lewis E M 66.3D front,master/8272_0027.tif,web/8272_0027_web.jpg,thumb/8272_0027_thumb.jpg
29,Lewis E M 66.3E front,master/8272_0028.tif,web/8272_0028_web.jpg,thumb/8272_0028_thumb.jpg
30,Lewis E M 66.3F front,master/8272_0029.tif,web/8272_0029_web.jpg,thumb/8272_0029_thumb.jpg
31,Lewis E M 66.3G front,master/8272_0030.tif,web/8272_0030_web.jpg,thumb/8272_0030_thumb.jpg
32,Lewis E M 66.3H front,master/8272_0031.tif,web/8272_0031_web.jpg,thumb/8272_0031_thumb.jpg
33,Lewis E M 66.3A reverse,master/8272_0032.tif,web/8272_0032_web.jpg,thumb/8272_0032_thumb.jpg
34,Lewis E M 66.3B reverse,master/8272_0033.tif,web/8272_0033_web.jpg,thumb/8272_0033_thumb.jpg
35,Lewis E M 66.3C reverse,master/8272_0034.tif,web/8272_0034_web.jpg,thumb/8272_0034_thumb.jpg
36,Lewis E M 66.3D reverse,master/8272_0035.tif,web/8272_0035_web.jpg,thumb/8272_0035_thumb.jpg
37,Lewis E M 66.3E reverse,master/8272_0036.tif,web/8272_0036_web.jpg,thumb/8272_0036_thumb.jpg
38,Lewis E M 66.3F reverse,master/8272_0037.tif,web/8272_0037_web.jpg,thumb/8272_0037_thumb.jpg
39,Lewis E M 66.3G reverse,master/8272_0038.tif,web/8272_0038_web.jpg,thumb/8272_0038_thumb.jpg
40,Lewis E M 66.3H reverse,master/8272_0039.tif,web/8272_0039_web.jpg,thumb/8272_0039_thumb.jpg
