postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Lewis T316, fol. 1r",master/8794_0000.tif,web/8794_0000_web.jpg,thumb/8794_0000_thumb.jpg
2,"Lewis T316, fol. 1v",master/8794_0001.tif,web/8794_0001_web.jpg,thumb/8794_0001_thumb.jpg
3,"Lewis T316, fol. 2r",master/8794_0002.tif,web/8794_0002_web.jpg,thumb/8794_0002_thumb.jpg
4,"Lewis T316, fol. 2v",master/8794_0003.tif,web/8794_0003_web.jpg,thumb/8794_0003_thumb.jpg
5,"Lewis T316, fol. 3r",master/8794_0004.tif,web/8794_0004_web.jpg,thumb/8794_0004_thumb.jpg
6,"Lewis T316, fol. 3v",master/8794_0005.tif,web/8794_0005_web.jpg,thumb/8794_0005_thumb.jpg
7,"Lewis T316, fol. 4r",master/8794_0006.tif,web/8794_0006_web.jpg,thumb/8794_0006_thumb.jpg
8,"Lewis T316, fol. 4v",master/8794_0007.tif,web/8794_0007_web.jpg,thumb/8794_0007_thumb.jpg
9,"Lewis T316, fol. 5r",master/8794_0008.tif,web/8794_0008_web.jpg,thumb/8794_0008_thumb.jpg
10,"Lewis T316, fol. 5r",master/8794_0009.tif,web/8794_0009_web.jpg,thumb/8794_0009_thumb.jpg
11,"Lewis T316, fol. 6r",master/8794_0010.tif,web/8794_0010_web.jpg,thumb/8794_0010_thumb.jpg
12,"Lewis T316, fol. 6v",master/8794_0011.tif,web/8794_0011_web.jpg,thumb/8794_0011_thumb.jpg
13,"Lewis T316, fol. 7r",master/8794_0012.tif,web/8794_0012_web.jpg,thumb/8794_0012_thumb.jpg
14,"Lewis T316, fol. 7v",master/8794_0013.tif,web/8794_0013_web.jpg,thumb/8794_0013_thumb.jpg
15,"Lewis T316, fol. 8r",master/8794_0014.tif,web/8794_0014_web.jpg,thumb/8794_0014_thumb.jpg
16,"Lewis T316, fol. 8v",master/8794_0015.tif,web/8794_0015_web.jpg,thumb/8794_0015_thumb.jpg
