postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1,master/6175_0000.tif,web/6175_0000_web.jpg,thumb/6175_0000_thumb.jpg
2,2,master/6175_0001.tif,web/6175_0001_web.jpg,thumb/6175_0001_thumb.jpg
3,3,master/6175_0002.tif,web/6175_0002_web.jpg,thumb/6175_0002_thumb.jpg
4,4,master/6175_0003.tif,web/6175_0003_web.jpg,thumb/6175_0003_thumb.jpg
5,5,master/6175_0004.tif,web/6175_0004_web.jpg,thumb/6175_0004_thumb.jpg
6,6,master/6175_0005.tif,web/6175_0005_web.jpg,thumb/6175_0005_thumb.jpg
7,7,master/6175_0006.tif,web/6175_0006_web.jpg,thumb/6175_0006_thumb.jpg
8,8,master/6175_0007.tif,web/6175_0007_web.jpg,thumb/6175_0007_thumb.jpg
9,9,master/6175_0008.tif,web/6175_0008_web.jpg,thumb/6175_0008_thumb.jpg
10,10,master/6175_0009.tif,web/6175_0009_web.jpg,thumb/6175_0009_thumb.jpg
11,11,master/6175_0010.tif,web/6175_0010_web.jpg,thumb/6175_0010_thumb.jpg
12,12,master/6175_0011.tif,web/6175_0011_web.jpg,thumb/6175_0011_thumb.jpg
13,13,master/6175_0012.tif,web/6175_0012_web.jpg,thumb/6175_0012_thumb.jpg
14,14,master/6175_0013.tif,web/6175_0013_web.jpg,thumb/6175_0013_thumb.jpg
15,15,master/6175_0014.tif,web/6175_0014_web.jpg,thumb/6175_0014_thumb.jpg
16,16,master/6175_0015.tif,web/6175_0015_web.jpg,thumb/6175_0015_thumb.jpg
17,17,master/6175_0016.tif,web/6175_0016_web.jpg,thumb/6175_0016_thumb.jpg
18,18,master/6175_0017.tif,web/6175_0017_web.jpg,thumb/6175_0017_thumb.jpg
19,19,master/6175_0018.tif,web/6175_0018_web.jpg,thumb/6175_0018_thumb.jpg
20,20,master/6175_0019.tif,web/6175_0019_web.jpg,thumb/6175_0019_thumb.jpg
21,21,master/6175_0020.tif,web/6175_0020_web.jpg,thumb/6175_0020_thumb.jpg
22,22,master/6175_0021.tif,web/6175_0021_web.jpg,thumb/6175_0021_thumb.jpg
