postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Insert 1 recto,master/10938_0000.tif,web/10938_0000_web.jpg,thumb/10938_0000_thumb.jpg
2,Insert 2 recto,master/10938_0001.tif,web/10938_0001_web.jpg,thumb/10938_0001_thumb.jpg
3,Insert 3 recto,master/10938_0002.tif,web/10938_0002_web.jpg,thumb/10938_0002_thumb.jpg
4,Insert 4 recto,master/10938_0003.tif,web/10938_0003_web.jpg,thumb/10938_0003_thumb.jpg
5,4r,master/10938_0004.tif,web/10938_0004_web.jpg,thumb/10938_0004_thumb.jpg
6,4v,master/10938_0005.tif,web/10938_0005_web.jpg,thumb/10938_0005_thumb.jpg
7,5r,master/10938_0006.tif,web/10938_0006_web.jpg,thumb/10938_0006_thumb.jpg
8,5v,master/10938_0007.tif,web/10938_0007_web.jpg,thumb/10938_0007_thumb.jpg
9,6r,master/10938_0008.tif,web/10938_0008_web.jpg,thumb/10938_0008_thumb.jpg
10,6v,master/10938_0009.tif,web/10938_0009_web.jpg,thumb/10938_0009_thumb.jpg
11,7r,master/10938_0010.tif,web/10938_0010_web.jpg,thumb/10938_0010_thumb.jpg
12,7v,master/10938_0011.tif,web/10938_0011_web.jpg,thumb/10938_0011_thumb.jpg
13,8r,master/10938_0012.tif,web/10938_0012_web.jpg,thumb/10938_0012_thumb.jpg
14,8v,master/10938_0013.tif,web/10938_0013_web.jpg,thumb/10938_0013_thumb.jpg
15,9r,master/10938_0014.tif,web/10938_0014_web.jpg,thumb/10938_0014_thumb.jpg
16,9v,master/10938_0015.tif,web/10938_0015_web.jpg,thumb/10938_0015_thumb.jpg
17,10r,master/10938_0016.tif,web/10938_0016_web.jpg,thumb/10938_0016_thumb.jpg
18,10v,master/10938_0017.tif,web/10938_0017_web.jpg,thumb/10938_0017_thumb.jpg
19,11r,master/10938_0018.tif,web/10938_0018_web.jpg,thumb/10938_0018_thumb.jpg
20,11v,master/10938_0019.tif,web/10938_0019_web.jpg,thumb/10938_0019_thumb.jpg
21,12r,master/10938_0020.tif,web/10938_0020_web.jpg,thumb/10938_0020_thumb.jpg
22,12v,master/10938_0021.tif,web/10938_0021_web.jpg,thumb/10938_0021_thumb.jpg
23,13r,master/10938_0022.tif,web/10938_0022_web.jpg,thumb/10938_0022_thumb.jpg
24,13v,master/10938_0023.tif,web/10938_0023_web.jpg,thumb/10938_0023_thumb.jpg
25,14r,master/10938_0024.tif,web/10938_0024_web.jpg,thumb/10938_0024_thumb.jpg
26,14v,master/10938_0025.tif,web/10938_0025_web.jpg,thumb/10938_0025_thumb.jpg
27,15r,master/10938_0026.tif,web/10938_0026_web.jpg,thumb/10938_0026_thumb.jpg
28,15v,master/10938_0027.tif,web/10938_0027_web.jpg,thumb/10938_0027_thumb.jpg
29,16r,master/10938_0028.tif,web/10938_0028_web.jpg,thumb/10938_0028_thumb.jpg
30,16v,master/10938_0029.tif,web/10938_0029_web.jpg,thumb/10938_0029_thumb.jpg
31,17r,master/10938_0030.tif,web/10938_0030_web.jpg,thumb/10938_0030_thumb.jpg
32,17v,master/10938_0031.tif,web/10938_0031_web.jpg,thumb/10938_0031_thumb.jpg
33,18r,master/10938_0032.tif,web/10938_0032_web.jpg,thumb/10938_0032_thumb.jpg
34,18v,master/10938_0033.tif,web/10938_0033_web.jpg,thumb/10938_0033_thumb.jpg
35,19r,master/10938_0034.tif,web/10938_0034_web.jpg,thumb/10938_0034_thumb.jpg
36,19v,master/10938_0035.tif,web/10938_0035_web.jpg,thumb/10938_0035_thumb.jpg
37,20r,master/10938_0036.tif,web/10938_0036_web.jpg,thumb/10938_0036_thumb.jpg
38,20v,master/10938_0037.tif,web/10938_0037_web.jpg,thumb/10938_0037_thumb.jpg
39,21r,master/10938_0038.tif,web/10938_0038_web.jpg,thumb/10938_0038_thumb.jpg
40,21v,master/10938_0039.tif,web/10938_0039_web.jpg,thumb/10938_0039_thumb.jpg
41,22r,master/10938_0040.tif,web/10938_0040_web.jpg,thumb/10938_0040_thumb.jpg
42,22v,master/10938_0041.tif,web/10938_0041_web.jpg,thumb/10938_0041_thumb.jpg
43,23r,master/10938_0042.tif,web/10938_0042_web.jpg,thumb/10938_0042_thumb.jpg
44,23v,master/10938_0043.tif,web/10938_0043_web.jpg,thumb/10938_0043_thumb.jpg
45,24r,master/10938_0044.tif,web/10938_0044_web.jpg,thumb/10938_0044_thumb.jpg
46,24v,master/10938_0045.tif,web/10938_0045_web.jpg,thumb/10938_0045_thumb.jpg
47,25r,master/10938_0046.tif,web/10938_0046_web.jpg,thumb/10938_0046_thumb.jpg
48,25v,master/10938_0047.tif,web/10938_0047_web.jpg,thumb/10938_0047_thumb.jpg
