postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/10410_0000.tif,web/10410_0000_web.jpg,thumb/10410_0000_thumb.jpg
2,Inside front cover,master/10410_0001.tif,web/10410_0001_web.jpg,thumb/10410_0001_thumb.jpg
3,Flyleaf 1 recto,master/10410_0002.tif,web/10410_0002_web.jpg,thumb/10410_0002_thumb.jpg
4,Flyleaf 1 verso,master/10410_0003.tif,web/10410_0003_web.jpg,thumb/10410_0003_thumb.jpg
5,Flyleaf 2 recto,master/10410_0004.tif,web/10410_0004_web.jpg,thumb/10410_0004_thumb.jpg
6,Flyleaf 2 verso,master/10410_0005.tif,web/10410_0005_web.jpg,thumb/10410_0005_thumb.jpg
7,388r,master/10410_0006.tif,web/10410_0006_web.jpg,thumb/10410_0006_thumb.jpg
8,388v,master/10410_0007.tif,web/10410_0007_web.jpg,thumb/10410_0007_thumb.jpg
9,387r,master/10410_0008.tif,web/10410_0008_web.jpg,thumb/10410_0008_thumb.jpg
10,387v,master/10410_0009.tif,web/10410_0009_web.jpg,thumb/10410_0009_thumb.jpg
11,386r,master/10410_0010.tif,web/10410_0010_web.jpg,thumb/10410_0010_thumb.jpg
12,386v,master/10410_0011.tif,web/10410_0011_web.jpg,thumb/10410_0011_thumb.jpg
13,385r,master/10410_0012.tif,web/10410_0012_web.jpg,thumb/10410_0012_thumb.jpg
14,385v,master/10410_0013.tif,web/10410_0013_web.jpg,thumb/10410_0013_thumb.jpg
15,384r,master/10410_0014.tif,web/10410_0014_web.jpg,thumb/10410_0014_thumb.jpg
16,384v,master/10410_0015.tif,web/10410_0015_web.jpg,thumb/10410_0015_thumb.jpg
17,383r,master/10410_0016.tif,web/10410_0016_web.jpg,thumb/10410_0016_thumb.jpg
18,383v,master/10410_0017.tif,web/10410_0017_web.jpg,thumb/10410_0017_thumb.jpg
19,382r,master/10410_0018.tif,web/10410_0018_web.jpg,thumb/10410_0018_thumb.jpg
20,382v,master/10410_0019.tif,web/10410_0019_web.jpg,thumb/10410_0019_thumb.jpg
21,381r,master/10410_0020.tif,web/10410_0020_web.jpg,thumb/10410_0020_thumb.jpg
22,381v,master/10410_0021.tif,web/10410_0021_web.jpg,thumb/10410_0021_thumb.jpg
23,380r,master/10410_0022.tif,web/10410_0022_web.jpg,thumb/10410_0022_thumb.jpg
24,380v,master/10410_0023.tif,web/10410_0023_web.jpg,thumb/10410_0023_thumb.jpg
25,379r,master/10410_0024.tif,web/10410_0024_web.jpg,thumb/10410_0024_thumb.jpg
26,379v,master/10410_0025.tif,web/10410_0025_web.jpg,thumb/10410_0025_thumb.jpg
27,378r,master/10410_0026.tif,web/10410_0026_web.jpg,thumb/10410_0026_thumb.jpg
28,378v,master/10410_0027.tif,web/10410_0027_web.jpg,thumb/10410_0027_thumb.jpg
29,377r,master/10410_0028.tif,web/10410_0028_web.jpg,thumb/10410_0028_thumb.jpg
30,377v,master/10410_0029.tif,web/10410_0029_web.jpg,thumb/10410_0029_thumb.jpg
31,376r,master/10410_0030.tif,web/10410_0030_web.jpg,thumb/10410_0030_thumb.jpg
32,376v,master/10410_0031.tif,web/10410_0031_web.jpg,thumb/10410_0031_thumb.jpg
33,375r,master/10410_0032.tif,web/10410_0032_web.jpg,thumb/10410_0032_thumb.jpg
34,375v,master/10410_0033.tif,web/10410_0033_web.jpg,thumb/10410_0033_thumb.jpg
35,374r,master/10410_0034.tif,web/10410_0034_web.jpg,thumb/10410_0034_thumb.jpg
36,374v,master/10410_0035.tif,web/10410_0035_web.jpg,thumb/10410_0035_thumb.jpg
37,373r,master/10410_0036.tif,web/10410_0036_web.jpg,thumb/10410_0036_thumb.jpg
38,373v,master/10410_0037.tif,web/10410_0037_web.jpg,thumb/10410_0037_thumb.jpg
39,372r,master/10410_0038.tif,web/10410_0038_web.jpg,thumb/10410_0038_thumb.jpg
40,372v,master/10410_0039.tif,web/10410_0039_web.jpg,thumb/10410_0039_thumb.jpg
41,371r,master/10410_0040.tif,web/10410_0040_web.jpg,thumb/10410_0040_thumb.jpg
42,371v,master/10410_0041.tif,web/10410_0041_web.jpg,thumb/10410_0041_thumb.jpg
43,370r,master/10410_0042.tif,web/10410_0042_web.jpg,thumb/10410_0042_thumb.jpg
44,370v,master/10410_0043.tif,web/10410_0043_web.jpg,thumb/10410_0043_thumb.jpg
45,369r,master/10410_0044.tif,web/10410_0044_web.jpg,thumb/10410_0044_thumb.jpg
46,369v,master/10410_0045.tif,web/10410_0045_web.jpg,thumb/10410_0045_thumb.jpg
