postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9371_0000.tif,web/9371_0000_web.jpg,thumb/9371_0000_thumb.jpg
2,Inside Front Cover,master/9371_0001.tif,web/9371_0001_web.jpg,thumb/9371_0001_thumb.jpg
3,Flyleaf 1 recto,master/9371_0002.tif,web/9371_0002_web.jpg,thumb/9371_0002_thumb.jpg
4,Flyleaf 1 verso,master/9371_0003.tif,web/9371_0003_web.jpg,thumb/9371_0003_thumb.jpg
5,Unnumbered recto,master/9371_0004.tif,web/9371_0004_web.jpg,thumb/9371_0004_thumb.jpg
6,1,master/9371_0005.tif,web/9371_0005_web.jpg,thumb/9371_0005_thumb.jpg
7,2,master/9371_0006.tif,web/9371_0006_web.jpg,thumb/9371_0006_thumb.jpg
8,3,master/9371_0007.tif,web/9371_0007_web.jpg,thumb/9371_0007_thumb.jpg
9,4,master/9371_0008.tif,web/9371_0008_web.jpg,thumb/9371_0008_thumb.jpg
10,5,master/9371_0009.tif,web/9371_0009_web.jpg,thumb/9371_0009_thumb.jpg
11,6,master/9371_0010.tif,web/9371_0010_web.jpg,thumb/9371_0010_thumb.jpg
12,7,master/9371_0011.tif,web/9371_0011_web.jpg,thumb/9371_0011_thumb.jpg
13,8,master/9371_0012.tif,web/9371_0012_web.jpg,thumb/9371_0012_thumb.jpg
14,9,master/9371_0013.tif,web/9371_0013_web.jpg,thumb/9371_0013_thumb.jpg
15,10,master/9371_0014.tif,web/9371_0014_web.jpg,thumb/9371_0014_thumb.jpg
16,11,master/9371_0015.tif,web/9371_0015_web.jpg,thumb/9371_0015_thumb.jpg
17,12,master/9371_0016.tif,web/9371_0016_web.jpg,thumb/9371_0016_thumb.jpg
18,13,master/9371_0017.tif,web/9371_0017_web.jpg,thumb/9371_0017_thumb.jpg
19,14,master/9371_0018.tif,web/9371_0018_web.jpg,thumb/9371_0018_thumb.jpg
20,15,master/9371_0019.tif,web/9371_0019_web.jpg,thumb/9371_0019_thumb.jpg
21,16,master/9371_0020.tif,web/9371_0020_web.jpg,thumb/9371_0020_thumb.jpg
22,18 =17,master/9371_0021.tif,web/9371_0021_web.jpg,thumb/9371_0021_thumb.jpg
23,18,master/9371_0022.tif,web/9371_0022_web.jpg,thumb/9371_0022_thumb.jpg
24,19,master/9371_0023.tif,web/9371_0023_web.jpg,thumb/9371_0023_thumb.jpg
25,20,master/9371_0024.tif,web/9371_0024_web.jpg,thumb/9371_0024_thumb.jpg
26,21,master/9371_0025.tif,web/9371_0025_web.jpg,thumb/9371_0025_thumb.jpg
27,22,master/9371_0026.tif,web/9371_0026_web.jpg,thumb/9371_0026_thumb.jpg
28,23,master/9371_0027.tif,web/9371_0027_web.jpg,thumb/9371_0027_thumb.jpg
29,24,master/9371_0028.tif,web/9371_0028_web.jpg,thumb/9371_0028_thumb.jpg
30,25,master/9371_0029.tif,web/9371_0029_web.jpg,thumb/9371_0029_thumb.jpg
31,26,master/9371_0030.tif,web/9371_0030_web.jpg,thumb/9371_0030_thumb.jpg
32,27,master/9371_0031.tif,web/9371_0031_web.jpg,thumb/9371_0031_thumb.jpg
33,28,master/9371_0032.tif,web/9371_0032_web.jpg,thumb/9371_0032_thumb.jpg
34,29,master/9371_0033.tif,web/9371_0033_web.jpg,thumb/9371_0033_thumb.jpg
35,30,master/9371_0034.tif,web/9371_0034_web.jpg,thumb/9371_0034_thumb.jpg
36,31,master/9371_0035.tif,web/9371_0035_web.jpg,thumb/9371_0035_thumb.jpg
37,32,master/9371_0036.tif,web/9371_0036_web.jpg,thumb/9371_0036_thumb.jpg
38,33,master/9371_0037.tif,web/9371_0037_web.jpg,thumb/9371_0037_thumb.jpg
39,34,master/9371_0038.tif,web/9371_0038_web.jpg,thumb/9371_0038_thumb.jpg
40,35,master/9371_0039.tif,web/9371_0039_web.jpg,thumb/9371_0039_thumb.jpg
41,36,master/9371_0040.tif,web/9371_0040_web.jpg,thumb/9371_0040_thumb.jpg
42,37,master/9371_0041.tif,web/9371_0041_web.jpg,thumb/9371_0041_thumb.jpg
43,38,master/9371_0042.tif,web/9371_0042_web.jpg,thumb/9371_0042_thumb.jpg
44,39,master/9371_0043.tif,web/9371_0043_web.jpg,thumb/9371_0043_thumb.jpg
45,40,master/9371_0044.tif,web/9371_0044_web.jpg,thumb/9371_0044_thumb.jpg
46,41,master/9371_0045.tif,web/9371_0045_web.jpg,thumb/9371_0045_thumb.jpg
47,42,master/9371_0046.tif,web/9371_0046_web.jpg,thumb/9371_0046_thumb.jpg
48,43,master/9371_0047.tif,web/9371_0047_web.jpg,thumb/9371_0047_thumb.jpg
49,44,master/9371_0048.tif,web/9371_0048_web.jpg,thumb/9371_0048_thumb.jpg
50,45,master/9371_0049.tif,web/9371_0049_web.jpg,thumb/9371_0049_thumb.jpg
51,46,master/9371_0050.tif,web/9371_0050_web.jpg,thumb/9371_0050_thumb.jpg
52,47,master/9371_0051.tif,web/9371_0051_web.jpg,thumb/9371_0051_thumb.jpg
53,48,master/9371_0052.tif,web/9371_0052_web.jpg,thumb/9371_0052_thumb.jpg
54,49,master/9371_0053.tif,web/9371_0053_web.jpg,thumb/9371_0053_thumb.jpg
55,50,master/9371_0054.tif,web/9371_0054_web.jpg,thumb/9371_0054_thumb.jpg
56,51,master/9371_0055.tif,web/9371_0055_web.jpg,thumb/9371_0055_thumb.jpg
57,52,master/9371_0056.tif,web/9371_0056_web.jpg,thumb/9371_0056_thumb.jpg
58,53,master/9371_0057.tif,web/9371_0057_web.jpg,thumb/9371_0057_thumb.jpg
59,54,master/9371_0058.tif,web/9371_0058_web.jpg,thumb/9371_0058_thumb.jpg
60,55,master/9371_0059.tif,web/9371_0059_web.jpg,thumb/9371_0059_thumb.jpg
61,56,master/9371_0060.tif,web/9371_0060_web.jpg,thumb/9371_0060_thumb.jpg
62,57,master/9371_0061.tif,web/9371_0061_web.jpg,thumb/9371_0061_thumb.jpg
63,58,master/9371_0062.tif,web/9371_0062_web.jpg,thumb/9371_0062_thumb.jpg
64,59,master/9371_0063.tif,web/9371_0063_web.jpg,thumb/9371_0063_thumb.jpg
65,60,master/9371_0064.tif,web/9371_0064_web.jpg,thumb/9371_0064_thumb.jpg
66,61,master/9371_0065.tif,web/9371_0065_web.jpg,thumb/9371_0065_thumb.jpg
67,62,master/9371_0066.tif,web/9371_0066_web.jpg,thumb/9371_0066_thumb.jpg
68,63,master/9371_0067.tif,web/9371_0067_web.jpg,thumb/9371_0067_thumb.jpg
69,64,master/9371_0068.tif,web/9371_0068_web.jpg,thumb/9371_0068_thumb.jpg
70,65,master/9371_0069.tif,web/9371_0069_web.jpg,thumb/9371_0069_thumb.jpg
71,66,master/9371_0070.tif,web/9371_0070_web.jpg,thumb/9371_0070_thumb.jpg
72,67,master/9371_0071.tif,web/9371_0071_web.jpg,thumb/9371_0071_thumb.jpg
73,68,master/9371_0072.tif,web/9371_0072_web.jpg,thumb/9371_0072_thumb.jpg
74,69,master/9371_0073.tif,web/9371_0073_web.jpg,thumb/9371_0073_thumb.jpg
75,70,master/9371_0074.tif,web/9371_0074_web.jpg,thumb/9371_0074_thumb.jpg
76,71,master/9371_0075.tif,web/9371_0075_web.jpg,thumb/9371_0075_thumb.jpg
77,72,master/9371_0076.tif,web/9371_0076_web.jpg,thumb/9371_0076_thumb.jpg
78,73,master/9371_0077.tif,web/9371_0077_web.jpg,thumb/9371_0077_thumb.jpg
79,74,master/9371_0078.tif,web/9371_0078_web.jpg,thumb/9371_0078_thumb.jpg
80,75,master/9371_0079.tif,web/9371_0079_web.jpg,thumb/9371_0079_thumb.jpg
81,76,master/9371_0080.tif,web/9371_0080_web.jpg,thumb/9371_0080_thumb.jpg
82,77,master/9371_0081.tif,web/9371_0081_web.jpg,thumb/9371_0081_thumb.jpg
83,78,master/9371_0082.tif,web/9371_0082_web.jpg,thumb/9371_0082_thumb.jpg
84,79,master/9371_0083.tif,web/9371_0083_web.jpg,thumb/9371_0083_thumb.jpg
85,80,master/9371_0084.tif,web/9371_0084_web.jpg,thumb/9371_0084_thumb.jpg
86,81,master/9371_0085.tif,web/9371_0085_web.jpg,thumb/9371_0085_thumb.jpg
87,82,master/9371_0086.tif,web/9371_0086_web.jpg,thumb/9371_0086_thumb.jpg
88,83,master/9371_0087.tif,web/9371_0087_web.jpg,thumb/9371_0087_thumb.jpg
89,84,master/9371_0088.tif,web/9371_0088_web.jpg,thumb/9371_0088_thumb.jpg
90,85,master/9371_0089.tif,web/9371_0089_web.jpg,thumb/9371_0089_thumb.jpg
91,86,master/9371_0090.tif,web/9371_0090_web.jpg,thumb/9371_0090_thumb.jpg
92,87,master/9371_0091.tif,web/9371_0091_web.jpg,thumb/9371_0091_thumb.jpg
93,88,master/9371_0092.tif,web/9371_0092_web.jpg,thumb/9371_0092_thumb.jpg
94,89,master/9371_0093.tif,web/9371_0093_web.jpg,thumb/9371_0093_thumb.jpg
95,90,master/9371_0094.tif,web/9371_0094_web.jpg,thumb/9371_0094_thumb.jpg
96,91,master/9371_0095.tif,web/9371_0095_web.jpg,thumb/9371_0095_thumb.jpg
97,92,master/9371_0096.tif,web/9371_0096_web.jpg,thumb/9371_0096_thumb.jpg
98,93,master/9371_0097.tif,web/9371_0097_web.jpg,thumb/9371_0097_thumb.jpg
99,94,master/9371_0098.tif,web/9371_0098_web.jpg,thumb/9371_0098_thumb.jpg
100,95,master/9371_0099.tif,web/9371_0099_web.jpg,thumb/9371_0099_thumb.jpg
101,96,master/9371_0100.tif,web/9371_0100_web.jpg,thumb/9371_0100_thumb.jpg
102,97,master/9371_0101.tif,web/9371_0101_web.jpg,thumb/9371_0101_thumb.jpg
103,98,master/9371_0102.tif,web/9371_0102_web.jpg,thumb/9371_0102_thumb.jpg
104,99,master/9371_0103.tif,web/9371_0103_web.jpg,thumb/9371_0103_thumb.jpg
105,100,master/9371_0104.tif,web/9371_0104_web.jpg,thumb/9371_0104_thumb.jpg
106,101,master/9371_0105.tif,web/9371_0105_web.jpg,thumb/9371_0105_thumb.jpg
107,102,master/9371_0106.tif,web/9371_0106_web.jpg,thumb/9371_0106_thumb.jpg
108,103,master/9371_0107.tif,web/9371_0107_web.jpg,thumb/9371_0107_thumb.jpg
109,104,master/9371_0108.tif,web/9371_0108_web.jpg,thumb/9371_0108_thumb.jpg
110,105,master/9371_0109.tif,web/9371_0109_web.jpg,thumb/9371_0109_thumb.jpg
111,106,master/9371_0110.tif,web/9371_0110_web.jpg,thumb/9371_0110_thumb.jpg
112,107,master/9371_0111.tif,web/9371_0111_web.jpg,thumb/9371_0111_thumb.jpg
113,108,master/9371_0112.tif,web/9371_0112_web.jpg,thumb/9371_0112_thumb.jpg
114,109,master/9371_0113.tif,web/9371_0113_web.jpg,thumb/9371_0113_thumb.jpg
115,110,master/9371_0114.tif,web/9371_0114_web.jpg,thumb/9371_0114_thumb.jpg
116,111,master/9371_0115.tif,web/9371_0115_web.jpg,thumb/9371_0115_thumb.jpg
117,112,master/9371_0116.tif,web/9371_0116_web.jpg,thumb/9371_0116_thumb.jpg
118,113,master/9371_0117.tif,web/9371_0117_web.jpg,thumb/9371_0117_thumb.jpg
119,114,master/9371_0118.tif,web/9371_0118_web.jpg,thumb/9371_0118_thumb.jpg
120,115,master/9371_0119.tif,web/9371_0119_web.jpg,thumb/9371_0119_thumb.jpg
121,116,master/9371_0120.tif,web/9371_0120_web.jpg,thumb/9371_0120_thumb.jpg
122,117,master/9371_0121.tif,web/9371_0121_web.jpg,thumb/9371_0121_thumb.jpg
123,118,master/9371_0122.tif,web/9371_0122_web.jpg,thumb/9371_0122_thumb.jpg
124,119,master/9371_0123.tif,web/9371_0123_web.jpg,thumb/9371_0123_thumb.jpg
125,120,master/9371_0124.tif,web/9371_0124_web.jpg,thumb/9371_0124_thumb.jpg
126,121,master/9371_0125.tif,web/9371_0125_web.jpg,thumb/9371_0125_thumb.jpg
127,122,master/9371_0126.tif,web/9371_0126_web.jpg,thumb/9371_0126_thumb.jpg
128,123,master/9371_0127.tif,web/9371_0127_web.jpg,thumb/9371_0127_thumb.jpg
129,124,master/9371_0128.tif,web/9371_0128_web.jpg,thumb/9371_0128_thumb.jpg
130,125,master/9371_0129.tif,web/9371_0129_web.jpg,thumb/9371_0129_thumb.jpg
131,126,master/9371_0130.tif,web/9371_0130_web.jpg,thumb/9371_0130_thumb.jpg
132,127,master/9371_0131.tif,web/9371_0131_web.jpg,thumb/9371_0131_thumb.jpg
133,128,master/9371_0132.tif,web/9371_0132_web.jpg,thumb/9371_0132_thumb.jpg
134,129,master/9371_0133.tif,web/9371_0133_web.jpg,thumb/9371_0133_thumb.jpg
