postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/10662_0000.tif,web/10662_0000_web.jpg,thumb/10662_0000_thumb.jpg
2,Inside front cover,master/10662_0001.tif,web/10662_0001_web.jpg,thumb/10662_0001_thumb.jpg
3,Flyleaf 1 recto,master/10662_0002.tif,web/10662_0002_web.jpg,thumb/10662_0002_thumb.jpg
4,Flyleaf 1 verso,master/10662_0003.tif,web/10662_0003_web.jpg,thumb/10662_0003_thumb.jpg
5,Flyleaf 2 recto,master/10662_0004.tif,web/10662_0004_web.jpg,thumb/10662_0004_thumb.jpg
6,Flyleaf 2 verso,master/10662_0005.tif,web/10662_0005_web.jpg,thumb/10662_0005_thumb.jpg
7,1r,master/10662_0006.tif,web/10662_0006_web.jpg,thumb/10662_0006_thumb.jpg
8,1v,master/10662_0007.tif,web/10662_0007_web.jpg,thumb/10662_0007_thumb.jpg
9,2r,master/10662_0008.tif,web/10662_0008_web.jpg,thumb/10662_0008_thumb.jpg
10,2v,master/10662_0009.tif,web/10662_0009_web.jpg,thumb/10662_0009_thumb.jpg
11,3r,master/10662_0010.tif,web/10662_0010_web.jpg,thumb/10662_0010_thumb.jpg
12,3v,master/10662_0011.tif,web/10662_0011_web.jpg,thumb/10662_0011_thumb.jpg
13,4r,master/10662_0012.tif,web/10662_0012_web.jpg,thumb/10662_0012_thumb.jpg
14,4v,master/10662_0013.tif,web/10662_0013_web.jpg,thumb/10662_0013_thumb.jpg
15,5r,master/10662_0014.tif,web/10662_0014_web.jpg,thumb/10662_0014_thumb.jpg
16,5v,master/10662_0015.tif,web/10662_0015_web.jpg,thumb/10662_0015_thumb.jpg
17,6r,master/10662_0016.tif,web/10662_0016_web.jpg,thumb/10662_0016_thumb.jpg
18,6v,master/10662_0017.tif,web/10662_0017_web.jpg,thumb/10662_0017_thumb.jpg
19,7r,master/10662_0018.tif,web/10662_0018_web.jpg,thumb/10662_0018_thumb.jpg
20,7v,master/10662_0019.tif,web/10662_0019_web.jpg,thumb/10662_0019_thumb.jpg
21,8r,master/10662_0020.tif,web/10662_0020_web.jpg,thumb/10662_0020_thumb.jpg
22,8v,master/10662_0021.tif,web/10662_0021_web.jpg,thumb/10662_0021_thumb.jpg
23,9r,master/10662_0022.tif,web/10662_0022_web.jpg,thumb/10662_0022_thumb.jpg
24,9v,master/10662_0023.tif,web/10662_0023_web.jpg,thumb/10662_0023_thumb.jpg
25,10r,master/10662_0024.tif,web/10662_0024_web.jpg,thumb/10662_0024_thumb.jpg
26,10v,master/10662_0025.tif,web/10662_0025_web.jpg,thumb/10662_0025_thumb.jpg
27,Flyleaf 1 recto,master/10662_0026.tif,web/10662_0026_web.jpg,thumb/10662_0026_thumb.jpg
28,Flyleaf 1 verso,master/10662_0027.tif,web/10662_0027_web.jpg,thumb/10662_0027_thumb.jpg
29,Flyleaf 2 recto,master/10662_0028.tif,web/10662_0028_web.jpg,thumb/10662_0028_thumb.jpg
30,Flyleaf 2 verso,master/10662_0029.tif,web/10662_0029_web.jpg,thumb/10662_0029_thumb.jpg
31,Flyleaf 3 recto,master/10662_0030.tif,web/10662_0030_web.jpg,thumb/10662_0030_thumb.jpg
32,Flyleaf 3 verso,master/10662_0031.tif,web/10662_0031_web.jpg,thumb/10662_0031_thumb.jpg
33,Flyleaf 4 recto,master/10662_0032.tif,web/10662_0032_web.jpg,thumb/10662_0032_thumb.jpg
34,Flyleaf 4 verso,master/10662_0033.tif,web/10662_0033_web.jpg,thumb/10662_0033_thumb.jpg
35,Flyleaf 5 recto,master/10662_0034.tif,web/10662_0034_web.jpg,thumb/10662_0034_thumb.jpg
36,Flyleaf 5 verso,master/10662_0035.tif,web/10662_0035_web.jpg,thumb/10662_0035_thumb.jpg
37,Flyleaf 6 recto,master/10662_0036.tif,web/10662_0036_web.jpg,thumb/10662_0036_thumb.jpg
38,Flyleaf 6 verso,master/10662_0037.tif,web/10662_0037_web.jpg,thumb/10662_0037_thumb.jpg
39,Flyleaf 7 recto,master/10662_0038.tif,web/10662_0038_web.jpg,thumb/10662_0038_thumb.jpg
40,Flyleaf 7 verso,master/10662_0039.tif,web/10662_0039_web.jpg,thumb/10662_0039_thumb.jpg
41,Flyleaf 8 recto,master/10662_0040.tif,web/10662_0040_web.jpg,thumb/10662_0040_thumb.jpg
42,Flyleaf 8 verso,master/10662_0041.tif,web/10662_0041_web.jpg,thumb/10662_0041_thumb.jpg
43,Flyleaf 9 recto,master/10662_0042.tif,web/10662_0042_web.jpg,thumb/10662_0042_thumb.jpg
44,Flyleaf 9 verso,master/10662_0043.tif,web/10662_0043_web.jpg,thumb/10662_0043_thumb.jpg
45,Flyleaf 10 recto,master/10662_0044.tif,web/10662_0044_web.jpg,thumb/10662_0044_thumb.jpg
46,Flyleaf 10 verso,master/10662_0045.tif,web/10662_0045_web.jpg,thumb/10662_0045_thumb.jpg
47,Flyleaf 11 recto,master/10662_0046.tif,web/10662_0046_web.jpg,thumb/10662_0046_thumb.jpg
48,Flyleaf 11 verso,master/10662_0047.tif,web/10662_0047_web.jpg,thumb/10662_0047_thumb.jpg
49,Flyleaf 12 recto,master/10662_0048.tif,web/10662_0048_web.jpg,thumb/10662_0048_thumb.jpg
50,Flyleaf 12 verso,master/10662_0049.tif,web/10662_0049_web.jpg,thumb/10662_0049_thumb.jpg
51,Inside back cover,master/10662_0050.tif,web/10662_0050_web.jpg,thumb/10662_0050_thumb.jpg
52,Back cover,master/10662_0051.tif,web/10662_0051_web.jpg,thumb/10662_0051_thumb.jpg
