postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/10949_0000.tif,web/10949_0000_web.jpg,thumb/10949_0000_thumb.jpg
2,Inside front cover,master/10949_0001.tif,web/10949_0001_web.jpg,thumb/10949_0001_thumb.jpg
3,Flyleaf 1 recto,master/10949_0002.tif,web/10949_0002_web.jpg,thumb/10949_0002_thumb.jpg
4,Flyleaf 1 verso,master/10949_0003.tif,web/10949_0003_web.jpg,thumb/10949_0003_thumb.jpg
5,Flyleaf 2 recto,master/10949_0004.tif,web/10949_0004_web.jpg,thumb/10949_0004_thumb.jpg
6,Flyleaf 2 verso,master/10949_0005.tif,web/10949_0005_web.jpg,thumb/10949_0005_thumb.jpg
7,Flyleaf 3 recto,master/10949_0006.tif,web/10949_0006_web.jpg,thumb/10949_0006_thumb.jpg
8,Flyleaf 3 verso,master/10949_0007.tif,web/10949_0007_web.jpg,thumb/10949_0007_thumb.jpg
9,Flyleaf 4 recto,master/10949_0008.tif,web/10949_0008_web.jpg,thumb/10949_0008_thumb.jpg
10,Flyleaf 4 verso,master/10949_0009.tif,web/10949_0009_web.jpg,thumb/10949_0009_thumb.jpg
11,Flyleaf 5 recto,master/10949_0010.tif,web/10949_0010_web.jpg,thumb/10949_0010_thumb.jpg
12,Flyleaf 5 verso,master/10949_0011.tif,web/10949_0011_web.jpg,thumb/10949_0011_thumb.jpg
13,Insert recto,master/10949_0012.tif,web/10949_0012_web.jpg,thumb/10949_0012_thumb.jpg
14,Insert verso,master/10949_0013.tif,web/10949_0013_web.jpg,thumb/10949_0013_thumb.jpg
15,1r,master/10949_0014.tif,web/10949_0014_web.jpg,thumb/10949_0014_thumb.jpg
16,1v,master/10949_0015.tif,web/10949_0015_web.jpg,thumb/10949_0015_thumb.jpg
17,2r,master/10949_0016.tif,web/10949_0016_web.jpg,thumb/10949_0016_thumb.jpg
18,2v,master/10949_0017.tif,web/10949_0017_web.jpg,thumb/10949_0017_thumb.jpg
19,3r,master/10949_0018.tif,web/10949_0018_web.jpg,thumb/10949_0018_thumb.jpg
20,3v,master/10949_0019.tif,web/10949_0019_web.jpg,thumb/10949_0019_thumb.jpg
21,4r,master/10949_0020.tif,web/10949_0020_web.jpg,thumb/10949_0020_thumb.jpg
22,4v,master/10949_0021.tif,web/10949_0021_web.jpg,thumb/10949_0021_thumb.jpg
23,5r,master/10949_0022.tif,web/10949_0022_web.jpg,thumb/10949_0022_thumb.jpg
24,5v,master/10949_0023.tif,web/10949_0023_web.jpg,thumb/10949_0023_thumb.jpg
25,6r,master/10949_0024.tif,web/10949_0024_web.jpg,thumb/10949_0024_thumb.jpg
26,6v,master/10949_0025.tif,web/10949_0025_web.jpg,thumb/10949_0025_thumb.jpg
27,7r,master/10949_0026.tif,web/10949_0026_web.jpg,thumb/10949_0026_thumb.jpg
28,7v,master/10949_0027.tif,web/10949_0027_web.jpg,thumb/10949_0027_thumb.jpg
29,8r,master/10949_0028.tif,web/10949_0028_web.jpg,thumb/10949_0028_thumb.jpg
30,8v,master/10949_0029.tif,web/10949_0029_web.jpg,thumb/10949_0029_thumb.jpg
31,9r,master/10949_0030.tif,web/10949_0030_web.jpg,thumb/10949_0030_thumb.jpg
32,9v,master/10949_0031.tif,web/10949_0031_web.jpg,thumb/10949_0031_thumb.jpg
33,10r,master/10949_0032.tif,web/10949_0032_web.jpg,thumb/10949_0032_thumb.jpg
34,10v,master/10949_0033.tif,web/10949_0033_web.jpg,thumb/10949_0033_thumb.jpg
35,11r,master/10949_0034.tif,web/10949_0034_web.jpg,thumb/10949_0034_thumb.jpg
36,11v,master/10949_0035.tif,web/10949_0035_web.jpg,thumb/10949_0035_thumb.jpg
37,12r,master/10949_0036.tif,web/10949_0036_web.jpg,thumb/10949_0036_thumb.jpg
38,12v,master/10949_0037.tif,web/10949_0037_web.jpg,thumb/10949_0037_thumb.jpg
39,13r,master/10949_0038.tif,web/10949_0038_web.jpg,thumb/10949_0038_thumb.jpg
40,13v,master/10949_0039.tif,web/10949_0039_web.jpg,thumb/10949_0039_thumb.jpg
41,14r,master/10949_0040.tif,web/10949_0040_web.jpg,thumb/10949_0040_thumb.jpg
42,14v,master/10949_0041.tif,web/10949_0041_web.jpg,thumb/10949_0041_thumb.jpg
43,15r,master/10949_0042.tif,web/10949_0042_web.jpg,thumb/10949_0042_thumb.jpg
44,15v,master/10949_0043.tif,web/10949_0043_web.jpg,thumb/10949_0043_thumb.jpg
45,16r,master/10949_0044.tif,web/10949_0044_web.jpg,thumb/10949_0044_thumb.jpg
46,16v,master/10949_0045.tif,web/10949_0045_web.jpg,thumb/10949_0045_thumb.jpg
47,17r,master/10949_0046.tif,web/10949_0046_web.jpg,thumb/10949_0046_thumb.jpg
48,17v,master/10949_0047.tif,web/10949_0047_web.jpg,thumb/10949_0047_thumb.jpg
49,18r,master/10949_0048.tif,web/10949_0048_web.jpg,thumb/10949_0048_thumb.jpg
50,18v,master/10949_0049.tif,web/10949_0049_web.jpg,thumb/10949_0049_thumb.jpg
51,19r,master/10949_0050.tif,web/10949_0050_web.jpg,thumb/10949_0050_thumb.jpg
52,19v,master/10949_0051.tif,web/10949_0051_web.jpg,thumb/10949_0051_thumb.jpg
53,20r,master/10949_0052.tif,web/10949_0052_web.jpg,thumb/10949_0052_thumb.jpg
54,20v,master/10949_0053.tif,web/10949_0053_web.jpg,thumb/10949_0053_thumb.jpg
55,21r,master/10949_0054.tif,web/10949_0054_web.jpg,thumb/10949_0054_thumb.jpg
56,21v,master/10949_0055.tif,web/10949_0055_web.jpg,thumb/10949_0055_thumb.jpg
57,22r,master/10949_0056.tif,web/10949_0056_web.jpg,thumb/10949_0056_thumb.jpg
58,22v,master/10949_0057.tif,web/10949_0057_web.jpg,thumb/10949_0057_thumb.jpg
59,23r,master/10949_0058.tif,web/10949_0058_web.jpg,thumb/10949_0058_thumb.jpg
60,23v,master/10949_0059.tif,web/10949_0059_web.jpg,thumb/10949_0059_thumb.jpg
61,24r,master/10949_0060.tif,web/10949_0060_web.jpg,thumb/10949_0060_thumb.jpg
62,24v,master/10949_0061.tif,web/10949_0061_web.jpg,thumb/10949_0061_thumb.jpg
63,25r,master/10949_0062.tif,web/10949_0062_web.jpg,thumb/10949_0062_thumb.jpg
64,25v,master/10949_0063.tif,web/10949_0063_web.jpg,thumb/10949_0063_thumb.jpg
65,26r,master/10949_0064.tif,web/10949_0064_web.jpg,thumb/10949_0064_thumb.jpg
66,26v,master/10949_0065.tif,web/10949_0065_web.jpg,thumb/10949_0065_thumb.jpg
67,27r,master/10949_0066.tif,web/10949_0066_web.jpg,thumb/10949_0066_thumb.jpg
68,27v,master/10949_0067.tif,web/10949_0067_web.jpg,thumb/10949_0067_thumb.jpg
69,28r,master/10949_0068.tif,web/10949_0068_web.jpg,thumb/10949_0068_thumb.jpg
70,28v,master/10949_0069.tif,web/10949_0069_web.jpg,thumb/10949_0069_thumb.jpg
71,29r,master/10949_0070.tif,web/10949_0070_web.jpg,thumb/10949_0070_thumb.jpg
72,29v,master/10949_0071.tif,web/10949_0071_web.jpg,thumb/10949_0071_thumb.jpg
73,30r,master/10949_0072.tif,web/10949_0072_web.jpg,thumb/10949_0072_thumb.jpg
