postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/11211_0000.tif,web/11211_0000_web.jpg,thumb/11211_0000_thumb.jpg
2,Inside front cover,master/11211_0001.tif,web/11211_0001_web.jpg,thumb/11211_0001_thumb.jpg
3,Flap,master/11211_0002.tif,web/11211_0002_web.jpg,thumb/11211_0002_thumb.jpg
4,Flyleaf 1 recto,master/11211_0003.tif,web/11211_0003_web.jpg,thumb/11211_0003_thumb.jpg
5,Flyleaf 1 verso,master/11211_0004.tif,web/11211_0004_web.jpg,thumb/11211_0004_thumb.jpg
6,1r,master/11211_0005.tif,web/11211_0005_web.jpg,thumb/11211_0005_thumb.jpg
7,1v,master/11211_0006.tif,web/11211_0006_web.jpg,thumb/11211_0006_thumb.jpg
8,2r,master/11211_0007.tif,web/11211_0007_web.jpg,thumb/11211_0007_thumb.jpg
9,2v,master/11211_0008.tif,web/11211_0008_web.jpg,thumb/11211_0008_thumb.jpg
10,3r,master/11211_0009.tif,web/11211_0009_web.jpg,thumb/11211_0009_thumb.jpg
11,3v,master/11211_0010.tif,web/11211_0010_web.jpg,thumb/11211_0010_thumb.jpg
12,4r,master/11211_0011.tif,web/11211_0011_web.jpg,thumb/11211_0011_thumb.jpg
13,4v,master/11211_0012.tif,web/11211_0012_web.jpg,thumb/11211_0012_thumb.jpg
14,5r,master/11211_0013.tif,web/11211_0013_web.jpg,thumb/11211_0013_thumb.jpg
15,5v,master/11211_0014.tif,web/11211_0014_web.jpg,thumb/11211_0014_thumb.jpg
16,6r,master/11211_0015.tif,web/11211_0015_web.jpg,thumb/11211_0015_thumb.jpg
17,6v,master/11211_0016.tif,web/11211_0016_web.jpg,thumb/11211_0016_thumb.jpg
18,7r,master/11211_0017.tif,web/11211_0017_web.jpg,thumb/11211_0017_thumb.jpg
19,7v,master/11211_0018.tif,web/11211_0018_web.jpg,thumb/11211_0018_thumb.jpg
20,8r,master/11211_0019.tif,web/11211_0019_web.jpg,thumb/11211_0019_thumb.jpg
21,8v,master/11211_0020.tif,web/11211_0020_web.jpg,thumb/11211_0020_thumb.jpg
22,9r,master/11211_0021.tif,web/11211_0021_web.jpg,thumb/11211_0021_thumb.jpg
23,9v,master/11211_0022.tif,web/11211_0022_web.jpg,thumb/11211_0022_thumb.jpg
24,10r,master/11211_0023.tif,web/11211_0023_web.jpg,thumb/11211_0023_thumb.jpg
25,10v,master/11211_0024.tif,web/11211_0024_web.jpg,thumb/11211_0024_thumb.jpg
26,11r,master/11211_0025.tif,web/11211_0025_web.jpg,thumb/11211_0025_thumb.jpg
27,11v,master/11211_0026.tif,web/11211_0026_web.jpg,thumb/11211_0026_thumb.jpg
28,12r,master/11211_0027.tif,web/11211_0027_web.jpg,thumb/11211_0027_thumb.jpg
29,12v,master/11211_0028.tif,web/11211_0028_web.jpg,thumb/11211_0028_thumb.jpg
30,13r,master/11211_0029.tif,web/11211_0029_web.jpg,thumb/11211_0029_thumb.jpg
31,13v,master/11211_0030.tif,web/11211_0030_web.jpg,thumb/11211_0030_thumb.jpg
32,14r,master/11211_0031.tif,web/11211_0031_web.jpg,thumb/11211_0031_thumb.jpg
33,14v,master/11211_0032.tif,web/11211_0032_web.jpg,thumb/11211_0032_thumb.jpg
34,15r,master/11211_0033.tif,web/11211_0033_web.jpg,thumb/11211_0033_thumb.jpg
35,15v,master/11211_0034.tif,web/11211_0034_web.jpg,thumb/11211_0034_thumb.jpg
36,16r,master/11211_0035.tif,web/11211_0035_web.jpg,thumb/11211_0035_thumb.jpg
37,16v,master/11211_0036.tif,web/11211_0036_web.jpg,thumb/11211_0036_thumb.jpg
38,17r,master/11211_0037.tif,web/11211_0037_web.jpg,thumb/11211_0037_thumb.jpg
39,17v,master/11211_0038.tif,web/11211_0038_web.jpg,thumb/11211_0038_thumb.jpg
40,18r,master/11211_0039.tif,web/11211_0039_web.jpg,thumb/11211_0039_thumb.jpg
41,18v,master/11211_0040.tif,web/11211_0040_web.jpg,thumb/11211_0040_thumb.jpg
42,19r,master/11211_0041.tif,web/11211_0041_web.jpg,thumb/11211_0041_thumb.jpg
43,19v,master/11211_0042.tif,web/11211_0042_web.jpg,thumb/11211_0042_thumb.jpg
44,20r,master/11211_0043.tif,web/11211_0043_web.jpg,thumb/11211_0043_thumb.jpg
45,20v,master/11211_0044.tif,web/11211_0044_web.jpg,thumb/11211_0044_thumb.jpg
46,21r,master/11211_0045.tif,web/11211_0045_web.jpg,thumb/11211_0045_thumb.jpg
47,21v,master/11211_0046.tif,web/11211_0046_web.jpg,thumb/11211_0046_thumb.jpg
48,22r,master/11211_0047.tif,web/11211_0047_web.jpg,thumb/11211_0047_thumb.jpg
49,22v,master/11211_0048.tif,web/11211_0048_web.jpg,thumb/11211_0048_thumb.jpg
50,23r,master/11211_0049.tif,web/11211_0049_web.jpg,thumb/11211_0049_thumb.jpg
51,23v,master/11211_0050.tif,web/11211_0050_web.jpg,thumb/11211_0050_thumb.jpg
52,24r,master/11211_0051.tif,web/11211_0051_web.jpg,thumb/11211_0051_thumb.jpg
53,24v,master/11211_0052.tif,web/11211_0052_web.jpg,thumb/11211_0052_thumb.jpg
54,25r,master/11211_0053.tif,web/11211_0053_web.jpg,thumb/11211_0053_thumb.jpg
55,25v,master/11211_0054.tif,web/11211_0054_web.jpg,thumb/11211_0054_thumb.jpg
56,26r,master/11211_0055.tif,web/11211_0055_web.jpg,thumb/11211_0055_thumb.jpg
57,26v,master/11211_0056.tif,web/11211_0056_web.jpg,thumb/11211_0056_thumb.jpg
58,27r,master/11211_0057.tif,web/11211_0057_web.jpg,thumb/11211_0057_thumb.jpg
59,27v,master/11211_0058.tif,web/11211_0058_web.jpg,thumb/11211_0058_thumb.jpg
60,28r,master/11211_0059.tif,web/11211_0059_web.jpg,thumb/11211_0059_thumb.jpg
61,28v,master/11211_0060.tif,web/11211_0060_web.jpg,thumb/11211_0060_thumb.jpg
62,29r,master/11211_0061.tif,web/11211_0061_web.jpg,thumb/11211_0061_thumb.jpg
63,29v,master/11211_0062.tif,web/11211_0062_web.jpg,thumb/11211_0062_thumb.jpg
64,30r,master/11211_0063.tif,web/11211_0063_web.jpg,thumb/11211_0063_thumb.jpg
65,30v,master/11211_0064.tif,web/11211_0064_web.jpg,thumb/11211_0064_thumb.jpg
66,31r,master/11211_0065.tif,web/11211_0065_web.jpg,thumb/11211_0065_thumb.jpg
67,31v,master/11211_0066.tif,web/11211_0066_web.jpg,thumb/11211_0066_thumb.jpg
68,32r,master/11211_0067.tif,web/11211_0067_web.jpg,thumb/11211_0067_thumb.jpg
69,32v,master/11211_0068.tif,web/11211_0068_web.jpg,thumb/11211_0068_thumb.jpg
