document_id,path,title,metadata_type,created,updated
9534,0033/uts_ms_001_arabic,al-Qur'an.,TEI,2019-11-01T18:35:41+00:00,2020-05-05T14:13:06+00:00
10222,0033/uts_ms_010_arabic,Collection of treatises on Sufism and Islam,TEI,2020-10-06T15:58:14+00:00,2020-10-06T22:47:05+00:00
10223,0033/uts_ms_005_arabic,al-Qur'an,TEI,2020-10-06T16:58:56+00:00,2020-10-06T22:47:05+00:00
10293,0033/uts_ms_002_arabic,al-Qur'an.,TEI,2020-10-15T13:54:40+00:00,2020-10-15T23:01:18+00:00
10338,0033/uts_ms_009_arabic,al-Shifa' al-sharif.,TEI,2020-12-04T18:27:17+00:00,2020-12-05T00:30:44+00:00
10404,0033/uts_ms_006_arabic,Anwar al-tanzil wa-asrar al-ta'wil.,TEI,2021-02-23T15:41:41+00:00,2021-02-24T00:13:08+00:00
11208,0033/uts_ms_001_turkic,Mi`rajiyah.,TEI,2021-03-23T14:17:52+00:00,2021-03-23T22:53:37+00:00
11210,0033/uts_ms_002_turkic,Manevi serhi,TEI,2021-03-23T15:43:07+00:00,2021-03-23T22:53:37+00:00
11211,0033/uts_ms_003_turkic,Divan-i Kutb al-arifin.,TEI,2021-03-23T16:47:01+00:00,2021-03-23T22:53:37+00:00
11212,0033/uts_ms_011_arabic,Hadha Kitab Hisn al-hasin min kalam Sayyid al-Mursalin.,TEI,2021-03-23T17:59:16+00:00,2021-03-23T22:53:37+00:00
11213,0033/uts_ms_023_arabic,al-Tarikh al-kana'isi,TEI,2021-03-23T19:52:45+00:00,2021-03-23T22:53:37+00:00
11214,0033/uts_ms_024_arabic,al-Mulahazah al-intiqadiyah fi al-sirah al-Muhammadiyah.,TEI,2021-03-26T13:34:43+00:00,2021-03-26T22:44:16+00:00
