postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12036_0000.tif,web/12036_0000_web.jpg,thumb/12036_0000_thumb.jpg
2,Inside front cover,master/12036_0001.tif,web/12036_0001_web.jpg,thumb/12036_0001_thumb.jpg
3,Flyleaf 1r,master/12036_0002.tif,web/12036_0002_web.jpg,thumb/12036_0002_thumb.jpg
4,Flyleaf 1v,master/12036_0003.tif,web/12036_0003_web.jpg,thumb/12036_0003_thumb.jpg
5,p. 1,master/12036_0004.tif,web/12036_0004_web.jpg,thumb/12036_0004_thumb.jpg
6,p. 2,master/12036_0005.tif,web/12036_0005_web.jpg,thumb/12036_0005_thumb.jpg
7,p. 3,master/12036_0006.tif,web/12036_0006_web.jpg,thumb/12036_0006_thumb.jpg
8,p. 4,master/12036_0007.tif,web/12036_0007_web.jpg,thumb/12036_0007_thumb.jpg
9,p. 5,master/12036_0008.tif,web/12036_0008_web.jpg,thumb/12036_0008_thumb.jpg
10,p. 6,master/12036_0009.tif,web/12036_0009_web.jpg,thumb/12036_0009_thumb.jpg
11,p. 7,master/12036_0010.tif,web/12036_0010_web.jpg,thumb/12036_0010_thumb.jpg
12,p. 8,master/12036_0011.tif,web/12036_0011_web.jpg,thumb/12036_0011_thumb.jpg
13,p. 9,master/12036_0012.tif,web/12036_0012_web.jpg,thumb/12036_0012_thumb.jpg
14,p. 10,master/12036_0013.tif,web/12036_0013_web.jpg,thumb/12036_0013_thumb.jpg
15,p. 11,master/12036_0014.tif,web/12036_0014_web.jpg,thumb/12036_0014_thumb.jpg
16,p. 12,master/12036_0015.tif,web/12036_0015_web.jpg,thumb/12036_0015_thumb.jpg
17,p. 13,master/12036_0016.tif,web/12036_0016_web.jpg,thumb/12036_0016_thumb.jpg
18,p. 14,master/12036_0017.tif,web/12036_0017_web.jpg,thumb/12036_0017_thumb.jpg
19,p. 15,master/12036_0018.tif,web/12036_0018_web.jpg,thumb/12036_0018_thumb.jpg
20,p. 16,master/12036_0019.tif,web/12036_0019_web.jpg,thumb/12036_0019_thumb.jpg
21,p. 17,master/12036_0020.tif,web/12036_0020_web.jpg,thumb/12036_0020_thumb.jpg
22,p. 18,master/12036_0021.tif,web/12036_0021_web.jpg,thumb/12036_0021_thumb.jpg
23,p. 19,master/12036_0022.tif,web/12036_0022_web.jpg,thumb/12036_0022_thumb.jpg
24,p. 20,master/12036_0023.tif,web/12036_0023_web.jpg,thumb/12036_0023_thumb.jpg
25,p. 21,master/12036_0024.tif,web/12036_0024_web.jpg,thumb/12036_0024_thumb.jpg
26,p. 22,master/12036_0025.tif,web/12036_0025_web.jpg,thumb/12036_0025_thumb.jpg
27,Inside back cover,master/12036_0026.tif,web/12036_0026_web.jpg,thumb/12036_0026_thumb.jpg
28,Back cover,master/12036_0027.tif,web/12036_0027_web.jpg,thumb/12036_0027_thumb.jpg
29,Color card,master/12036_0028.tif,web/12036_0028_web.jpg,thumb/12036_0028_thumb.jpg
