postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12040_0000.tif,web/12040_0000_web.jpg,thumb/12040_0000_thumb.jpg
2,Inside front cover,master/12040_0001.tif,web/12040_0001_web.jpg,thumb/12040_0001_thumb.jpg
3,Flyleaf 1 recto,master/12040_0002.tif,web/12040_0002_web.jpg,thumb/12040_0002_thumb.jpg
4,Flyleaf 1 verso,master/12040_0003.tif,web/12040_0003_web.jpg,thumb/12040_0003_thumb.jpg
5,p. 1,master/12040_0004.tif,web/12040_0004_web.jpg,thumb/12040_0004_thumb.jpg
6,p. 2,master/12040_0005.tif,web/12040_0005_web.jpg,thumb/12040_0005_thumb.jpg
7,p. 3,master/12040_0006.tif,web/12040_0006_web.jpg,thumb/12040_0006_thumb.jpg
8,p. 4,master/12040_0007.tif,web/12040_0007_web.jpg,thumb/12040_0007_thumb.jpg
9,p. 5,master/12040_0008.tif,web/12040_0008_web.jpg,thumb/12040_0008_thumb.jpg
10,p. 6,master/12040_0009.tif,web/12040_0009_web.jpg,thumb/12040_0009_thumb.jpg
11,p. 7,master/12040_0010.tif,web/12040_0010_web.jpg,thumb/12040_0010_thumb.jpg
12,p. 8,master/12040_0011.tif,web/12040_0011_web.jpg,thumb/12040_0011_thumb.jpg
13,p. 9,master/12040_0012.tif,web/12040_0012_web.jpg,thumb/12040_0012_thumb.jpg
14,p. 10,master/12040_0013.tif,web/12040_0013_web.jpg,thumb/12040_0013_thumb.jpg
15,p. 11,master/12040_0014.tif,web/12040_0014_web.jpg,thumb/12040_0014_thumb.jpg
16,p. 12,master/12040_0015.tif,web/12040_0015_web.jpg,thumb/12040_0015_thumb.jpg
17,p. 13,master/12040_0016.tif,web/12040_0016_web.jpg,thumb/12040_0016_thumb.jpg
18,p. 14,master/12040_0017.tif,web/12040_0017_web.jpg,thumb/12040_0017_thumb.jpg
19,p. 15,master/12040_0018.tif,web/12040_0018_web.jpg,thumb/12040_0018_thumb.jpg
20,p. 16,master/12040_0019.tif,web/12040_0019_web.jpg,thumb/12040_0019_thumb.jpg
21,p. 17,master/12040_0020.tif,web/12040_0020_web.jpg,thumb/12040_0020_thumb.jpg
22,p. 18,master/12040_0021.tif,web/12040_0021_web.jpg,thumb/12040_0021_thumb.jpg
23,p. 19,master/12040_0022.tif,web/12040_0022_web.jpg,thumb/12040_0022_thumb.jpg
24,p. 20,master/12040_0023.tif,web/12040_0023_web.jpg,thumb/12040_0023_thumb.jpg
25,p. 21,master/12040_0024.tif,web/12040_0024_web.jpg,thumb/12040_0024_thumb.jpg
26,p. 22,master/12040_0025.tif,web/12040_0025_web.jpg,thumb/12040_0025_thumb.jpg
27,p. 23,master/12040_0026.tif,web/12040_0026_web.jpg,thumb/12040_0026_thumb.jpg
28,p. 24,master/12040_0027.tif,web/12040_0027_web.jpg,thumb/12040_0027_thumb.jpg
29,p. 25,master/12040_0028.tif,web/12040_0028_web.jpg,thumb/12040_0028_thumb.jpg
30,p. 26,master/12040_0029.tif,web/12040_0029_web.jpg,thumb/12040_0029_thumb.jpg
31,p. 27,master/12040_0030.tif,web/12040_0030_web.jpg,thumb/12040_0030_thumb.jpg
32,p. 28,master/12040_0031.tif,web/12040_0031_web.jpg,thumb/12040_0031_thumb.jpg
33,p. 1,master/12040_0032.tif,web/12040_0032_web.jpg,thumb/12040_0032_thumb.jpg
34,p. 2,master/12040_0033.tif,web/12040_0033_web.jpg,thumb/12040_0033_thumb.jpg
35,p. 3,master/12040_0034.tif,web/12040_0034_web.jpg,thumb/12040_0034_thumb.jpg
36,p. 4,master/12040_0035.tif,web/12040_0035_web.jpg,thumb/12040_0035_thumb.jpg
37,p. 5,master/12040_0036.tif,web/12040_0036_web.jpg,thumb/12040_0036_thumb.jpg
38,p. 6,master/12040_0037.tif,web/12040_0037_web.jpg,thumb/12040_0037_thumb.jpg
39,p. 7,master/12040_0038.tif,web/12040_0038_web.jpg,thumb/12040_0038_thumb.jpg
40,p. 8,master/12040_0039.tif,web/12040_0039_web.jpg,thumb/12040_0039_thumb.jpg
41,p. 9,master/12040_0040.tif,web/12040_0040_web.jpg,thumb/12040_0040_thumb.jpg
42,p. 10,master/12040_0041.tif,web/12040_0041_web.jpg,thumb/12040_0041_thumb.jpg
43,p. 11,master/12040_0042.tif,web/12040_0042_web.jpg,thumb/12040_0042_thumb.jpg
44,p. 12,master/12040_0043.tif,web/12040_0043_web.jpg,thumb/12040_0043_thumb.jpg
45,p. 13,master/12040_0044.tif,web/12040_0044_web.jpg,thumb/12040_0044_thumb.jpg
46,p. 14,master/12040_0045.tif,web/12040_0045_web.jpg,thumb/12040_0045_thumb.jpg
47,p. 15,master/12040_0046.tif,web/12040_0046_web.jpg,thumb/12040_0046_thumb.jpg
48,p. 16,master/12040_0047.tif,web/12040_0047_web.jpg,thumb/12040_0047_thumb.jpg
49,p. 17,master/12040_0048.tif,web/12040_0048_web.jpg,thumb/12040_0048_thumb.jpg
50,p. 18,master/12040_0049.tif,web/12040_0049_web.jpg,thumb/12040_0049_thumb.jpg
51,p. 19,master/12040_0050.tif,web/12040_0050_web.jpg,thumb/12040_0050_thumb.jpg
52,p. 20,master/12040_0051.tif,web/12040_0051_web.jpg,thumb/12040_0051_thumb.jpg
53,p. 21,master/12040_0052.tif,web/12040_0052_web.jpg,thumb/12040_0052_thumb.jpg
54,p. 22,master/12040_0053.tif,web/12040_0053_web.jpg,thumb/12040_0053_thumb.jpg
55,p. 23,master/12040_0054.tif,web/12040_0054_web.jpg,thumb/12040_0054_thumb.jpg
56,p. 24,master/12040_0055.tif,web/12040_0055_web.jpg,thumb/12040_0055_thumb.jpg
57,p. 25,master/12040_0056.tif,web/12040_0056_web.jpg,thumb/12040_0056_thumb.jpg
58,p. 26,master/12040_0057.tif,web/12040_0057_web.jpg,thumb/12040_0057_thumb.jpg
59,p. 27,master/12040_0058.tif,web/12040_0058_web.jpg,thumb/12040_0058_thumb.jpg
60,p. 28,master/12040_0059.tif,web/12040_0059_web.jpg,thumb/12040_0059_thumb.jpg
61,p. 29,master/12040_0060.tif,web/12040_0060_web.jpg,thumb/12040_0060_thumb.jpg
62,p. 30,master/12040_0061.tif,web/12040_0061_web.jpg,thumb/12040_0061_thumb.jpg
63,p. 31,master/12040_0062.tif,web/12040_0062_web.jpg,thumb/12040_0062_thumb.jpg
64,p. 32,master/12040_0063.tif,web/12040_0063_web.jpg,thumb/12040_0063_thumb.jpg
65,p. 33,master/12040_0064.tif,web/12040_0064_web.jpg,thumb/12040_0064_thumb.jpg
66,p. 34,master/12040_0065.tif,web/12040_0065_web.jpg,thumb/12040_0065_thumb.jpg
67,p. 35,master/12040_0066.tif,web/12040_0066_web.jpg,thumb/12040_0066_thumb.jpg
68,p. 36,master/12040_0067.tif,web/12040_0067_web.jpg,thumb/12040_0067_thumb.jpg
69,p. 37,master/12040_0068.tif,web/12040_0068_web.jpg,thumb/12040_0068_thumb.jpg
70,p. 38,master/12040_0069.tif,web/12040_0069_web.jpg,thumb/12040_0069_thumb.jpg
71,p. 39,master/12040_0070.tif,web/12040_0070_web.jpg,thumb/12040_0070_thumb.jpg
72,p. 40,master/12040_0071.tif,web/12040_0071_web.jpg,thumb/12040_0071_thumb.jpg
73,p. 41,master/12040_0072.tif,web/12040_0072_web.jpg,thumb/12040_0072_thumb.jpg
74,p. 42,master/12040_0073.tif,web/12040_0073_web.jpg,thumb/12040_0073_thumb.jpg
75,p. 43,master/12040_0074.tif,web/12040_0074_web.jpg,thumb/12040_0074_thumb.jpg
76,p. 44,master/12040_0075.tif,web/12040_0075_web.jpg,thumb/12040_0075_thumb.jpg
77,p. 45,master/12040_0076.tif,web/12040_0076_web.jpg,thumb/12040_0076_thumb.jpg
78,p. 46,master/12040_0077.tif,web/12040_0077_web.jpg,thumb/12040_0077_thumb.jpg
79,p. 47,master/12040_0078.tif,web/12040_0078_web.jpg,thumb/12040_0078_thumb.jpg
80,p. 48,master/12040_0079.tif,web/12040_0079_web.jpg,thumb/12040_0079_thumb.jpg
81,p. 49,master/12040_0080.tif,web/12040_0080_web.jpg,thumb/12040_0080_thumb.jpg
82,p. 50,master/12040_0081.tif,web/12040_0081_web.jpg,thumb/12040_0081_thumb.jpg
83,p. 51,master/12040_0082.tif,web/12040_0082_web.jpg,thumb/12040_0082_thumb.jpg
84,p. 52,master/12040_0083.tif,web/12040_0083_web.jpg,thumb/12040_0083_thumb.jpg
85,Inside back cover,master/12040_0084.tif,web/12040_0084_web.jpg,thumb/12040_0084_thumb.jpg
86,Back cover,master/12040_0085.tif,web/12040_0085_web.jpg,thumb/12040_0085_thumb.jpg
87,Color card,master/12040_0086.tif,web/12040_0086_web.jpg,thumb/12040_0086_thumb.jpg
