postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12041_0000.tif,web/12041_0000_web.jpg,thumb/12041_0000_thumb.jpg
2,Inside front cover,master/12041_0001.tif,web/12041_0001_web.jpg,thumb/12041_0001_thumb.jpg
3,Title page,master/12041_0002.tif,web/12041_0002_web.jpg,thumb/12041_0002_thumb.jpg
4,p. i,master/12041_0003.tif,web/12041_0003_web.jpg,thumb/12041_0003_thumb.jpg
5,p. ii,master/12041_0004.tif,web/12041_0004_web.jpg,thumb/12041_0004_thumb.jpg
6,p. iii,master/12041_0005.tif,web/12041_0005_web.jpg,thumb/12041_0005_thumb.jpg
7,p. iv,master/12041_0006.tif,web/12041_0006_web.jpg,thumb/12041_0006_thumb.jpg
8,p. v,master/12041_0007.tif,web/12041_0007_web.jpg,thumb/12041_0007_thumb.jpg
9,p. vi,master/12041_0008.tif,web/12041_0008_web.jpg,thumb/12041_0008_thumb.jpg
10,p. vii,master/12041_0009.tif,web/12041_0009_web.jpg,thumb/12041_0009_thumb.jpg
11,p. 1,master/12041_0010.tif,web/12041_0010_web.jpg,thumb/12041_0010_thumb.jpg
12,p. 2,master/12041_0011.tif,web/12041_0011_web.jpg,thumb/12041_0011_thumb.jpg
13,p. 3,master/12041_0012.tif,web/12041_0012_web.jpg,thumb/12041_0012_thumb.jpg
14,p. 4,master/12041_0013.tif,web/12041_0013_web.jpg,thumb/12041_0013_thumb.jpg
15,p. 5,master/12041_0014.tif,web/12041_0014_web.jpg,thumb/12041_0014_thumb.jpg
16,p. 6,master/12041_0015.tif,web/12041_0015_web.jpg,thumb/12041_0015_thumb.jpg
17,p. 7,master/12041_0016.tif,web/12041_0016_web.jpg,thumb/12041_0016_thumb.jpg
18,p. 8,master/12041_0017.tif,web/12041_0017_web.jpg,thumb/12041_0017_thumb.jpg
19,p. 9,master/12041_0018.tif,web/12041_0018_web.jpg,thumb/12041_0018_thumb.jpg
20,p. 10,master/12041_0019.tif,web/12041_0019_web.jpg,thumb/12041_0019_thumb.jpg
21,p. 11,master/12041_0020.tif,web/12041_0020_web.jpg,thumb/12041_0020_thumb.jpg
22,p. 12,master/12041_0021.tif,web/12041_0021_web.jpg,thumb/12041_0021_thumb.jpg
23,p. 13,master/12041_0022.tif,web/12041_0022_web.jpg,thumb/12041_0022_thumb.jpg
24,p. 14,master/12041_0023.tif,web/12041_0023_web.jpg,thumb/12041_0023_thumb.jpg
25,p. 15,master/12041_0024.tif,web/12041_0024_web.jpg,thumb/12041_0024_thumb.jpg
26,p. 16,master/12041_0025.tif,web/12041_0025_web.jpg,thumb/12041_0025_thumb.jpg
27,p. 17,master/12041_0026.tif,web/12041_0026_web.jpg,thumb/12041_0026_thumb.jpg
28,p. 19,master/12041_0027.tif,web/12041_0027_web.jpg,thumb/12041_0027_thumb.jpg
29,p. 18,master/12041_0028.tif,web/12041_0028_web.jpg,thumb/12041_0028_thumb.jpg
30,p. 20,master/12041_0029.tif,web/12041_0029_web.jpg,thumb/12041_0029_thumb.jpg
31,p. 21,master/12041_0030.tif,web/12041_0030_web.jpg,thumb/12041_0030_thumb.jpg
32,p. 22,master/12041_0031.tif,web/12041_0031_web.jpg,thumb/12041_0031_thumb.jpg
33,p. 23,master/12041_0032.tif,web/12041_0032_web.jpg,thumb/12041_0032_thumb.jpg
34,p. 24,master/12041_0033.tif,web/12041_0033_web.jpg,thumb/12041_0033_thumb.jpg
35,p. 25,master/12041_0034.tif,web/12041_0034_web.jpg,thumb/12041_0034_thumb.jpg
36,Inside back cover,master/12041_0035.tif,web/12041_0035_web.jpg,thumb/12041_0035_thumb.jpg
37,back cover,master/12041_0036.tif,web/12041_0036_web.jpg,thumb/12041_0036_thumb.jpg
