postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12046_0000.tif,web/12046_0000_web.jpg,thumb/12046_0000_thumb.jpg
2,p. 1,master/12046_0001.tif,web/12046_0001_web.jpg,thumb/12046_0001_thumb.jpg
3,p. 3-4,master/12046_0002.tif,web/12046_0002_web.jpg,thumb/12046_0002_thumb.jpg
4,p. 5-6,master/12046_0003.tif,web/12046_0003_web.jpg,thumb/12046_0003_thumb.jpg
5,p. 7-8,master/12046_0004.tif,web/12046_0004_web.jpg,thumb/12046_0004_thumb.jpg
6,p. 9-10,master/12046_0005.tif,web/12046_0005_web.jpg,thumb/12046_0005_thumb.jpg
7,p. 11-12,master/12046_0006.tif,web/12046_0006_web.jpg,thumb/12046_0006_thumb.jpg
8,p. 13-14,master/12046_0007.tif,web/12046_0007_web.jpg,thumb/12046_0007_thumb.jpg
9,p. 15-16,master/12046_0008.tif,web/12046_0008_web.jpg,thumb/12046_0008_thumb.jpg
10,p. 17-18,master/12046_0009.tif,web/12046_0009_web.jpg,thumb/12046_0009_thumb.jpg
11,p. 19-20,master/12046_0010.tif,web/12046_0010_web.jpg,thumb/12046_0010_thumb.jpg
12,p. 21-22,master/12046_0011.tif,web/12046_0011_web.jpg,thumb/12046_0011_thumb.jpg
13,p. 23-24,master/12046_0012.tif,web/12046_0012_web.jpg,thumb/12046_0012_thumb.jpg
14,p. 25-26,master/12046_0013.tif,web/12046_0013_web.jpg,thumb/12046_0013_thumb.jpg
15,p. 27-28,master/12046_0014.tif,web/12046_0014_web.jpg,thumb/12046_0014_thumb.jpg
16,p. 29-30,master/12046_0015.tif,web/12046_0015_web.jpg,thumb/12046_0015_thumb.jpg
17,p. 31-32,master/12046_0016.tif,web/12046_0016_web.jpg,thumb/12046_0016_thumb.jpg
18,p. 33-34,master/12046_0017.tif,web/12046_0017_web.jpg,thumb/12046_0017_thumb.jpg
19,p. 35-36,master/12046_0018.tif,web/12046_0018_web.jpg,thumb/12046_0018_thumb.jpg
20,p. 37-38,master/12046_0019.tif,web/12046_0019_web.jpg,thumb/12046_0019_thumb.jpg
21,p. 39-40,master/12046_0020.tif,web/12046_0020_web.jpg,thumb/12046_0020_thumb.jpg
22,p. 41-42,master/12046_0021.tif,web/12046_0021_web.jpg,thumb/12046_0021_thumb.jpg
23,p. 43-44,master/12046_0022.tif,web/12046_0022_web.jpg,thumb/12046_0022_thumb.jpg
24,p. 45-46,master/12046_0023.tif,web/12046_0023_web.jpg,thumb/12046_0023_thumb.jpg
25,p. 47-48,master/12046_0024.tif,web/12046_0024_web.jpg,thumb/12046_0024_thumb.jpg
26,p. 49-50,master/12046_0025.tif,web/12046_0025_web.jpg,thumb/12046_0025_thumb.jpg
27,p. 51-52,master/12046_0026.tif,web/12046_0026_web.jpg,thumb/12046_0026_thumb.jpg
28,p. 53-54,master/12046_0027.tif,web/12046_0027_web.jpg,thumb/12046_0027_thumb.jpg
29,p. 55-56,master/12046_0028.tif,web/12046_0028_web.jpg,thumb/12046_0028_thumb.jpg
30,p. 57-58,master/12046_0029.tif,web/12046_0029_web.jpg,thumb/12046_0029_thumb.jpg
31,p. 59-60,master/12046_0030.tif,web/12046_0030_web.jpg,thumb/12046_0030_thumb.jpg
32,p. 61-62,master/12046_0031.tif,web/12046_0031_web.jpg,thumb/12046_0031_thumb.jpg
33,p. 63-64,master/12046_0032.tif,web/12046_0032_web.jpg,thumb/12046_0032_thumb.jpg
34,p. 65-66,master/12046_0033.tif,web/12046_0033_web.jpg,thumb/12046_0033_thumb.jpg
35,p. 67-68,master/12046_0034.tif,web/12046_0034_web.jpg,thumb/12046_0034_thumb.jpg
36,p. 69-70,master/12046_0035.tif,web/12046_0035_web.jpg,thumb/12046_0035_thumb.jpg
37,p. 71-72,master/12046_0036.tif,web/12046_0036_web.jpg,thumb/12046_0036_thumb.jpg
38,p. 73-74,master/12046_0037.tif,web/12046_0037_web.jpg,thumb/12046_0037_thumb.jpg
39,p. 75-76,master/12046_0038.tif,web/12046_0038_web.jpg,thumb/12046_0038_thumb.jpg
40,p. 77-78,master/12046_0039.tif,web/12046_0039_web.jpg,thumb/12046_0039_thumb.jpg
41,p. 79-80,master/12046_0040.tif,web/12046_0040_web.jpg,thumb/12046_0040_thumb.jpg
42,p. 81,master/12046_0041.tif,web/12046_0041_web.jpg,thumb/12046_0041_thumb.jpg
43,Back cover,master/12046_0042.tif,web/12046_0042_web.jpg,thumb/12046_0042_thumb.jpg
