postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9246_0000.tif,web/9246_0000_web.jpg,thumb/9246_0000_thumb.jpg
2,Flyleaf verso,master/9246_0001.tif,web/9246_0001_web.jpg,thumb/9246_0001_thumb.jpg
3,p. 1,master/9246_0002.tif,web/9246_0002_web.jpg,thumb/9246_0002_thumb.jpg
4,p. 2,master/9246_0003.tif,web/9246_0003_web.jpg,thumb/9246_0003_thumb.jpg
5,p. 3,master/9246_0004.tif,web/9246_0004_web.jpg,thumb/9246_0004_thumb.jpg
6,p. 4,master/9246_0005.tif,web/9246_0005_web.jpg,thumb/9246_0005_thumb.jpg
7,p. 5,master/9246_0006.tif,web/9246_0006_web.jpg,thumb/9246_0006_thumb.jpg
8,p. 6,master/9246_0007.tif,web/9246_0007_web.jpg,thumb/9246_0007_thumb.jpg
9,p. 7,master/9246_0008.tif,web/9246_0008_web.jpg,thumb/9246_0008_thumb.jpg
10,p. 16,master/9246_0009.tif,web/9246_0009_web.jpg,thumb/9246_0009_thumb.jpg
11,p. 17,master/9246_0010.tif,web/9246_0010_web.jpg,thumb/9246_0010_thumb.jpg
12,p. 18,master/9246_0011.tif,web/9246_0011_web.jpg,thumb/9246_0011_thumb.jpg
13,p. 19,master/9246_0012.tif,web/9246_0012_web.jpg,thumb/9246_0012_thumb.jpg
14,p. 108,master/9246_0013.tif,web/9246_0013_web.jpg,thumb/9246_0013_thumb.jpg
15,p. 109,master/9246_0014.tif,web/9246_0014_web.jpg,thumb/9246_0014_thumb.jpg
16,p. 110,master/9246_0015.tif,web/9246_0015_web.jpg,thumb/9246_0015_thumb.jpg
17,p. 111,master/9246_0016.tif,web/9246_0016_web.jpg,thumb/9246_0016_thumb.jpg
18,p. 112,master/9246_0017.tif,web/9246_0017_web.jpg,thumb/9246_0017_thumb.jpg
19,p. 113,master/9246_0018.tif,web/9246_0018_web.jpg,thumb/9246_0018_thumb.jpg
20,p. 114,master/9246_0019.tif,web/9246_0019_web.jpg,thumb/9246_0019_thumb.jpg
21,p. 115,master/9246_0020.tif,web/9246_0020_web.jpg,thumb/9246_0020_thumb.jpg
22,p. 116,master/9246_0021.tif,web/9246_0021_web.jpg,thumb/9246_0021_thumb.jpg
23,p. 117,master/9246_0022.tif,web/9246_0022_web.jpg,thumb/9246_0022_thumb.jpg
24,p. 118,master/9246_0023.tif,web/9246_0023_web.jpg,thumb/9246_0023_thumb.jpg
25,p. 119,master/9246_0024.tif,web/9246_0024_web.jpg,thumb/9246_0024_thumb.jpg
26,p. 120,master/9246_0025.tif,web/9246_0025_web.jpg,thumb/9246_0025_thumb.jpg
27,p. 121,master/9246_0026.tif,web/9246_0026_web.jpg,thumb/9246_0026_thumb.jpg
28,p. 122,master/9246_0027.tif,web/9246_0027_web.jpg,thumb/9246_0027_thumb.jpg
29,p. 123,master/9246_0028.tif,web/9246_0028_web.jpg,thumb/9246_0028_thumb.jpg
30,p. 124,master/9246_0029.tif,web/9246_0029_web.jpg,thumb/9246_0029_thumb.jpg
31,p. 125,master/9246_0030.tif,web/9246_0030_web.jpg,thumb/9246_0030_thumb.jpg
32,p. 126,master/9246_0031.tif,web/9246_0031_web.jpg,thumb/9246_0031_thumb.jpg
33,p. 127,master/9246_0032.tif,web/9246_0032_web.jpg,thumb/9246_0032_thumb.jpg
34,p. 128,master/9246_0033.tif,web/9246_0033_web.jpg,thumb/9246_0033_thumb.jpg
35,p. 129,master/9246_0034.tif,web/9246_0034_web.jpg,thumb/9246_0034_thumb.jpg
36,p. 130,master/9246_0035.tif,web/9246_0035_web.jpg,thumb/9246_0035_thumb.jpg
37,p. 131,master/9246_0036.tif,web/9246_0036_web.jpg,thumb/9246_0036_thumb.jpg
38,p. 132,master/9246_0037.tif,web/9246_0037_web.jpg,thumb/9246_0037_thumb.jpg
39,p. 133,master/9246_0038.tif,web/9246_0038_web.jpg,thumb/9246_0038_thumb.jpg
40,p. 134,master/9246_0039.tif,web/9246_0039_web.jpg,thumb/9246_0039_thumb.jpg
41,p. 135,master/9246_0040.tif,web/9246_0040_web.jpg,thumb/9246_0040_thumb.jpg
42,p. 136,master/9246_0041.tif,web/9246_0041_web.jpg,thumb/9246_0041_thumb.jpg
43,p. 137,master/9246_0042.tif,web/9246_0042_web.jpg,thumb/9246_0042_thumb.jpg
44,p. 138,master/9246_0043.tif,web/9246_0043_web.jpg,thumb/9246_0043_thumb.jpg
45,p. 139,master/9246_0044.tif,web/9246_0044_web.jpg,thumb/9246_0044_thumb.jpg
46,p. 140,master/9246_0045.tif,web/9246_0045_web.jpg,thumb/9246_0045_thumb.jpg
47,p. 141,master/9246_0046.tif,web/9246_0046_web.jpg,thumb/9246_0046_thumb.jpg
48,p. 142,master/9246_0047.tif,web/9246_0047_web.jpg,thumb/9246_0047_thumb.jpg
49,p. 143,master/9246_0048.tif,web/9246_0048_web.jpg,thumb/9246_0048_thumb.jpg
50,p. 144,master/9246_0049.tif,web/9246_0049_web.jpg,thumb/9246_0049_thumb.jpg
51,p. 145,master/9246_0050.tif,web/9246_0050_web.jpg,thumb/9246_0050_thumb.jpg
52,p. 146,master/9246_0051.tif,web/9246_0051_web.jpg,thumb/9246_0051_thumb.jpg
53,p. 147,master/9246_0052.tif,web/9246_0052_web.jpg,thumb/9246_0052_thumb.jpg
54,p. 148,master/9246_0053.tif,web/9246_0053_web.jpg,thumb/9246_0053_thumb.jpg
55,p. 149,master/9246_0054.tif,web/9246_0054_web.jpg,thumb/9246_0054_thumb.jpg
56,p. 150,master/9246_0055.tif,web/9246_0055_web.jpg,thumb/9246_0055_thumb.jpg
57,p. 151,master/9246_0056.tif,web/9246_0056_web.jpg,thumb/9246_0056_thumb.jpg
58,p. 152,master/9246_0057.tif,web/9246_0057_web.jpg,thumb/9246_0057_thumb.jpg
59,p. 153,master/9246_0058.tif,web/9246_0058_web.jpg,thumb/9246_0058_thumb.jpg
60,p. 154,master/9246_0059.tif,web/9246_0059_web.jpg,thumb/9246_0059_thumb.jpg
61,p. 155,master/9246_0060.tif,web/9246_0060_web.jpg,thumb/9246_0060_thumb.jpg
62,p. 156,master/9246_0061.tif,web/9246_0061_web.jpg,thumb/9246_0061_thumb.jpg
63,p. 157,master/9246_0062.tif,web/9246_0062_web.jpg,thumb/9246_0062_thumb.jpg
64,p. 158,master/9246_0063.tif,web/9246_0063_web.jpg,thumb/9246_0063_thumb.jpg
65,p. 159,master/9246_0064.tif,web/9246_0064_web.jpg,thumb/9246_0064_thumb.jpg
66,p. 160,master/9246_0065.tif,web/9246_0065_web.jpg,thumb/9246_0065_thumb.jpg
67,p. 161,master/9246_0066.tif,web/9246_0066_web.jpg,thumb/9246_0066_thumb.jpg
68,p. 162,master/9246_0067.tif,web/9246_0067_web.jpg,thumb/9246_0067_thumb.jpg
69,p. 163,master/9246_0068.tif,web/9246_0068_web.jpg,thumb/9246_0068_thumb.jpg
70,p. 164,master/9246_0069.tif,web/9246_0069_web.jpg,thumb/9246_0069_thumb.jpg
71,p. 165,master/9246_0070.tif,web/9246_0070_web.jpg,thumb/9246_0070_thumb.jpg
72,p. 166,master/9246_0071.tif,web/9246_0071_web.jpg,thumb/9246_0071_thumb.jpg
73,p. 167,master/9246_0072.tif,web/9246_0072_web.jpg,thumb/9246_0072_thumb.jpg
74,p. 168,master/9246_0073.tif,web/9246_0073_web.jpg,thumb/9246_0073_thumb.jpg
75,p. 169,master/9246_0074.tif,web/9246_0074_web.jpg,thumb/9246_0074_thumb.jpg
76,p. 170,master/9246_0075.tif,web/9246_0075_web.jpg,thumb/9246_0075_thumb.jpg
77,p. 171,master/9246_0076.tif,web/9246_0076_web.jpg,thumb/9246_0076_thumb.jpg
78,p. 216,master/9246_0077.tif,web/9246_0077_web.jpg,thumb/9246_0077_thumb.jpg
79,p. 217,master/9246_0078.tif,web/9246_0078_web.jpg,thumb/9246_0078_thumb.jpg
80,p. 218,master/9246_0079.tif,web/9246_0079_web.jpg,thumb/9246_0079_thumb.jpg
81,p. 219,master/9246_0080.tif,web/9246_0080_web.jpg,thumb/9246_0080_thumb.jpg
82,p. 220,master/9246_0081.tif,web/9246_0081_web.jpg,thumb/9246_0081_thumb.jpg
83,p. 221,master/9246_0082.tif,web/9246_0082_web.jpg,thumb/9246_0082_thumb.jpg
84,p. 222,master/9246_0083.tif,web/9246_0083_web.jpg,thumb/9246_0083_thumb.jpg
85,p. 223,master/9246_0084.tif,web/9246_0084_web.jpg,thumb/9246_0084_thumb.jpg
86,p. 224,master/9246_0085.tif,web/9246_0085_web.jpg,thumb/9246_0085_thumb.jpg
87,p. 225,master/9246_0086.tif,web/9246_0086_web.jpg,thumb/9246_0086_thumb.jpg
88,p. 226,master/9246_0087.tif,web/9246_0087_web.jpg,thumb/9246_0087_thumb.jpg
89,p. 227,master/9246_0088.tif,web/9246_0088_web.jpg,thumb/9246_0088_thumb.jpg
90,p. 228,master/9246_0089.tif,web/9246_0089_web.jpg,thumb/9246_0089_thumb.jpg
91,p. 229,master/9246_0090.tif,web/9246_0090_web.jpg,thumb/9246_0090_thumb.jpg
92,p. 232,master/9246_0091.tif,web/9246_0091_web.jpg,thumb/9246_0091_thumb.jpg
93,p. 233,master/9246_0092.tif,web/9246_0092_web.jpg,thumb/9246_0092_thumb.jpg
94,p. 234,master/9246_0093.tif,web/9246_0093_web.jpg,thumb/9246_0093_thumb.jpg
95,p. 235,master/9246_0094.tif,web/9246_0094_web.jpg,thumb/9246_0094_thumb.jpg
96,p. 236,master/9246_0095.tif,web/9246_0095_web.jpg,thumb/9246_0095_thumb.jpg
97,p. 237,master/9246_0096.tif,web/9246_0096_web.jpg,thumb/9246_0096_thumb.jpg
98,p. 238,master/9246_0097.tif,web/9246_0097_web.jpg,thumb/9246_0097_thumb.jpg
99,p. 239,master/9246_0098.tif,web/9246_0098_web.jpg,thumb/9246_0098_thumb.jpg
100,p. 240,master/9246_0099.tif,web/9246_0099_web.jpg,thumb/9246_0099_thumb.jpg
101,p. 241,master/9246_0100.tif,web/9246_0100_web.jpg,thumb/9246_0100_thumb.jpg
102,p. 242,master/9246_0101.tif,web/9246_0101_web.jpg,thumb/9246_0101_thumb.jpg
103,p. 243,master/9246_0102.tif,web/9246_0102_web.jpg,thumb/9246_0102_thumb.jpg
104,p. 244,master/9246_0103.tif,web/9246_0103_web.jpg,thumb/9246_0103_thumb.jpg
105,p. 245,master/9246_0104.tif,web/9246_0104_web.jpg,thumb/9246_0104_thumb.jpg
106,p. 246,master/9246_0105.tif,web/9246_0105_web.jpg,thumb/9246_0105_thumb.jpg
107,p. 247,master/9246_0106.tif,web/9246_0106_web.jpg,thumb/9246_0106_thumb.jpg
108,p. 248,master/9246_0107.tif,web/9246_0107_web.jpg,thumb/9246_0107_thumb.jpg
109,p. 249,master/9246_0108.tif,web/9246_0108_web.jpg,thumb/9246_0108_thumb.jpg
110,p. 250,master/9246_0109.tif,web/9246_0109_web.jpg,thumb/9246_0109_thumb.jpg
