postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9566_0000.tif,web/9566_0000_web.jpg,thumb/9566_0000_thumb.jpg
2,Inside Back Cover,master/9566_0001.tif,web/9566_0001_web.jpg,thumb/9566_0001_thumb.jpg
3,Title recto,master/9566_0002.tif,web/9566_0002_web.jpg,thumb/9566_0002_thumb.jpg
4,p. 1,master/9566_0003.tif,web/9566_0003_web.jpg,thumb/9566_0003_thumb.jpg
5,p. 2,master/9566_0004.tif,web/9566_0004_web.jpg,thumb/9566_0004_thumb.jpg
6,p. 3,master/9566_0005.tif,web/9566_0005_web.jpg,thumb/9566_0005_thumb.jpg
7,p. 4,master/9566_0006.tif,web/9566_0006_web.jpg,thumb/9566_0006_thumb.jpg
8,p. 5,master/9566_0007.tif,web/9566_0007_web.jpg,thumb/9566_0007_thumb.jpg
9,p. 6,master/9566_0008.tif,web/9566_0008_web.jpg,thumb/9566_0008_thumb.jpg
10,p. 7,master/9566_0009.tif,web/9566_0009_web.jpg,thumb/9566_0009_thumb.jpg
11,p. 8,master/9566_0010.tif,web/9566_0010_web.jpg,thumb/9566_0010_thumb.jpg
12,p. 9,master/9566_0011.tif,web/9566_0011_web.jpg,thumb/9566_0011_thumb.jpg
13,p. 10,master/9566_0012.tif,web/9566_0012_web.jpg,thumb/9566_0012_thumb.jpg
14,p. 11,master/9566_0013.tif,web/9566_0013_web.jpg,thumb/9566_0013_thumb.jpg
15,p. 12,master/9566_0014.tif,web/9566_0014_web.jpg,thumb/9566_0014_thumb.jpg
16,p. 13,master/9566_0015.tif,web/9566_0015_web.jpg,thumb/9566_0015_thumb.jpg
17,p. 14,master/9566_0016.tif,web/9566_0016_web.jpg,thumb/9566_0016_thumb.jpg
18,p. 15,master/9566_0017.tif,web/9566_0017_web.jpg,thumb/9566_0017_thumb.jpg
19,p. 16,master/9566_0018.tif,web/9566_0018_web.jpg,thumb/9566_0018_thumb.jpg
20,p. 17,master/9566_0019.tif,web/9566_0019_web.jpg,thumb/9566_0019_thumb.jpg
21,p. 18,master/9566_0020.tif,web/9566_0020_web.jpg,thumb/9566_0020_thumb.jpg
22,p. 19,master/9566_0021.tif,web/9566_0021_web.jpg,thumb/9566_0021_thumb.jpg
23,p. 20,master/9566_0022.tif,web/9566_0022_web.jpg,thumb/9566_0022_thumb.jpg
24,p. 21,master/9566_0023.tif,web/9566_0023_web.jpg,thumb/9566_0023_thumb.jpg
25,p. 22,master/9566_0024.tif,web/9566_0024_web.jpg,thumb/9566_0024_thumb.jpg
26,p. 23,master/9566_0025.tif,web/9566_0025_web.jpg,thumb/9566_0025_thumb.jpg
27,p. 24,master/9566_0026.tif,web/9566_0026_web.jpg,thumb/9566_0026_thumb.jpg
28,p. 25,master/9566_0027.tif,web/9566_0027_web.jpg,thumb/9566_0027_thumb.jpg
29,p. 26,master/9566_0028.tif,web/9566_0028_web.jpg,thumb/9566_0028_thumb.jpg
30,p. 27,master/9566_0029.tif,web/9566_0029_web.jpg,thumb/9566_0029_thumb.jpg
31,p. 28,master/9566_0030.tif,web/9566_0030_web.jpg,thumb/9566_0030_thumb.jpg
32,p. 29,master/9566_0031.tif,web/9566_0031_web.jpg,thumb/9566_0031_thumb.jpg
33,p. 30,master/9566_0032.tif,web/9566_0032_web.jpg,thumb/9566_0032_thumb.jpg
34,p. 31,master/9566_0033.tif,web/9566_0033_web.jpg,thumb/9566_0033_thumb.jpg
35,p. 32,master/9566_0034.tif,web/9566_0034_web.jpg,thumb/9566_0034_thumb.jpg
36,p. 33,master/9566_0035.tif,web/9566_0035_web.jpg,thumb/9566_0035_thumb.jpg
37,p. 34,master/9566_0036.tif,web/9566_0036_web.jpg,thumb/9566_0036_thumb.jpg
38,p. 35,master/9566_0037.tif,web/9566_0037_web.jpg,thumb/9566_0037_thumb.jpg
39,p. 36,master/9566_0038.tif,web/9566_0038_web.jpg,thumb/9566_0038_thumb.jpg
40,p. 37,master/9566_0039.tif,web/9566_0039_web.jpg,thumb/9566_0039_thumb.jpg
41,p. 38,master/9566_0040.tif,web/9566_0040_web.jpg,thumb/9566_0040_thumb.jpg
42,p. 39,master/9566_0041.tif,web/9566_0041_web.jpg,thumb/9566_0041_thumb.jpg
43,p. 40,master/9566_0042.tif,web/9566_0042_web.jpg,thumb/9566_0042_thumb.jpg
44,Flyleaf 1 verso,master/9566_0043.tif,web/9566_0043_web.jpg,thumb/9566_0043_thumb.jpg
45,Inside Back Cover,master/9566_0044.tif,web/9566_0044_web.jpg,thumb/9566_0044_thumb.jpg
46,Back Cover,master/9566_0045.tif,web/9566_0045_web.jpg,thumb/9566_0045_thumb.jpg
