postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9570_0000.tif,web/9570_0000_web.jpg,thumb/9570_0000_thumb.jpg
2,A,master/9570_0001.tif,web/9570_0001_web.jpg,thumb/9570_0001_thumb.jpg
3,B,master/9570_0002.tif,web/9570_0002_web.jpg,thumb/9570_0002_thumb.jpg
4,C,master/9570_0003.tif,web/9570_0003_web.jpg,thumb/9570_0003_thumb.jpg
5,D,master/9570_0004.tif,web/9570_0004_web.jpg,thumb/9570_0004_thumb.jpg
6,E,master/9570_0005.tif,web/9570_0005_web.jpg,thumb/9570_0005_thumb.jpg
7,F,master/9570_0006.tif,web/9570_0006_web.jpg,thumb/9570_0006_thumb.jpg
8,G,master/9570_0007.tif,web/9570_0007_web.jpg,thumb/9570_0007_thumb.jpg
9,H,master/9570_0008.tif,web/9570_0008_web.jpg,thumb/9570_0008_thumb.jpg
10,J,master/9570_0009.tif,web/9570_0009_web.jpg,thumb/9570_0009_thumb.jpg
11,K,master/9570_0010.tif,web/9570_0010_web.jpg,thumb/9570_0010_thumb.jpg
12,L,master/9570_0011.tif,web/9570_0011_web.jpg,thumb/9570_0011_thumb.jpg
13,M,master/9570_0012.tif,web/9570_0012_web.jpg,thumb/9570_0012_thumb.jpg
14,Mc,master/9570_0013.tif,web/9570_0013_web.jpg,thumb/9570_0013_thumb.jpg
15,N,master/9570_0014.tif,web/9570_0014_web.jpg,thumb/9570_0014_thumb.jpg
16,O,master/9570_0015.tif,web/9570_0015_web.jpg,thumb/9570_0015_thumb.jpg
17,P,master/9570_0016.tif,web/9570_0016_web.jpg,thumb/9570_0016_thumb.jpg
18,Q,master/9570_0017.tif,web/9570_0017_web.jpg,thumb/9570_0017_thumb.jpg
19,R,master/9570_0018.tif,web/9570_0018_web.jpg,thumb/9570_0018_thumb.jpg
20,S,master/9570_0019.tif,web/9570_0019_web.jpg,thumb/9570_0019_thumb.jpg
21,T,master/9570_0020.tif,web/9570_0020_web.jpg,thumb/9570_0020_thumb.jpg
22,U,master/9570_0021.tif,web/9570_0021_web.jpg,thumb/9570_0021_thumb.jpg
23,W,master/9570_0022.tif,web/9570_0022_web.jpg,thumb/9570_0022_thumb.jpg
24,Y,master/9570_0023.tif,web/9570_0023_web.jpg,thumb/9570_0023_thumb.jpg
25,Z,master/9570_0024.tif,web/9570_0024_web.jpg,thumb/9570_0024_thumb.jpg
26,Back Cover,master/9570_0025.tif,web/9570_0025_web.jpg,thumb/9570_0025_thumb.jpg
27,Loose Recto,master/9570_0026.tif,web/9570_0026_web.jpg,thumb/9570_0026_thumb.jpg
28,Loose Verso,master/9570_0027.tif,web/9570_0027_web.jpg,thumb/9570_0027_thumb.jpg
