postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Item1 Recto,master/9577_0000.tif,web/9577_0000_web.jpg,thumb/9577_0000_thumb.jpg
2,Item1 Verso,master/9577_0001.tif,web/9577_0001_web.jpg,thumb/9577_0001_thumb.jpg
3,Item2 Recto,master/9577_0002.tif,web/9577_0002_web.jpg,thumb/9577_0002_thumb.jpg
4,Item2 Verso,master/9577_0003.tif,web/9577_0003_web.jpg,thumb/9577_0003_thumb.jpg
5,Item3p1,master/9577_0004.tif,web/9577_0004_web.jpg,thumb/9577_0004_thumb.jpg
6,Item3p2,master/9577_0005.tif,web/9577_0005_web.jpg,thumb/9577_0005_thumb.jpg
7,Item3p3,master/9577_0006.tif,web/9577_0006_web.jpg,thumb/9577_0006_thumb.jpg
8,Item3p4,master/9577_0007.tif,web/9577_0007_web.jpg,thumb/9577_0007_thumb.jpg
9,Item4p1,master/9577_0008.tif,web/9577_0008_web.jpg,thumb/9577_0008_thumb.jpg
10,Item4p2,master/9577_0009.tif,web/9577_0009_web.jpg,thumb/9577_0009_thumb.jpg
11,Item4p3,master/9577_0010.tif,web/9577_0010_web.jpg,thumb/9577_0010_thumb.jpg
12,Item4p4,master/9577_0011.tif,web/9577_0011_web.jpg,thumb/9577_0011_thumb.jpg
13,Item5 Recto,master/9577_0012.tif,web/9577_0012_web.jpg,thumb/9577_0012_thumb.jpg
14,Item5 Verso,master/9577_0013.tif,web/9577_0013_web.jpg,thumb/9577_0013_thumb.jpg
15,Item6 Recto,master/9577_0014.tif,web/9577_0014_web.jpg,thumb/9577_0014_thumb.jpg
16,Item6 Verso,master/9577_0015.tif,web/9577_0015_web.jpg,thumb/9577_0015_thumb.jpg
17,Item7 Recto,master/9577_0016.tif,web/9577_0016_web.jpg,thumb/9577_0016_thumb.jpg
18,Item7 Verso,master/9577_0017.tif,web/9577_0017_web.jpg,thumb/9577_0017_thumb.jpg
19,Item8 Recto,master/9577_0018.tif,web/9577_0018_web.jpg,thumb/9577_0018_thumb.jpg
20,Item8 Verso,master/9577_0019.tif,web/9577_0019_web.jpg,thumb/9577_0019_thumb.jpg
21,Item9p1,master/9577_0020.tif,web/9577_0020_web.jpg,thumb/9577_0020_thumb.jpg
22,Item9p2,master/9577_0021.tif,web/9577_0021_web.jpg,thumb/9577_0021_thumb.jpg
23,Item9p3,master/9577_0022.tif,web/9577_0022_web.jpg,thumb/9577_0022_thumb.jpg
24,Item9p4,master/9577_0023.tif,web/9577_0023_web.jpg,thumb/9577_0023_thumb.jpg
25,Item10p1,master/9577_0024.tif,web/9577_0024_web.jpg,thumb/9577_0024_thumb.jpg
26,Item10p2,master/9577_0025.tif,web/9577_0025_web.jpg,thumb/9577_0025_thumb.jpg
27,Item10p3,master/9577_0026.tif,web/9577_0026_web.jpg,thumb/9577_0026_thumb.jpg
28,Item10p4,master/9577_0027.tif,web/9577_0027_web.jpg,thumb/9577_0027_thumb.jpg
29,Item11p1,master/9577_0028.tif,web/9577_0028_web.jpg,thumb/9577_0028_thumb.jpg
30,Item11p2,master/9577_0029.tif,web/9577_0029_web.jpg,thumb/9577_0029_thumb.jpg
31,Item11p3,master/9577_0030.tif,web/9577_0030_web.jpg,thumb/9577_0030_thumb.jpg
32,Item11p4,master/9577_0031.tif,web/9577_0031_web.jpg,thumb/9577_0031_thumb.jpg
33,Item12p1,master/9577_0032.tif,web/9577_0032_web.jpg,thumb/9577_0032_thumb.jpg
34,Item12p2,master/9577_0033.tif,web/9577_0033_web.jpg,thumb/9577_0033_thumb.jpg
35,Item12p3,master/9577_0034.tif,web/9577_0034_web.jpg,thumb/9577_0034_thumb.jpg
36,Item12p4,master/9577_0035.tif,web/9577_0035_web.jpg,thumb/9577_0035_thumb.jpg
