postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Item1p1,master/9603_0000.tif,web/9603_0000_web.jpg,thumb/9603_0000_thumb.jpg
2,Item1p2,master/9603_0001.tif,web/9603_0001_web.jpg,thumb/9603_0001_thumb.jpg
3,Item1p3,master/9603_0002.tif,web/9603_0002_web.jpg,thumb/9603_0002_thumb.jpg
4,Item1p4,master/9603_0003.tif,web/9603_0003_web.jpg,thumb/9603_0003_thumb.jpg
5,Item2 Recto,master/9603_0004.tif,web/9603_0004_web.jpg,thumb/9603_0004_thumb.jpg
6,Item2 Verso,master/9603_0005.tif,web/9603_0005_web.jpg,thumb/9603_0005_thumb.jpg
7,Item3 Recto,master/9603_0006.tif,web/9603_0006_web.jpg,thumb/9603_0006_thumb.jpg
8,Item3 Verso,master/9603_0007.tif,web/9603_0007_web.jpg,thumb/9603_0007_thumb.jpg
9,Item4p1,master/9603_0008.tif,web/9603_0008_web.jpg,thumb/9603_0008_thumb.jpg
10,Item4p2,master/9603_0009.tif,web/9603_0009_web.jpg,thumb/9603_0009_thumb.jpg
11,Item4p3,master/9603_0010.tif,web/9603_0010_web.jpg,thumb/9603_0010_thumb.jpg
12,Item4p4,master/9603_0011.tif,web/9603_0011_web.jpg,thumb/9603_0011_thumb.jpg
13,Item5 Recto,master/9603_0012.tif,web/9603_0012_web.jpg,thumb/9603_0012_thumb.jpg
14,Item5 Verso,master/9603_0013.tif,web/9603_0013_web.jpg,thumb/9603_0013_thumb.jpg
15,Item6 Recto,master/9603_0014.tif,web/9603_0014_web.jpg,thumb/9603_0014_thumb.jpg
16,Item6 Verso,master/9603_0015.tif,web/9603_0015_web.jpg,thumb/9603_0015_thumb.jpg
17,Item7 Recto,master/9603_0016.tif,web/9603_0016_web.jpg,thumb/9603_0016_thumb.jpg
18,Item7 Verso,master/9603_0017.tif,web/9603_0017_web.jpg,thumb/9603_0017_thumb.jpg
19,Item8 Recto,master/9603_0018.tif,web/9603_0018_web.jpg,thumb/9603_0018_thumb.jpg
20,Item8 Verso,master/9603_0019.tif,web/9603_0019_web.jpg,thumb/9603_0019_thumb.jpg
21,Item9 Recto,master/9603_0020.tif,web/9603_0020_web.jpg,thumb/9603_0020_thumb.jpg
22,Item9 Verso,master/9603_0021.tif,web/9603_0021_web.jpg,thumb/9603_0021_thumb.jpg
23,Item10p1,master/9603_0022.tif,web/9603_0022_web.jpg,thumb/9603_0022_thumb.jpg
24,Item10p2,master/9603_0023.tif,web/9603_0023_web.jpg,thumb/9603_0023_thumb.jpg
25,Item10p3,master/9603_0024.tif,web/9603_0024_web.jpg,thumb/9603_0024_thumb.jpg
26,Item10p4,master/9603_0025.tif,web/9603_0025_web.jpg,thumb/9603_0025_thumb.jpg
27,Item11p1,master/9603_0026.tif,web/9603_0026_web.jpg,thumb/9603_0026_thumb.jpg
28,Item11p2,master/9603_0027.tif,web/9603_0027_web.jpg,thumb/9603_0027_thumb.jpg
29,Item11p3,master/9603_0028.tif,web/9603_0028_web.jpg,thumb/9603_0028_thumb.jpg
30,Item11p4,master/9603_0029.tif,web/9603_0029_web.jpg,thumb/9603_0029_thumb.jpg
31,Item12 Recto,master/9603_0030.tif,web/9603_0030_web.jpg,thumb/9603_0030_thumb.jpg
32,Item12 Verso,master/9603_0031.tif,web/9603_0031_web.jpg,thumb/9603_0031_thumb.jpg
33,Item13p1,master/9603_0032.tif,web/9603_0032_web.jpg,thumb/9603_0032_thumb.jpg
34,Item13p2,master/9603_0033.tif,web/9603_0033_web.jpg,thumb/9603_0033_thumb.jpg
35,Item13p3,master/9603_0034.tif,web/9603_0034_web.jpg,thumb/9603_0034_thumb.jpg
36,Item13p4,master/9603_0035.tif,web/9603_0035_web.jpg,thumb/9603_0035_thumb.jpg
37,Item14 Recto,master/9603_0036.tif,web/9603_0036_web.jpg,thumb/9603_0036_thumb.jpg
38,Item14 Verso,master/9603_0037.tif,web/9603_0037_web.jpg,thumb/9603_0037_thumb.jpg
39,Item15 Recto,master/9603_0038.tif,web/9603_0038_web.jpg,thumb/9603_0038_thumb.jpg
40,Item15 Verso,master/9603_0039.tif,web/9603_0039_web.jpg,thumb/9603_0039_thumb.jpg
41,Item16 Recto,master/9603_0040.tif,web/9603_0040_web.jpg,thumb/9603_0040_thumb.jpg
42,Item16 Verso,master/9603_0041.tif,web/9603_0041_web.jpg,thumb/9603_0041_thumb.jpg
