postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Item1 Recto,master/9588_0000.tif,web/9588_0000_web.jpg,thumb/9588_0000_thumb.jpg
2,Item1 Verso,master/9588_0001.tif,web/9588_0001_web.jpg,thumb/9588_0001_thumb.jpg
3,Item2p1,master/9588_0002.tif,web/9588_0002_web.jpg,thumb/9588_0002_thumb.jpg
4,Item2p2,master/9588_0003.tif,web/9588_0003_web.jpg,thumb/9588_0003_thumb.jpg
5,Item2p3,master/9588_0004.tif,web/9588_0004_web.jpg,thumb/9588_0004_thumb.jpg
6,Item2p4,master/9588_0005.tif,web/9588_0005_web.jpg,thumb/9588_0005_thumb.jpg
7,Item3p1,master/9588_0006.tif,web/9588_0006_web.jpg,thumb/9588_0006_thumb.jpg
8,Item3p2,master/9588_0007.tif,web/9588_0007_web.jpg,thumb/9588_0007_thumb.jpg
9,Item3p3,master/9588_0008.tif,web/9588_0008_web.jpg,thumb/9588_0008_thumb.jpg
10,Item3p4,master/9588_0009.tif,web/9588_0009_web.jpg,thumb/9588_0009_thumb.jpg
11,Item4p1,master/9588_0010.tif,web/9588_0010_web.jpg,thumb/9588_0010_thumb.jpg
12,Item4p2,master/9588_0011.tif,web/9588_0011_web.jpg,thumb/9588_0011_thumb.jpg
13,Item4p3,master/9588_0012.tif,web/9588_0012_web.jpg,thumb/9588_0012_thumb.jpg
14,Item4p4,master/9588_0013.tif,web/9588_0013_web.jpg,thumb/9588_0013_thumb.jpg
15,Item5p1,master/9588_0014.tif,web/9588_0014_web.jpg,thumb/9588_0014_thumb.jpg
16,Item5p2,master/9588_0015.tif,web/9588_0015_web.jpg,thumb/9588_0015_thumb.jpg
17,Item5p3,master/9588_0016.tif,web/9588_0016_web.jpg,thumb/9588_0016_thumb.jpg
18,Item5p4,master/9588_0017.tif,web/9588_0017_web.jpg,thumb/9588_0017_thumb.jpg
19,Item6 Recto,master/9588_0018.tif,web/9588_0018_web.jpg,thumb/9588_0018_thumb.jpg
20,Item6 Verso,master/9588_0019.tif,web/9588_0019_web.jpg,thumb/9588_0019_thumb.jpg
21,Item7,master/9588_0020.tif,web/9588_0020_web.jpg,thumb/9588_0020_thumb.jpg
22,Item8,master/9588_0021.tif,web/9588_0021_web.jpg,thumb/9588_0021_thumb.jpg
23,Item9p1,master/9588_0022.tif,web/9588_0022_web.jpg,thumb/9588_0022_thumb.jpg
24,Item9p2,master/9588_0023.tif,web/9588_0023_web.jpg,thumb/9588_0023_thumb.jpg
25,Item9p3,master/9588_0024.tif,web/9588_0024_web.jpg,thumb/9588_0024_thumb.jpg
26,Item9p4,master/9588_0025.tif,web/9588_0025_web.jpg,thumb/9588_0025_thumb.jpg
27,Item10 Recto,master/9588_0026.tif,web/9588_0026_web.jpg,thumb/9588_0026_thumb.jpg
28,Item10 Verso,master/9588_0027.tif,web/9588_0027_web.jpg,thumb/9588_0027_thumb.jpg
29,Item11 Recto,master/9588_0028.tif,web/9588_0028_web.jpg,thumb/9588_0028_thumb.jpg
30,Item11 Verso,master/9588_0029.tif,web/9588_0029_web.jpg,thumb/9588_0029_thumb.jpg
31,Item12 Recto,master/9588_0030.tif,web/9588_0030_web.jpg,thumb/9588_0030_thumb.jpg
32,Item13 Verso,master/9588_0031.tif,web/9588_0031_web.jpg,thumb/9588_0031_thumb.jpg
33,Item14p1,master/9588_0032.tif,web/9588_0032_web.jpg,thumb/9588_0032_thumb.jpg
34,Item14p2,master/9588_0033.tif,web/9588_0033_web.jpg,thumb/9588_0033_thumb.jpg
35,Item14p3,master/9588_0034.tif,web/9588_0034_web.jpg,thumb/9588_0034_thumb.jpg
36,Item14p4,master/9588_0035.tif,web/9588_0035_web.jpg,thumb/9588_0035_thumb.jpg
37,Item14p5,master/9588_0036.tif,web/9588_0036_web.jpg,thumb/9588_0036_thumb.jpg
38,Item14p6,master/9588_0037.tif,web/9588_0037_web.jpg,thumb/9588_0037_thumb.jpg
39,Item15p1,master/9588_0038.tif,web/9588_0038_web.jpg,thumb/9588_0038_thumb.jpg
40,Item15p2,master/9588_0039.tif,web/9588_0039_web.jpg,thumb/9588_0039_thumb.jpg
41,Item15p3,master/9588_0040.tif,web/9588_0040_web.jpg,thumb/9588_0040_thumb.jpg
42,Item15p4,master/9588_0041.tif,web/9588_0041_web.jpg,thumb/9588_0041_thumb.jpg
43,Item16 Recto,master/9588_0042.tif,web/9588_0042_web.jpg,thumb/9588_0042_thumb.jpg
44,Item16 Verso,master/9588_0043.tif,web/9588_0043_web.jpg,thumb/9588_0043_thumb.jpg
45,Item17p1,master/9588_0044.tif,web/9588_0044_web.jpg,thumb/9588_0044_thumb.jpg
46,Item17p2,master/9588_0045.tif,web/9588_0045_web.jpg,thumb/9588_0045_thumb.jpg
47,Item17p3,master/9588_0046.tif,web/9588_0046_web.jpg,thumb/9588_0046_thumb.jpg
48,Item17p4,master/9588_0047.tif,web/9588_0047_web.jpg,thumb/9588_0047_thumb.jpg
49,Item18 Recto,master/9588_0048.tif,web/9588_0048_web.jpg,thumb/9588_0048_thumb.jpg
50,Item18 Verso,master/9588_0049.tif,web/9588_0049_web.jpg,thumb/9588_0049_thumb.jpg
51,Item19 Recto,master/9588_0050.tif,web/9588_0050_web.jpg,thumb/9588_0050_thumb.jpg
52,Item19 Verso,master/9588_0051.tif,web/9588_0051_web.jpg,thumb/9588_0051_thumb.jpg
53,Item20,master/9588_0052.tif,web/9588_0052_web.jpg,thumb/9588_0052_thumb.jpg
