postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,p1recto,master/9600_0000.tif,web/9600_0000_web.jpg,thumb/9600_0000_thumb.jpg
2,p1 Verso,master/9600_0001.tif,web/9600_0001_web.jpg,thumb/9600_0001_thumb.jpg
3,p2 Recto,master/9600_0002.tif,web/9600_0002_web.jpg,thumb/9600_0002_thumb.jpg
4,p2 Verso,master/9600_0003.tif,web/9600_0003_web.jpg,thumb/9600_0003_thumb.jpg
5,p3 Recto,master/9600_0004.tif,web/9600_0004_web.jpg,thumb/9600_0004_thumb.jpg
6,p3 Verso,master/9600_0005.tif,web/9600_0005_web.jpg,thumb/9600_0005_thumb.jpg
7,p4 Recto,master/9600_0006.tif,web/9600_0006_web.jpg,thumb/9600_0006_thumb.jpg
8,p4 Verso,master/9600_0007.tif,web/9600_0007_web.jpg,thumb/9600_0007_thumb.jpg
9,p5 Recto,master/9600_0008.tif,web/9600_0008_web.jpg,thumb/9600_0008_thumb.jpg
10,p5 Verso,master/9600_0009.tif,web/9600_0009_web.jpg,thumb/9600_0009_thumb.jpg
11,p6Recto,master/9600_0010.tif,web/9600_0010_web.jpg,thumb/9600_0010_thumb.jpg
12,p7Recto,master/9600_0011.tif,web/9600_0011_web.jpg,thumb/9600_0011_thumb.jpg
13,p7Verso,master/9600_0012.tif,web/9600_0012_web.jpg,thumb/9600_0012_thumb.jpg
