postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Item1p1,master/9601_0000.tif,web/9601_0000_web.jpg,thumb/9601_0000_thumb.jpg
2,Item1p2,master/9601_0001.tif,web/9601_0001_web.jpg,thumb/9601_0001_thumb.jpg
3,Item1p3,master/9601_0002.tif,web/9601_0002_web.jpg,thumb/9601_0002_thumb.jpg
4,Item1p4,master/9601_0003.tif,web/9601_0003_web.jpg,thumb/9601_0003_thumb.jpg
5,Item2p1,master/9601_0004.tif,web/9601_0004_web.jpg,thumb/9601_0004_thumb.jpg
6,Item2p2,master/9601_0005.tif,web/9601_0005_web.jpg,thumb/9601_0005_thumb.jpg
7,Item2p3,master/9601_0006.tif,web/9601_0006_web.jpg,thumb/9601_0006_thumb.jpg
8,Item2p4,master/9601_0007.tif,web/9601_0007_web.jpg,thumb/9601_0007_thumb.jpg
9,Item2p5,master/9601_0008.tif,web/9601_0008_web.jpg,thumb/9601_0008_thumb.jpg
10,Item2p6,master/9601_0009.tif,web/9601_0009_web.jpg,thumb/9601_0009_thumb.jpg
11,Item3 Recto,master/9601_0010.tif,web/9601_0010_web.jpg,thumb/9601_0010_thumb.jpg
12,Item3 Verso,master/9601_0011.tif,web/9601_0011_web.jpg,thumb/9601_0011_thumb.jpg
13,Item4 Recto,master/9601_0012.tif,web/9601_0012_web.jpg,thumb/9601_0012_thumb.jpg
14,Item4 Verso,master/9601_0013.tif,web/9601_0013_web.jpg,thumb/9601_0013_thumb.jpg
15,Item5 Recto,master/9601_0014.tif,web/9601_0014_web.jpg,thumb/9601_0014_thumb.jpg
16,Item5 Verso,master/9601_0015.tif,web/9601_0015_web.jpg,thumb/9601_0015_thumb.jpg
17,Item6p1,master/9601_0016.tif,web/9601_0016_web.jpg,thumb/9601_0016_thumb.jpg
18,Item6p2,master/9601_0017.tif,web/9601_0017_web.jpg,thumb/9601_0017_thumb.jpg
