postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/11949_0000.tif,web/11949_0000_web.jpg,thumb/11949_0000_thumb.jpg
2,p. 1,master/11949_0001.tif,web/11949_0001_web.jpg,thumb/11949_0001_thumb.jpg
3,p. 2,master/11949_0002.tif,web/11949_0002_web.jpg,thumb/11949_0002_thumb.jpg
4,p. 3,master/11949_0003.tif,web/11949_0003_web.jpg,thumb/11949_0003_thumb.jpg
5,p. 4,master/11949_0004.tif,web/11949_0004_web.jpg,thumb/11949_0004_thumb.jpg
6,p. 5,master/11949_0005.tif,web/11949_0005_web.jpg,thumb/11949_0005_thumb.jpg
7,p. 6,master/11949_0006.tif,web/11949_0006_web.jpg,thumb/11949_0006_thumb.jpg
8,p. 7,master/11949_0007.tif,web/11949_0007_web.jpg,thumb/11949_0007_thumb.jpg
9,p. 8,master/11949_0008.tif,web/11949_0008_web.jpg,thumb/11949_0008_thumb.jpg
10,p. 9,master/11949_0009.tif,web/11949_0009_web.jpg,thumb/11949_0009_thumb.jpg
11,p. 10,master/11949_0010.tif,web/11949_0010_web.jpg,thumb/11949_0010_thumb.jpg
12,Back Cover,master/11949_0011.tif,web/11949_0011_web.jpg,thumb/11949_0011_thumb.jpg
