postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/12141_0000.tif,web/12141_0000_web.jpg,thumb/12141_0000_thumb.jpg
2,Flyleaf 1r,master/12141_0001.tif,web/12141_0001_web.jpg,thumb/12141_0001_thumb.jpg
3,Flyleaf 1v,master/12141_0002.tif,web/12141_0002_web.jpg,thumb/12141_0002_thumb.jpg
4,Insert 1 p. 1,master/12141_0003.tif,web/12141_0003_web.jpg,thumb/12141_0003_thumb.jpg
5,Insert 1 p. 2,master/12141_0004.tif,web/12141_0004_web.jpg,thumb/12141_0004_thumb.jpg
6,Insert 1 p. 3,master/12141_0005.tif,web/12141_0005_web.jpg,thumb/12141_0005_thumb.jpg
7,Insert 1 p. 4,master/12141_0006.tif,web/12141_0006_web.jpg,thumb/12141_0006_thumb.jpg
8,Insert 1 p. 5,master/12141_0007.tif,web/12141_0007_web.jpg,thumb/12141_0007_thumb.jpg
9,Insert 1 p. 6,master/12141_0008.tif,web/12141_0008_web.jpg,thumb/12141_0008_thumb.jpg
10,Insert 1 p. 7,master/12141_0009.tif,web/12141_0009_web.jpg,thumb/12141_0009_thumb.jpg
11,Insert 1 p. 8,master/12141_0010.tif,web/12141_0010_web.jpg,thumb/12141_0010_thumb.jpg
12,Insert 1 p. 9,master/12141_0011.tif,web/12141_0011_web.jpg,thumb/12141_0011_thumb.jpg
13,Insert 1 p. 10,master/12141_0012.tif,web/12141_0012_web.jpg,thumb/12141_0012_thumb.jpg
14,Insert 1 p. 11,master/12141_0013.tif,web/12141_0013_web.jpg,thumb/12141_0013_thumb.jpg
15,Insert 1 p. 12,master/12141_0014.tif,web/12141_0014_web.jpg,thumb/12141_0014_thumb.jpg
16,Insert 1 p. 13,master/12141_0015.tif,web/12141_0015_web.jpg,thumb/12141_0015_thumb.jpg
17,Insert 1 p. 14,master/12141_0016.tif,web/12141_0016_web.jpg,thumb/12141_0016_thumb.jpg
18,Insert 1 p. 15,master/12141_0017.tif,web/12141_0017_web.jpg,thumb/12141_0017_thumb.jpg
19,Insert 1 p. 16,master/12141_0018.tif,web/12141_0018_web.jpg,thumb/12141_0018_thumb.jpg
20,Insert 1 p. 17,master/12141_0019.tif,web/12141_0019_web.jpg,thumb/12141_0019_thumb.jpg
21,Insert 1 p. 18,master/12141_0020.tif,web/12141_0020_web.jpg,thumb/12141_0020_thumb.jpg
22,Insert 1 p. 19,master/12141_0021.tif,web/12141_0021_web.jpg,thumb/12141_0021_thumb.jpg
23,Insert 1 p. 20,master/12141_0022.tif,web/12141_0022_web.jpg,thumb/12141_0022_thumb.jpg
24,Flyleaf 2r,master/12141_0023.tif,web/12141_0023_web.jpg,thumb/12141_0023_thumb.jpg
25,Flyleaf 2v,master/12141_0024.tif,web/12141_0024_web.jpg,thumb/12141_0024_thumb.jpg
26,Insert 2,master/12141_0025.tif,web/12141_0025_web.jpg,thumb/12141_0025_thumb.jpg
27,Insert 3,master/12141_0026.tif,web/12141_0026_web.jpg,thumb/12141_0026_thumb.jpg
28,Insert 4,master/12141_0027.tif,web/12141_0027_web.jpg,thumb/12141_0027_thumb.jpg
29,Flyleaf 3,master/12141_0028.tif,web/12141_0028_web.jpg,thumb/12141_0028_thumb.jpg
30,p. 265,master/12141_0029.tif,web/12141_0029_web.jpg,thumb/12141_0029_thumb.jpg
31,p. 266,master/12141_0030.tif,web/12141_0030_web.jpg,thumb/12141_0030_thumb.jpg
32,p. 267,master/12141_0031.tif,web/12141_0031_web.jpg,thumb/12141_0031_thumb.jpg
33,p. 268,master/12141_0032.tif,web/12141_0032_web.jpg,thumb/12141_0032_thumb.jpg
34,p. 269,master/12141_0033.tif,web/12141_0033_web.jpg,thumb/12141_0033_thumb.jpg
35,p. 270,master/12141_0034.tif,web/12141_0034_web.jpg,thumb/12141_0034_thumb.jpg
36,p. 271,master/12141_0035.tif,web/12141_0035_web.jpg,thumb/12141_0035_thumb.jpg
37,p. 272,master/12141_0036.tif,web/12141_0036_web.jpg,thumb/12141_0036_thumb.jpg
38,p. 273,master/12141_0037.tif,web/12141_0037_web.jpg,thumb/12141_0037_thumb.jpg
39,p. 274,master/12141_0038.tif,web/12141_0038_web.jpg,thumb/12141_0038_thumb.jpg
40,p. 275,master/12141_0039.tif,web/12141_0039_web.jpg,thumb/12141_0039_thumb.jpg
41,p. 276,master/12141_0040.tif,web/12141_0040_web.jpg,thumb/12141_0040_thumb.jpg
42,p. 277,master/12141_0041.tif,web/12141_0041_web.jpg,thumb/12141_0041_thumb.jpg
43,p. 278,master/12141_0042.tif,web/12141_0042_web.jpg,thumb/12141_0042_thumb.jpg
44,p. 279,master/12141_0043.tif,web/12141_0043_web.jpg,thumb/12141_0043_thumb.jpg
45,p. 280,master/12141_0044.tif,web/12141_0044_web.jpg,thumb/12141_0044_thumb.jpg
46,Flyleaf 4,master/12141_0045.tif,web/12141_0045_web.jpg,thumb/12141_0045_thumb.jpg
47,Loose 1r,master/12141_0046.tif,web/12141_0046_web.jpg,thumb/12141_0046_thumb.jpg
48,Loose 1v,master/12141_0047.tif,web/12141_0047_web.jpg,thumb/12141_0047_thumb.jpg
49,Loose 2,master/12141_0048.tif,web/12141_0048_web.jpg,thumb/12141_0048_thumb.jpg
50,Back cover,master/12141_0049.tif,web/12141_0049_web.jpg,thumb/12141_0049_thumb.jpg
51,Color card,master/12141_0050.tif,web/12141_0050_web.jpg,thumb/12141_0050_thumb.jpg
