postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12142_0000.tif,web/12142_0000_web.jpg,thumb/12142_0000_thumb.jpg
2,Inside front cover,master/12142_0001.tif,web/12142_0001_web.jpg,thumb/12142_0001_thumb.jpg
3,Flyleaf 1r,master/12142_0002.tif,web/12142_0002_web.jpg,thumb/12142_0002_thumb.jpg
4,Flyleaf 1v,master/12142_0003.tif,web/12142_0003_web.jpg,thumb/12142_0003_thumb.jpg
5,p. 1r,master/12142_0004.tif,web/12142_0004_web.jpg,thumb/12142_0004_thumb.jpg
6,p. 1v,master/12142_0005.tif,web/12142_0005_web.jpg,thumb/12142_0005_thumb.jpg
7,p. 2r,master/12142_0006.tif,web/12142_0006_web.jpg,thumb/12142_0006_thumb.jpg
8,p. 2v,master/12142_0007.tif,web/12142_0007_web.jpg,thumb/12142_0007_thumb.jpg
9,p. 3r,master/12142_0008.tif,web/12142_0008_web.jpg,thumb/12142_0008_thumb.jpg
10,p. 3v,master/12142_0009.tif,web/12142_0009_web.jpg,thumb/12142_0009_thumb.jpg
11,p. 4r,master/12142_0010.tif,web/12142_0010_web.jpg,thumb/12142_0010_thumb.jpg
12,p. 4v,master/12142_0011.tif,web/12142_0011_web.jpg,thumb/12142_0011_thumb.jpg
13,p. 5r,master/12142_0012.tif,web/12142_0012_web.jpg,thumb/12142_0012_thumb.jpg
14,p. 5v,master/12142_0013.tif,web/12142_0013_web.jpg,thumb/12142_0013_thumb.jpg
15,p. 6r,master/12142_0014.tif,web/12142_0014_web.jpg,thumb/12142_0014_thumb.jpg
16,p. 6v,master/12142_0015.tif,web/12142_0015_web.jpg,thumb/12142_0015_thumb.jpg
17,p. 7r,master/12142_0016.tif,web/12142_0016_web.jpg,thumb/12142_0016_thumb.jpg
18,p. 7v,master/12142_0017.tif,web/12142_0017_web.jpg,thumb/12142_0017_thumb.jpg
19,p. 8r,master/12142_0018.tif,web/12142_0018_web.jpg,thumb/12142_0018_thumb.jpg
20,p. 8v,master/12142_0019.tif,web/12142_0019_web.jpg,thumb/12142_0019_thumb.jpg
21,p. 9r,master/12142_0020.tif,web/12142_0020_web.jpg,thumb/12142_0020_thumb.jpg
22,p. 9v,master/12142_0021.tif,web/12142_0021_web.jpg,thumb/12142_0021_thumb.jpg
23,p. 10r,master/12142_0022.tif,web/12142_0022_web.jpg,thumb/12142_0022_thumb.jpg
24,p. 10v,master/12142_0023.tif,web/12142_0023_web.jpg,thumb/12142_0023_thumb.jpg
25,p. 11r,master/12142_0024.tif,web/12142_0024_web.jpg,thumb/12142_0024_thumb.jpg
26,p. 11v,master/12142_0025.tif,web/12142_0025_web.jpg,thumb/12142_0025_thumb.jpg
27,p. 12r,master/12142_0026.tif,web/12142_0026_web.jpg,thumb/12142_0026_thumb.jpg
28,p. 12v,master/12142_0027.tif,web/12142_0027_web.jpg,thumb/12142_0027_thumb.jpg
29,p. 13r,master/12142_0028.tif,web/12142_0028_web.jpg,thumb/12142_0028_thumb.jpg
30,p. 13v,master/12142_0029.tif,web/12142_0029_web.jpg,thumb/12142_0029_thumb.jpg
31,p. 14r,master/12142_0030.tif,web/12142_0030_web.jpg,thumb/12142_0030_thumb.jpg
32,p. 14v,master/12142_0031.tif,web/12142_0031_web.jpg,thumb/12142_0031_thumb.jpg
33,p. 15r,master/12142_0032.tif,web/12142_0032_web.jpg,thumb/12142_0032_thumb.jpg
34,p. 15v,master/12142_0033.tif,web/12142_0033_web.jpg,thumb/12142_0033_thumb.jpg
35,p. 16r,master/12142_0034.tif,web/12142_0034_web.jpg,thumb/12142_0034_thumb.jpg
36,p. 16v,master/12142_0035.tif,web/12142_0035_web.jpg,thumb/12142_0035_thumb.jpg
37,p. 17r,master/12142_0036.tif,web/12142_0036_web.jpg,thumb/12142_0036_thumb.jpg
38,p. 17v,master/12142_0037.tif,web/12142_0037_web.jpg,thumb/12142_0037_thumb.jpg
39,p. 18r,master/12142_0038.tif,web/12142_0038_web.jpg,thumb/12142_0038_thumb.jpg
40,p. 18v,master/12142_0039.tif,web/12142_0039_web.jpg,thumb/12142_0039_thumb.jpg
41,p. 19r,master/12142_0040.tif,web/12142_0040_web.jpg,thumb/12142_0040_thumb.jpg
42,p. 19v,master/12142_0041.tif,web/12142_0041_web.jpg,thumb/12142_0041_thumb.jpg
43,p. 20r,master/12142_0042.tif,web/12142_0042_web.jpg,thumb/12142_0042_thumb.jpg
44,p. 20v,master/12142_0043.tif,web/12142_0043_web.jpg,thumb/12142_0043_thumb.jpg
45,p. 21r,master/12142_0044.tif,web/12142_0044_web.jpg,thumb/12142_0044_thumb.jpg
46,p. 21v,master/12142_0045.tif,web/12142_0045_web.jpg,thumb/12142_0045_thumb.jpg
47,p. 22r,master/12142_0046.tif,web/12142_0046_web.jpg,thumb/12142_0046_thumb.jpg
48,p. 22v,master/12142_0047.tif,web/12142_0047_web.jpg,thumb/12142_0047_thumb.jpg
49,p. 23r,master/12142_0048.tif,web/12142_0048_web.jpg,thumb/12142_0048_thumb.jpg
50,p. 23v,master/12142_0049.tif,web/12142_0049_web.jpg,thumb/12142_0049_thumb.jpg
51,p. 24r,master/12142_0050.tif,web/12142_0050_web.jpg,thumb/12142_0050_thumb.jpg
52,p. 24v,master/12142_0051.tif,web/12142_0051_web.jpg,thumb/12142_0051_thumb.jpg
53,p. 25r,master/12142_0052.tif,web/12142_0052_web.jpg,thumb/12142_0052_thumb.jpg
54,p. 25v,master/12142_0053.tif,web/12142_0053_web.jpg,thumb/12142_0053_thumb.jpg
55,p. 26r,master/12142_0054.tif,web/12142_0054_web.jpg,thumb/12142_0054_thumb.jpg
56,p. 26v,master/12142_0055.tif,web/12142_0055_web.jpg,thumb/12142_0055_thumb.jpg
57,p. 27r,master/12142_0056.tif,web/12142_0056_web.jpg,thumb/12142_0056_thumb.jpg
58,p. 27v,master/12142_0057.tif,web/12142_0057_web.jpg,thumb/12142_0057_thumb.jpg
59,p. 28r,master/12142_0058.tif,web/12142_0058_web.jpg,thumb/12142_0058_thumb.jpg
60,p. 28v,master/12142_0059.tif,web/12142_0059_web.jpg,thumb/12142_0059_thumb.jpg
61,p. 29r,master/12142_0060.tif,web/12142_0060_web.jpg,thumb/12142_0060_thumb.jpg
62,p. 29v,master/12142_0061.tif,web/12142_0061_web.jpg,thumb/12142_0061_thumb.jpg
63,p. 30r,master/12142_0062.tif,web/12142_0062_web.jpg,thumb/12142_0062_thumb.jpg
64,p. 30v,master/12142_0063.tif,web/12142_0063_web.jpg,thumb/12142_0063_thumb.jpg
65,p. 31r,master/12142_0064.tif,web/12142_0064_web.jpg,thumb/12142_0064_thumb.jpg
66,p. 31v,master/12142_0065.tif,web/12142_0065_web.jpg,thumb/12142_0065_thumb.jpg
67,p. 32r,master/12142_0066.tif,web/12142_0066_web.jpg,thumb/12142_0066_thumb.jpg
68,p. 32v,master/12142_0067.tif,web/12142_0067_web.jpg,thumb/12142_0067_thumb.jpg
69,p. 33r,master/12142_0068.tif,web/12142_0068_web.jpg,thumb/12142_0068_thumb.jpg
70,p. 33v,master/12142_0069.tif,web/12142_0069_web.jpg,thumb/12142_0069_thumb.jpg
71,p. 34r,master/12142_0070.tif,web/12142_0070_web.jpg,thumb/12142_0070_thumb.jpg
72,p. 34v,master/12142_0071.tif,web/12142_0071_web.jpg,thumb/12142_0071_thumb.jpg
73,p. 35r,master/12142_0072.tif,web/12142_0072_web.jpg,thumb/12142_0072_thumb.jpg
