postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12148_0000.tif,web/12148_0000_web.jpg,thumb/12148_0000_thumb.jpg
2,Inside front cover,master/12148_0001.tif,web/12148_0001_web.jpg,thumb/12148_0001_thumb.jpg
3,p. i,master/12148_0002.tif,web/12148_0002_web.jpg,thumb/12148_0002_thumb.jpg
4,p. 1a,master/12148_0003.tif,web/12148_0003_web.jpg,thumb/12148_0003_thumb.jpg
5,p. 1b,master/12148_0004.tif,web/12148_0004_web.jpg,thumb/12148_0004_thumb.jpg
6,p. 2a,master/12148_0005.tif,web/12148_0005_web.jpg,thumb/12148_0005_thumb.jpg
7,p. 2b,master/12148_0006.tif,web/12148_0006_web.jpg,thumb/12148_0006_thumb.jpg
8,p. 3a,master/12148_0007.tif,web/12148_0007_web.jpg,thumb/12148_0007_thumb.jpg
9,p. 3b,master/12148_0008.tif,web/12148_0008_web.jpg,thumb/12148_0008_thumb.jpg
10,p. 4a,master/12148_0009.tif,web/12148_0009_web.jpg,thumb/12148_0009_thumb.jpg
11,p. 4b,master/12148_0010.tif,web/12148_0010_web.jpg,thumb/12148_0010_thumb.jpg
12,p. 5a,master/12148_0011.tif,web/12148_0011_web.jpg,thumb/12148_0011_thumb.jpg
13,p. 5b,master/12148_0012.tif,web/12148_0012_web.jpg,thumb/12148_0012_thumb.jpg
14,p. 6a,master/12148_0013.tif,web/12148_0013_web.jpg,thumb/12148_0013_thumb.jpg
15,p. 6b,master/12148_0014.tif,web/12148_0014_web.jpg,thumb/12148_0014_thumb.jpg
16,p. 7a,master/12148_0015.tif,web/12148_0015_web.jpg,thumb/12148_0015_thumb.jpg
17,p. 7b,master/12148_0016.tif,web/12148_0016_web.jpg,thumb/12148_0016_thumb.jpg
18,p. 8a,master/12148_0017.tif,web/12148_0017_web.jpg,thumb/12148_0017_thumb.jpg
19,p. 8b,master/12148_0018.tif,web/12148_0018_web.jpg,thumb/12148_0018_thumb.jpg
20,p. 9a,master/12148_0019.tif,web/12148_0019_web.jpg,thumb/12148_0019_thumb.jpg
21,p. 9b,master/12148_0020.tif,web/12148_0020_web.jpg,thumb/12148_0020_thumb.jpg
22,p. 10a,master/12148_0021.tif,web/12148_0021_web.jpg,thumb/12148_0021_thumb.jpg
23,p. 10b,master/12148_0022.tif,web/12148_0022_web.jpg,thumb/12148_0022_thumb.jpg
24,p. 11a,master/12148_0023.tif,web/12148_0023_web.jpg,thumb/12148_0023_thumb.jpg
25,p. 11b,master/12148_0024.tif,web/12148_0024_web.jpg,thumb/12148_0024_thumb.jpg
26,p. 12a,master/12148_0025.tif,web/12148_0025_web.jpg,thumb/12148_0025_thumb.jpg
27,p. 12b,master/12148_0026.tif,web/12148_0026_web.jpg,thumb/12148_0026_thumb.jpg
28,p. 13a,master/12148_0027.tif,web/12148_0027_web.jpg,thumb/12148_0027_thumb.jpg
29,p. 13b,master/12148_0028.tif,web/12148_0028_web.jpg,thumb/12148_0028_thumb.jpg
30,p. 14a,master/12148_0029.tif,web/12148_0029_web.jpg,thumb/12148_0029_thumb.jpg
31,p. 14b,master/12148_0030.tif,web/12148_0030_web.jpg,thumb/12148_0030_thumb.jpg
32,p. 15a,master/12148_0031.tif,web/12148_0031_web.jpg,thumb/12148_0031_thumb.jpg
33,p. 15b,master/12148_0032.tif,web/12148_0032_web.jpg,thumb/12148_0032_thumb.jpg
34,p. 16a,master/12148_0033.tif,web/12148_0033_web.jpg,thumb/12148_0033_thumb.jpg
35,p. 16b,master/12148_0034.tif,web/12148_0034_web.jpg,thumb/12148_0034_thumb.jpg
36,p. 17a,master/12148_0035.tif,web/12148_0035_web.jpg,thumb/12148_0035_thumb.jpg
37,p. 17b,master/12148_0036.tif,web/12148_0036_web.jpg,thumb/12148_0036_thumb.jpg
38,p. 18a,master/12148_0037.tif,web/12148_0037_web.jpg,thumb/12148_0037_thumb.jpg
39,p. 18b,master/12148_0038.tif,web/12148_0038_web.jpg,thumb/12148_0038_thumb.jpg
40,p. 19a,master/12148_0039.tif,web/12148_0039_web.jpg,thumb/12148_0039_thumb.jpg
41,p. 19b,master/12148_0040.tif,web/12148_0040_web.jpg,thumb/12148_0040_thumb.jpg
42,p. 20a,master/12148_0041.tif,web/12148_0041_web.jpg,thumb/12148_0041_thumb.jpg
43,p. 20b,master/12148_0042.tif,web/12148_0042_web.jpg,thumb/12148_0042_thumb.jpg
