postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Sheet 1 recto,master/9425_0000.tif,web/9425_0000_web.jpg,thumb/9425_0000_thumb.jpg
2,Sheet 1 verso,master/9425_0001.tif,web/9425_0001_web.jpg,thumb/9425_0001_thumb.jpg
3,Sheet 2 recto,master/9425_0002.tif,web/9425_0002_web.jpg,thumb/9425_0002_thumb.jpg
4,Sheet 2 verso,master/9425_0003.tif,web/9425_0003_web.jpg,thumb/9425_0003_thumb.jpg
5,Sheet 3 recto,master/9425_0004.tif,web/9425_0004_web.jpg,thumb/9425_0004_thumb.jpg
6,Sheet 3 verso,master/9425_0005.tif,web/9425_0005_web.jpg,thumb/9425_0005_thumb.jpg
7,Sheet 4 recto,master/9425_0006.tif,web/9425_0006_web.jpg,thumb/9425_0006_thumb.jpg
8,Sheet 4 verso,master/9425_0007.tif,web/9425_0007_web.jpg,thumb/9425_0007_thumb.jpg
9,Sheet 5 recto,master/9425_0008.tif,web/9425_0008_web.jpg,thumb/9425_0008_thumb.jpg
10,Sheet 5 verso,master/9425_0009.tif,web/9425_0009_web.jpg,thumb/9425_0009_thumb.jpg
11,Sheet 6 recto,master/9425_0010.tif,web/9425_0010_web.jpg,thumb/9425_0010_thumb.jpg
12,Sheet 6 verso,master/9425_0011.tif,web/9425_0011_web.jpg,thumb/9425_0011_thumb.jpg
