postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9452_0000.tif,web/9452_0000_web.jpg,thumb/9452_0000_thumb.jpg
2,p. 1,master/9452_0001.tif,web/9452_0001_web.jpg,thumb/9452_0001_thumb.jpg
3,Note recto,master/9452_0002.tif,web/9452_0002_web.jpg,thumb/9452_0002_thumb.jpg
4,Note verso-p. 2,master/9452_0003.tif,web/9452_0003_web.jpg,thumb/9452_0003_thumb.jpg
5,p. 3-4,master/9452_0004.tif,web/9452_0004_web.jpg,thumb/9452_0004_thumb.jpg
6,p. 5-6,master/9452_0005.tif,web/9452_0005_web.jpg,thumb/9452_0005_thumb.jpg
7,p. 7-8,master/9452_0006.tif,web/9452_0006_web.jpg,thumb/9452_0006_thumb.jpg
8,p. 9-10,master/9452_0007.tif,web/9452_0007_web.jpg,thumb/9452_0007_thumb.jpg
9,p. 11-12,master/9452_0008.tif,web/9452_0008_web.jpg,thumb/9452_0008_thumb.jpg
10,p. 13-14,master/9452_0009.tif,web/9452_0009_web.jpg,thumb/9452_0009_thumb.jpg
11,p. 15-16,master/9452_0010.tif,web/9452_0010_web.jpg,thumb/9452_0010_thumb.jpg
12,p. 17-18,master/9452_0011.tif,web/9452_0011_web.jpg,thumb/9452_0011_thumb.jpg
13,p. 19-20,master/9452_0012.tif,web/9452_0012_web.jpg,thumb/9452_0012_thumb.jpg
14,p. 21-22,master/9452_0013.tif,web/9452_0013_web.jpg,thumb/9452_0013_thumb.jpg
15,p. 23-24,master/9452_0014.tif,web/9452_0014_web.jpg,thumb/9452_0014_thumb.jpg
16,p. 25-26,master/9452_0015.tif,web/9452_0015_web.jpg,thumb/9452_0015_thumb.jpg
17,p. 27-28,master/9452_0016.tif,web/9452_0016_web.jpg,thumb/9452_0016_thumb.jpg
18,p. 29,master/9452_0017.tif,web/9452_0017_web.jpg,thumb/9452_0017_thumb.jpg
19,p. 30-31,master/9452_0018.tif,web/9452_0018_web.jpg,thumb/9452_0018_thumb.jpg
20,p. 32-33,master/9452_0019.tif,web/9452_0019_web.jpg,thumb/9452_0019_thumb.jpg
21,p. 34-35,master/9452_0020.tif,web/9452_0020_web.jpg,thumb/9452_0020_thumb.jpg
22,p. 36-37,master/9452_0021.tif,web/9452_0021_web.jpg,thumb/9452_0021_thumb.jpg
