postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9469_0000.tif,web/9469_0000_web.jpg,thumb/9469_0000_thumb.jpg
2,p. 1-2,master/9469_0001.tif,web/9469_0001_web.jpg,thumb/9469_0001_thumb.jpg
3,p. 3-4,master/9469_0002.tif,web/9469_0002_web.jpg,thumb/9469_0002_thumb.jpg
4,p. 5-6,master/9469_0003.tif,web/9469_0003_web.jpg,thumb/9469_0003_thumb.jpg
5,p. 7-8,master/9469_0004.tif,web/9469_0004_web.jpg,thumb/9469_0004_thumb.jpg
6,p. 9-10,master/9469_0005.tif,web/9469_0005_web.jpg,thumb/9469_0005_thumb.jpg
7,p. 11-12,master/9469_0006.tif,web/9469_0006_web.jpg,thumb/9469_0006_thumb.jpg
8,p. 13-14,master/9469_0007.tif,web/9469_0007_web.jpg,thumb/9469_0007_thumb.jpg
9,p. 15-16,master/9469_0008.tif,web/9469_0008_web.jpg,thumb/9469_0008_thumb.jpg
10,p. 17-18,master/9469_0009.tif,web/9469_0009_web.jpg,thumb/9469_0009_thumb.jpg
11,p. 19-20,master/9469_0010.tif,web/9469_0010_web.jpg,thumb/9469_0010_thumb.jpg
12,p. 21-22,master/9469_0011.tif,web/9469_0011_web.jpg,thumb/9469_0011_thumb.jpg
13,p. 23-24,master/9469_0012.tif,web/9469_0012_web.jpg,thumb/9469_0012_thumb.jpg
14,p. 25-26,master/9469_0013.tif,web/9469_0013_web.jpg,thumb/9469_0013_thumb.jpg
15,p. 27-28,master/9469_0014.tif,web/9469_0014_web.jpg,thumb/9469_0014_thumb.jpg
16,p. 29-30,master/9469_0015.tif,web/9469_0015_web.jpg,thumb/9469_0015_thumb.jpg
17,p. 31-32,master/9469_0016.tif,web/9469_0016_web.jpg,thumb/9469_0016_thumb.jpg
18,p. 33-34,master/9469_0017.tif,web/9469_0017_web.jpg,thumb/9469_0017_thumb.jpg
19,p. 35-36,master/9469_0018.tif,web/9469_0018_web.jpg,thumb/9469_0018_thumb.jpg
20,p. 37-38,master/9469_0019.tif,web/9469_0019_web.jpg,thumb/9469_0019_thumb.jpg
21,p. 39-40,master/9469_0020.tif,web/9469_0020_web.jpg,thumb/9469_0020_thumb.jpg
22,p. 41-42,master/9469_0021.tif,web/9469_0021_web.jpg,thumb/9469_0021_thumb.jpg
23,p. 43-44,master/9469_0022.tif,web/9469_0022_web.jpg,thumb/9469_0022_thumb.jpg
24,p. 45-46,master/9469_0023.tif,web/9469_0023_web.jpg,thumb/9469_0023_thumb.jpg
25,p. 47-48,master/9469_0024.tif,web/9469_0024_web.jpg,thumb/9469_0024_thumb.jpg
26,p. 49-50,master/9469_0025.tif,web/9469_0025_web.jpg,thumb/9469_0025_thumb.jpg
27,p. 51-52,master/9469_0026.tif,web/9469_0026_web.jpg,thumb/9469_0026_thumb.jpg
28,p. 53-54,master/9469_0027.tif,web/9469_0027_web.jpg,thumb/9469_0027_thumb.jpg
29,p. 55-56,master/9469_0028.tif,web/9469_0028_web.jpg,thumb/9469_0028_thumb.jpg
30,p. 57-58,master/9469_0029.tif,web/9469_0029_web.jpg,thumb/9469_0029_thumb.jpg
