postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12159_0000.tif,web/12159_0000_web.jpg,thumb/12159_0000_thumb.jpg
2,Inside front cover,master/12159_0001.tif,web/12159_0001_web.jpg,thumb/12159_0001_thumb.jpg
3,Flyleaf 1r,master/12159_0002.tif,web/12159_0002_web.jpg,thumb/12159_0002_thumb.jpg
4,Flyleaf 1v,master/12159_0003.tif,web/12159_0003_web.jpg,thumb/12159_0003_thumb.jpg
5,p. i,master/12159_0004.tif,web/12159_0004_web.jpg,thumb/12159_0004_thumb.jpg
6,p. ii,master/12159_0005.tif,web/12159_0005_web.jpg,thumb/12159_0005_thumb.jpg
7,p. iii,master/12159_0006.tif,web/12159_0006_web.jpg,thumb/12159_0006_thumb.jpg
8,p. iv,master/12159_0007.tif,web/12159_0007_web.jpg,thumb/12159_0007_thumb.jpg
9,p. v,master/12159_0008.tif,web/12159_0008_web.jpg,thumb/12159_0008_thumb.jpg
10,p. vi,master/12159_0009.tif,web/12159_0009_web.jpg,thumb/12159_0009_thumb.jpg
11,p. vii,master/12159_0010.tif,web/12159_0010_web.jpg,thumb/12159_0010_thumb.jpg
12,p. viii,master/12159_0011.tif,web/12159_0011_web.jpg,thumb/12159_0011_thumb.jpg
13,p. ix,master/12159_0012.tif,web/12159_0012_web.jpg,thumb/12159_0012_thumb.jpg
14,p. x,master/12159_0013.tif,web/12159_0013_web.jpg,thumb/12159_0013_thumb.jpg
15,p. xi,master/12159_0014.tif,web/12159_0014_web.jpg,thumb/12159_0014_thumb.jpg
16,p. xii,master/12159_0015.tif,web/12159_0015_web.jpg,thumb/12159_0015_thumb.jpg
17,p. xiii,master/12159_0016.tif,web/12159_0016_web.jpg,thumb/12159_0016_thumb.jpg
18,p. xiv,master/12159_0017.tif,web/12159_0017_web.jpg,thumb/12159_0017_thumb.jpg
19,p. xv,master/12159_0018.tif,web/12159_0018_web.jpg,thumb/12159_0018_thumb.jpg
20,p. xvi,master/12159_0019.tif,web/12159_0019_web.jpg,thumb/12159_0019_thumb.jpg
21,p. xvii,master/12159_0020.tif,web/12159_0020_web.jpg,thumb/12159_0020_thumb.jpg
22,p. xviii,master/12159_0021.tif,web/12159_0021_web.jpg,thumb/12159_0021_thumb.jpg
23,p. xix,master/12159_0022.tif,web/12159_0022_web.jpg,thumb/12159_0022_thumb.jpg
24,p. xx,master/12159_0023.tif,web/12159_0023_web.jpg,thumb/12159_0023_thumb.jpg
25,p. xxi,master/12159_0024.tif,web/12159_0024_web.jpg,thumb/12159_0024_thumb.jpg
26,p. xxii,master/12159_0025.tif,web/12159_0025_web.jpg,thumb/12159_0025_thumb.jpg
27,p. xxiii,master/12159_0026.tif,web/12159_0026_web.jpg,thumb/12159_0026_thumb.jpg
28,p. xxiv,master/12159_0027.tif,web/12159_0027_web.jpg,thumb/12159_0027_thumb.jpg
29,p. xxv,master/12159_0028.tif,web/12159_0028_web.jpg,thumb/12159_0028_thumb.jpg
30,p. 1a,master/12159_0029.tif,web/12159_0029_web.jpg,thumb/12159_0029_thumb.jpg
31,p. 1b,master/12159_0030.tif,web/12159_0030_web.jpg,thumb/12159_0030_thumb.jpg
32,p. 2a,master/12159_0031.tif,web/12159_0031_web.jpg,thumb/12159_0031_thumb.jpg
33,p. 2b,master/12159_0032.tif,web/12159_0032_web.jpg,thumb/12159_0032_thumb.jpg
34,p. 3a,master/12159_0033.tif,web/12159_0033_web.jpg,thumb/12159_0033_thumb.jpg
35,p. 3b,master/12159_0034.tif,web/12159_0034_web.jpg,thumb/12159_0034_thumb.jpg
36,p. 4a,master/12159_0035.tif,web/12159_0035_web.jpg,thumb/12159_0035_thumb.jpg
37,p. 4b,master/12159_0036.tif,web/12159_0036_web.jpg,thumb/12159_0036_thumb.jpg
38,p. 5a,master/12159_0037.tif,web/12159_0037_web.jpg,thumb/12159_0037_thumb.jpg
39,p. 5b,master/12159_0038.tif,web/12159_0038_web.jpg,thumb/12159_0038_thumb.jpg
40,p. 6a,master/12159_0039.tif,web/12159_0039_web.jpg,thumb/12159_0039_thumb.jpg
41,p. 6b,master/12159_0040.tif,web/12159_0040_web.jpg,thumb/12159_0040_thumb.jpg
42,p. 7a,master/12159_0041.tif,web/12159_0041_web.jpg,thumb/12159_0041_thumb.jpg
43,p. 7b,master/12159_0042.tif,web/12159_0042_web.jpg,thumb/12159_0042_thumb.jpg
44,p. 8a,master/12159_0043.tif,web/12159_0043_web.jpg,thumb/12159_0043_thumb.jpg
45,p. 8b,master/12159_0044.tif,web/12159_0044_web.jpg,thumb/12159_0044_thumb.jpg
46,p. 9a,master/12159_0045.tif,web/12159_0045_web.jpg,thumb/12159_0045_thumb.jpg
47,p. 9b,master/12159_0046.tif,web/12159_0046_web.jpg,thumb/12159_0046_thumb.jpg
48,p. 10a,master/12159_0047.tif,web/12159_0047_web.jpg,thumb/12159_0047_thumb.jpg
49,p. 10b,master/12159_0048.tif,web/12159_0048_web.jpg,thumb/12159_0048_thumb.jpg
50,p. 11a,master/12159_0049.tif,web/12159_0049_web.jpg,thumb/12159_0049_thumb.jpg
51,p. 11b,master/12159_0050.tif,web/12159_0050_web.jpg,thumb/12159_0050_thumb.jpg
52,p. 12a,master/12159_0051.tif,web/12159_0051_web.jpg,thumb/12159_0051_thumb.jpg
53,p. 12b,master/12159_0052.tif,web/12159_0052_web.jpg,thumb/12159_0052_thumb.jpg
54,p. 13a,master/12159_0053.tif,web/12159_0053_web.jpg,thumb/12159_0053_thumb.jpg
55,p. 13b,master/12159_0054.tif,web/12159_0054_web.jpg,thumb/12159_0054_thumb.jpg
56,p. 14a,master/12159_0055.tif,web/12159_0055_web.jpg,thumb/12159_0055_thumb.jpg
57,p. 14b,master/12159_0056.tif,web/12159_0056_web.jpg,thumb/12159_0056_thumb.jpg
58,p. 15a,master/12159_0057.tif,web/12159_0057_web.jpg,thumb/12159_0057_thumb.jpg
59,p. 15b,master/12159_0058.tif,web/12159_0058_web.jpg,thumb/12159_0058_thumb.jpg
60,p. 16a,master/12159_0059.tif,web/12159_0059_web.jpg,thumb/12159_0059_thumb.jpg
61,p. 16b,master/12159_0060.tif,web/12159_0060_web.jpg,thumb/12159_0060_thumb.jpg
62,p. 17a,master/12159_0061.tif,web/12159_0061_web.jpg,thumb/12159_0061_thumb.jpg
63,p. 17b,master/12159_0062.tif,web/12159_0062_web.jpg,thumb/12159_0062_thumb.jpg
64,p. 18a,master/12159_0063.tif,web/12159_0063_web.jpg,thumb/12159_0063_thumb.jpg
65,p. 18b,master/12159_0064.tif,web/12159_0064_web.jpg,thumb/12159_0064_thumb.jpg
66,p. 19a,master/12159_0065.tif,web/12159_0065_web.jpg,thumb/12159_0065_thumb.jpg
67,p. 19b,master/12159_0066.tif,web/12159_0066_web.jpg,thumb/12159_0066_thumb.jpg
68,p. 20a,master/12159_0067.tif,web/12159_0067_web.jpg,thumb/12159_0067_thumb.jpg
69,p. 20b,master/12159_0068.tif,web/12159_0068_web.jpg,thumb/12159_0068_thumb.jpg
70,p. 21a,master/12159_0069.tif,web/12159_0069_web.jpg,thumb/12159_0069_thumb.jpg
71,p. 21b,master/12159_0070.tif,web/12159_0070_web.jpg,thumb/12159_0070_thumb.jpg
72,p. 22a,master/12159_0071.tif,web/12159_0071_web.jpg,thumb/12159_0071_thumb.jpg
73,p. 22b,master/12159_0072.tif,web/12159_0072_web.jpg,thumb/12159_0072_thumb.jpg
74,p. 23a,master/12159_0073.tif,web/12159_0073_web.jpg,thumb/12159_0073_thumb.jpg
75,p. 23b,master/12159_0074.tif,web/12159_0074_web.jpg,thumb/12159_0074_thumb.jpg
76,p. 24a,master/12159_0075.tif,web/12159_0075_web.jpg,thumb/12159_0075_thumb.jpg
77,p. 24b,master/12159_0076.tif,web/12159_0076_web.jpg,thumb/12159_0076_thumb.jpg
78,p. 25a,master/12159_0077.tif,web/12159_0077_web.jpg,thumb/12159_0077_thumb.jpg
79,p. 25b,master/12159_0078.tif,web/12159_0078_web.jpg,thumb/12159_0078_thumb.jpg
80,p. 26a,master/12159_0079.tif,web/12159_0079_web.jpg,thumb/12159_0079_thumb.jpg
81,p. 26b,master/12159_0080.tif,web/12159_0080_web.jpg,thumb/12159_0080_thumb.jpg
82,p. 27a,master/12159_0081.tif,web/12159_0081_web.jpg,thumb/12159_0081_thumb.jpg
83,p. 27b,master/12159_0082.tif,web/12159_0082_web.jpg,thumb/12159_0082_thumb.jpg
84,p. 28a,master/12159_0083.tif,web/12159_0083_web.jpg,thumb/12159_0083_thumb.jpg
85,p. 28b,master/12159_0084.tif,web/12159_0084_web.jpg,thumb/12159_0084_thumb.jpg
86,p. 29a,master/12159_0085.tif,web/12159_0085_web.jpg,thumb/12159_0085_thumb.jpg
87,p. 29b,master/12159_0086.tif,web/12159_0086_web.jpg,thumb/12159_0086_thumb.jpg
88,p. 30a,master/12159_0087.tif,web/12159_0087_web.jpg,thumb/12159_0087_thumb.jpg
89,p. 30b,master/12159_0088.tif,web/12159_0088_web.jpg,thumb/12159_0088_thumb.jpg
90,p. 31a,master/12159_0089.tif,web/12159_0089_web.jpg,thumb/12159_0089_thumb.jpg
91,p. 31b,master/12159_0090.tif,web/12159_0090_web.jpg,thumb/12159_0090_thumb.jpg
92,p. 32a,master/12159_0091.tif,web/12159_0091_web.jpg,thumb/12159_0091_thumb.jpg
93,p. 32b,master/12159_0092.tif,web/12159_0092_web.jpg,thumb/12159_0092_thumb.jpg
94,p. 33a,master/12159_0093.tif,web/12159_0093_web.jpg,thumb/12159_0093_thumb.jpg
95,p. 33b,master/12159_0094.tif,web/12159_0094_web.jpg,thumb/12159_0094_thumb.jpg
96,p. 34a,master/12159_0095.tif,web/12159_0095_web.jpg,thumb/12159_0095_thumb.jpg
97,p. 34b,master/12159_0096.tif,web/12159_0096_web.jpg,thumb/12159_0096_thumb.jpg
98,p. 35a,master/12159_0097.tif,web/12159_0097_web.jpg,thumb/12159_0097_thumb.jpg
99,p. 35b,master/12159_0098.tif,web/12159_0098_web.jpg,thumb/12159_0098_thumb.jpg
100,p. 36a,master/12159_0099.tif,web/12159_0099_web.jpg,thumb/12159_0099_thumb.jpg
101,p. 36b,master/12159_0100.tif,web/12159_0100_web.jpg,thumb/12159_0100_thumb.jpg
102,p. 37a,master/12159_0101.tif,web/12159_0101_web.jpg,thumb/12159_0101_thumb.jpg
103,p. 37b,master/12159_0102.tif,web/12159_0102_web.jpg,thumb/12159_0102_thumb.jpg
104,p. 38a,master/12159_0103.tif,web/12159_0103_web.jpg,thumb/12159_0103_thumb.jpg
105,p. 38b,master/12159_0104.tif,web/12159_0104_web.jpg,thumb/12159_0104_thumb.jpg
106,p. 39a,master/12159_0105.tif,web/12159_0105_web.jpg,thumb/12159_0105_thumb.jpg
107,p. 39b,master/12159_0106.tif,web/12159_0106_web.jpg,thumb/12159_0106_thumb.jpg
108,p. 40a,master/12159_0107.tif,web/12159_0107_web.jpg,thumb/12159_0107_thumb.jpg
109,p. 40b,master/12159_0108.tif,web/12159_0108_web.jpg,thumb/12159_0108_thumb.jpg
110,p. 41a,master/12159_0109.tif,web/12159_0109_web.jpg,thumb/12159_0109_thumb.jpg
111,p. 41b,master/12159_0110.tif,web/12159_0110_web.jpg,thumb/12159_0110_thumb.jpg
112,p. 42a,master/12159_0111.tif,web/12159_0111_web.jpg,thumb/12159_0111_thumb.jpg
113,p. 42b,master/12159_0112.tif,web/12159_0112_web.jpg,thumb/12159_0112_thumb.jpg
114,p. 43a,master/12159_0113.tif,web/12159_0113_web.jpg,thumb/12159_0113_thumb.jpg
115,p. 43b,master/12159_0114.tif,web/12159_0114_web.jpg,thumb/12159_0114_thumb.jpg
116,p. 44a,master/12159_0115.tif,web/12159_0115_web.jpg,thumb/12159_0115_thumb.jpg
117,p. 44b,master/12159_0116.tif,web/12159_0116_web.jpg,thumb/12159_0116_thumb.jpg
118,p. 45a,master/12159_0117.tif,web/12159_0117_web.jpg,thumb/12159_0117_thumb.jpg
119,p. 45b,master/12159_0118.tif,web/12159_0118_web.jpg,thumb/12159_0118_thumb.jpg
120,p. 46a,master/12159_0119.tif,web/12159_0119_web.jpg,thumb/12159_0119_thumb.jpg
121,p. 46b,master/12159_0120.tif,web/12159_0120_web.jpg,thumb/12159_0120_thumb.jpg
122,p. 47a,master/12159_0121.tif,web/12159_0121_web.jpg,thumb/12159_0121_thumb.jpg
123,p. 47b,master/12159_0122.tif,web/12159_0122_web.jpg,thumb/12159_0122_thumb.jpg
124,p. 48a,master/12159_0123.tif,web/12159_0123_web.jpg,thumb/12159_0123_thumb.jpg
125,p.48b,master/12159_0124.tif,web/12159_0124_web.jpg,thumb/12159_0124_thumb.jpg
126,p. 49a,master/12159_0125.tif,web/12159_0125_web.jpg,thumb/12159_0125_thumb.jpg
127,p. 49b,master/12159_0126.tif,web/12159_0126_web.jpg,thumb/12159_0126_thumb.jpg
128,p. 50a,master/12159_0127.tif,web/12159_0127_web.jpg,thumb/12159_0127_thumb.jpg
129,p. 50b,master/12159_0128.tif,web/12159_0128_web.jpg,thumb/12159_0128_thumb.jpg
130,p. 51a,master/12159_0129.tif,web/12159_0129_web.jpg,thumb/12159_0129_thumb.jpg
131,p. 51b,master/12159_0130.tif,web/12159_0130_web.jpg,thumb/12159_0130_thumb.jpg
132,p. 52a,master/12159_0131.tif,web/12159_0131_web.jpg,thumb/12159_0131_thumb.jpg
133,p. 52b,master/12159_0132.tif,web/12159_0132_web.jpg,thumb/12159_0132_thumb.jpg
134,p. 53a,master/12159_0133.tif,web/12159_0133_web.jpg,thumb/12159_0133_thumb.jpg
135,p. 53b,master/12159_0134.tif,web/12159_0134_web.jpg,thumb/12159_0134_thumb.jpg
136,p. 54a,master/12159_0135.tif,web/12159_0135_web.jpg,thumb/12159_0135_thumb.jpg
137,p. 54b,master/12159_0136.tif,web/12159_0136_web.jpg,thumb/12159_0136_thumb.jpg
138,p. 55a,master/12159_0137.tif,web/12159_0137_web.jpg,thumb/12159_0137_thumb.jpg
139,p. 55b,master/12159_0138.tif,web/12159_0138_web.jpg,thumb/12159_0138_thumb.jpg
140,p. 56a,master/12159_0139.tif,web/12159_0139_web.jpg,thumb/12159_0139_thumb.jpg
141,p. 56b,master/12159_0140.tif,web/12159_0140_web.jpg,thumb/12159_0140_thumb.jpg
142,p. 57a,master/12159_0141.tif,web/12159_0141_web.jpg,thumb/12159_0141_thumb.jpg
143,p. 57b,master/12159_0142.tif,web/12159_0142_web.jpg,thumb/12159_0142_thumb.jpg
144,p. 58a,master/12159_0143.tif,web/12159_0143_web.jpg,thumb/12159_0143_thumb.jpg
145,p. 58b,master/12159_0144.tif,web/12159_0144_web.jpg,thumb/12159_0144_thumb.jpg
146,p. 59a,master/12159_0145.tif,web/12159_0145_web.jpg,thumb/12159_0145_thumb.jpg
147,p. 59b,master/12159_0146.tif,web/12159_0146_web.jpg,thumb/12159_0146_thumb.jpg
148,p. 60a,master/12159_0147.tif,web/12159_0147_web.jpg,thumb/12159_0147_thumb.jpg
149,p. 60b,master/12159_0148.tif,web/12159_0148_web.jpg,thumb/12159_0148_thumb.jpg
150,p. 61a,master/12159_0149.tif,web/12159_0149_web.jpg,thumb/12159_0149_thumb.jpg
151,p. 61b,master/12159_0150.tif,web/12159_0150_web.jpg,thumb/12159_0150_thumb.jpg
152,p. 62a,master/12159_0151.tif,web/12159_0151_web.jpg,thumb/12159_0151_thumb.jpg
153,p. 62b,master/12159_0152.tif,web/12159_0152_web.jpg,thumb/12159_0152_thumb.jpg
154,p. 63a,master/12159_0153.tif,web/12159_0153_web.jpg,thumb/12159_0153_thumb.jpg
155,p. 63b,master/12159_0154.tif,web/12159_0154_web.jpg,thumb/12159_0154_thumb.jpg
156,p. 64a,master/12159_0155.tif,web/12159_0155_web.jpg,thumb/12159_0155_thumb.jpg
157,p. 64b,master/12159_0156.tif,web/12159_0156_web.jpg,thumb/12159_0156_thumb.jpg
158,p. 65a,master/12159_0157.tif,web/12159_0157_web.jpg,thumb/12159_0157_thumb.jpg
159,p. 65b,master/12159_0158.tif,web/12159_0158_web.jpg,thumb/12159_0158_thumb.jpg
160,p. 66a,master/12159_0159.tif,web/12159_0159_web.jpg,thumb/12159_0159_thumb.jpg
161,p. 66b,master/12159_0160.tif,web/12159_0160_web.jpg,thumb/12159_0160_thumb.jpg
162,p. 67a,master/12159_0161.tif,web/12159_0161_web.jpg,thumb/12159_0161_thumb.jpg
163,p. 67b,master/12159_0162.tif,web/12159_0162_web.jpg,thumb/12159_0162_thumb.jpg
164,p. 68a,master/12159_0163.tif,web/12159_0163_web.jpg,thumb/12159_0163_thumb.jpg
165,p. 68b,master/12159_0164.tif,web/12159_0164_web.jpg,thumb/12159_0164_thumb.jpg
166,p. 69a,master/12159_0165.tif,web/12159_0165_web.jpg,thumb/12159_0165_thumb.jpg
167,p. 69b,master/12159_0166.tif,web/12159_0166_web.jpg,thumb/12159_0166_thumb.jpg
168,p. 70a,master/12159_0167.tif,web/12159_0167_web.jpg,thumb/12159_0167_thumb.jpg
169,p. 70b,master/12159_0168.tif,web/12159_0168_web.jpg,thumb/12159_0168_thumb.jpg
170,p.71a,master/12159_0169.tif,web/12159_0169_web.jpg,thumb/12159_0169_thumb.jpg
171,p. 71b,master/12159_0170.tif,web/12159_0170_web.jpg,thumb/12159_0170_thumb.jpg
172,p. 72a,master/12159_0171.tif,web/12159_0171_web.jpg,thumb/12159_0171_thumb.jpg
