postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9652_0000.tif,web/9652_0000_web.jpg,thumb/9652_0000_thumb.jpg
2,Inside Front Cover Title verso,master/9652_0001.tif,web/9652_0001_web.jpg,thumb/9652_0001_thumb.jpg
3,p. 4-5,master/9652_0002.tif,web/9652_0002_web.jpg,thumb/9652_0002_thumb.jpg
4,p. 6-7,master/9652_0003.tif,web/9652_0003_web.jpg,thumb/9652_0003_thumb.jpg
5,p. 8-9,master/9652_0004.tif,web/9652_0004_web.jpg,thumb/9652_0004_thumb.jpg
6,p. 10-11,master/9652_0005.tif,web/9652_0005_web.jpg,thumb/9652_0005_thumb.jpg
7,p. 12-13,master/9652_0006.tif,web/9652_0006_web.jpg,thumb/9652_0006_thumb.jpg
8,p. 14-15,master/9652_0007.tif,web/9652_0007_web.jpg,thumb/9652_0007_thumb.jpg
9,p. 16-17,master/9652_0008.tif,web/9652_0008_web.jpg,thumb/9652_0008_thumb.jpg
10,p. 18-19,master/9652_0009.tif,web/9652_0009_web.jpg,thumb/9652_0009_thumb.jpg
11,p. 20-21,master/9652_0010.tif,web/9652_0010_web.jpg,thumb/9652_0010_thumb.jpg
12,p. 22-23,master/9652_0011.tif,web/9652_0011_web.jpg,thumb/9652_0011_thumb.jpg
13,p. 24-25,master/9652_0012.tif,web/9652_0012_web.jpg,thumb/9652_0012_thumb.jpg
14,p. 26-27,master/9652_0013.tif,web/9652_0013_web.jpg,thumb/9652_0013_thumb.jpg
15,p. 28-29,master/9652_0014.tif,web/9652_0014_web.jpg,thumb/9652_0014_thumb.jpg
16,p. 30-31,master/9652_0015.tif,web/9652_0015_web.jpg,thumb/9652_0015_thumb.jpg
17,p. 32-33,master/9652_0016.tif,web/9652_0016_web.jpg,thumb/9652_0016_thumb.jpg
18,p. 34-35,master/9652_0017.tif,web/9652_0017_web.jpg,thumb/9652_0017_thumb.jpg
19,p. 36-37,master/9652_0018.tif,web/9652_0018_web.jpg,thumb/9652_0018_thumb.jpg
20,p. 38-39,master/9652_0019.tif,web/9652_0019_web.jpg,thumb/9652_0019_thumb.jpg
21,p. 40-41,master/9652_0020.tif,web/9652_0020_web.jpg,thumb/9652_0020_thumb.jpg
22,p. 42-43,master/9652_0021.tif,web/9652_0021_web.jpg,thumb/9652_0021_thumb.jpg
23,p. 44,master/9652_0022.tif,web/9652_0022_web.jpg,thumb/9652_0022_thumb.jpg
24,p. 45-46,master/9652_0023.tif,web/9652_0023_web.jpg,thumb/9652_0023_thumb.jpg
25,p. 47-48,master/9652_0024.tif,web/9652_0024_web.jpg,thumb/9652_0024_thumb.jpg
26,p. 49-50,master/9652_0025.tif,web/9652_0025_web.jpg,thumb/9652_0025_thumb.jpg
27,p. 51-52,master/9652_0026.tif,web/9652_0026_web.jpg,thumb/9652_0026_thumb.jpg
28,p. 53-54,master/9652_0027.tif,web/9652_0027_web.jpg,thumb/9652_0027_thumb.jpg
29,p. 55-56,master/9652_0028.tif,web/9652_0028_web.jpg,thumb/9652_0028_thumb.jpg
30,p. 57-58,master/9652_0029.tif,web/9652_0029_web.jpg,thumb/9652_0029_thumb.jpg
31,p. 59-60,master/9652_0030.tif,web/9652_0030_web.jpg,thumb/9652_0030_thumb.jpg
32,p. 61-62,master/9652_0031.tif,web/9652_0031_web.jpg,thumb/9652_0031_thumb.jpg
